United States,308745.538																						
Alabama,4779.736																						
Alaska,710.231																						
Arizona,6392.017																						
Arkansas,2915.918																						
California,37253.956																						
Colorado,5029.196																						
Connecticut,3574.097																						
Delaware,897.934																						
District of Columbia,601.723																						
Florida,18801.31																						
Georgia,9687.653																						
Hawaii,1360.301																						
Idaho 	1567.582																						
Illinois 	12830.632																						
Indiana 	6483.802																						
Iowa 	3046.355																						
Kansas 	2853.118																						
Kentucky 	4339.367																						
Louisiana 	4533.372																						
Maine 	1328.361																						
Maryland 	5773.552																						
Massachusetts 	6547.629																						
Michigan 	9883.64																						
Minnesota 	5303.925																						
Mississippi 	2967.297																						
Missouri 	5988.927																						
Montana 	989.415																						
Nebraska 	1826.341																						
Nevada 	2700.551																						
New Hampshire 	1316.47																						
New Jersey 	8791.894																						
New Mexico 	2059.179																						
New York 	19378.102																						
North Carolina 	9535.483																						
North Dakota 	672.591																						
Ohio 	11536.504																						
Oklahoma 	3751.351																						
Oregon 	3831.074																						
Pennsylvania 	12702.379																						
Rhode Island 	1052.567																						
South Carolina 	4625.364																						
South Dakota 	814.18																						
Tennessee 	6346.105																						
Texas 	25145.561																						
Utah 	2763.885																						
Vermont 	625.741																						
Virginia 	8001.024																						
Washington 	6724.54																						
West Virginia 	1852.994																						
Wisconsin 	5686.986																						
Wyoming 	563.626																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
	0																						
