"Table with row headers in column A and column headers in rows 4, 5 and 6. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16. State Resident Population by Age and Sex: 2010,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2000, 2010 as of April; 2005, 2008 and 2009 as of July. In thousands, except as indicated (76,094 represents 76,094,000). Includes Armed Forces stationed in area. ANSI=American National Standards Institute]",,,,,,,,,,,,,,,,,,,,,,,,,,
State,"2010, April",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age,Under 18 years old,18 years and over,65 years and over,,,Percent under 18 years old,Percent 65 years old and over
,,,,,,,,,,,,,,,,,,,,,,Total,Male,Female,,
  United States ,"308,746","151,781","156,964","20,201","20,349","20,677","22,040","21,586","30,672","41,064","41,071","45,007","36,483","19,665","16,818","21,713","13,061","5,493",37.2,"74,181","234,564","40,268","17,363","22,905",24.0,13.0
Northeast,"55,317","26,869","28,448","3,224","3,338","3,501","3,891","3,820","5,441","7,031","7,401","8,496","6,810","3,673","3,137","3,996","2,609","1,200",39.2,"12,333","42,984","7,805","3,263","4,542",22.3,14.1
Midwest,"66,927","32,928","33,999","4,335","4,432","4,523","4,806","4,582","6,550","8,592","8,580","9,958","8,096","4,427","3,669","4,725","2,977","1,321",37.7,"16,128","50,799","9,022","3,858","5,164",24.1,13.5
South,"114,556","56,135","58,421","7,672","7,674","7,701","8,089","8,000","11,347","15,284","15,371","16,465","13,405","7,139","6,266","8,307","4,765","1,822",37.0,"27,789","86,767","14,894","6,450","8,444",24.3,13.0
West ,"71,946","35,850","36,096","4,970","4,905","4,952","5,254","5,184","7,334","10,157","9,718","10,087","8,172","4,426","3,746","4,686","2,710","1,151",35.6,"17,931","54,014","8,547","3,792","4,754",24.9,11.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ,"4,780","2,320","2,460",305,308,320,343,335,479,609,620,694,588,312,276,371,212,76,37.9,"1,132","3,647",658,279,379,23.7,13.8
Alaska ,710,370,341,54,51,51,52,54,75,103,93,111,86,50,36,35,15,5,33.8,187,523,55,27,28,26.4,7.7
Arizona ,"6,392","3,176","3,216",456,454,449,462,443,633,857,822,843,726,375,351,498,281,103,35.9,"1,629","4,763",882,402,480,25.5,13.8
Arkansas ,"2,916","1,432","1,484",198,197,198,204,200,284,376,366,407,351,184,167,235,134,51,37.4,711,"2,204",420,183,237,24.4,14.4
California ,"37,254","18,518","18,736","2,531","2,506","2,591","2,824","2,766","3,923","5,318","5,183","5,252","4,036","2,204","1,832","2,275","1,370",601,35.2,"9,295","27,959","4,247","1,847","2,399",25.0,11.4
Colorado ,"5,029","2,521","2,509",344,349,333,339,349,488,726,700,743,598,328,269,310,170,70,36.1,"1,226","3,804",550,244,306,24.4,10.9
Connecticut ,"3,574","1,740","1,834",202,223,240,251,228,327,420,484,576,443,240,203,255,167,85,40.0,817,"2,757",507,213,294,22.9,14.2
Delaware ,898,435,463,56,56,57,65,63,91,111,116,134,111,58,53,72,41,16,38.8,206,692,129,57,73,22.9,14.4
District of Columbia ,602,284,318,33,26,25,40,64,87,125,81,76,64,34,30,37,22,10,33.8,101,501,69,28,41,16.8,11.4
