State,Pop,Region,Division
Alabama,4780,South,East South Central
Alaska,710,West,Pacific
Arizona,6392,West,Mountain
Arkansas,2916,South,West South Central
California,37254,West,Pacific
Colorado,5029,West,Mountain
Connecticut,3574,Northeast,New England
Delaware,898,South,South Atlantic
District of Columbia,602,South,South Atlantic
Florida,18801,South,South Atlantic
Georgia,9688,South,South Atlantic
Hawaii,1360,West,Pacific
Idaho,1568,West,Mountain
Illinois,12831,Midwest,East North Central
Indiana,6484,Midwest,East North Central
Iowa,3046,Midwest,West North Central
Kansas,2853,Midwest,West North Central
Kentucky,4339,South,East South Central
Louisiana,4533,South,West South Central
Maine,1328,Northeast,New England
Maryland,5774,South,South Atlantic
Massachusetts,6548,Northeast,New England
Michigan,9884,Midwest,East North Central
Minnesota,5304,Midwest,West North Central
Mississippi,2967,South,East South Central
Missouri,5989,Midwest,West North Central
Montana,989,West,Mountain
Nebraska,1826,Midwest,West North Central
Nevada,2701,West,Mountain
New Hampshire,1316,Northeast,New England
New Jersey,8792,Northeast,Middle Atlantic
New Mexico,2059,West,Mountain
New York,19378,Northeast,Middle Atlantic
North Carolina,9535,South,South Atlantic
North Dakota,673,Midwest,West North Central
Ohio,11537,Midwest,East North Central
Oklahoma,3751,South,West South Central
Oregon,3831,West,Pacific
Pennsylvania,12702,Northeast,Middle Atlantic
Rhode Island,1053,Northeast,New England
South Carolina,4625,South,South Atlantic
South Dakota,814,Midwest,West North Central
Tennessee,6346,South,East South Central
Texas,25146,South,West South Central
Utah,2764,West,Mountain
Vermont,626,Northeast,New England
Virginia,8001,South,South Atlantic
Washington,6725,West,Pacific
West Virginia,1853,South,South Atlantic
Wisconsin,5687,Midwest,East North Central
Wyoming,564,West,Mountain
