"TABLE B–73.  Bond yields and interest rates, 1941–2012—Continued",,,,,,,,,,,,,
[Percent per annum],,,,,,,,,,,,,
Year and month,U.S. Treasury securities,,,,,Corporate  bonds  (Moody's),,High-grade municipal  bonds  (Standard &  Poor's),New- home  mortgage  yields 4,Prime  rate  charged  by  banks 5,"Discount window  (Federal Reserve Bank  of New York) 5, 6",,Federal  funds  rate 7
,Bills  (at auction) 1,,Constant  maturities 2,,,,,,,,,,
,3-month,6-month,3-year,10-year,30-year,Aaa 3,Baa,,,,Primary        credit,Adjustment       credit,
 , , , , , , , , , ,High-low,High-low,High-low, 
2008: Jan.,2.86,2.84,2.51,3.74,4.33,5.33,6.54,4.00,6.02,7.25-6.00,4.75-3.50,......,3.94
         Feb.,2.21,2.09,2.19,3.74,4.52,5.53,6.82,4.35,5.96,6.00-6.00,3.50-3.50,......,2.98
         Mar.,1.38,1.53,1.80,3.51,4.39,5.51,6.89,4.67,5.92,6.00-5.25,3.50-2.50,......,2.61
         Apr.,1.32,1.54,2.23,3.68,4.44,5.55,6.97,4.43,5.98,5.25-5.00,2.50-2.25,......,2.28
         May.,1.71,1.82,2.69,3.88,4.60,5.57,6.93,4.34,6.01,5.00-5.00,2.25-2.25,......,1.98
         June.,1.89,2.15,3.08,4.10,4.69,5.68,7.07,4.48,6.13,5.00-5.00,2.25-2.25,......,2.00
         July.,1.72,1.99,2.87,4.01,4.57,5.67,7.16,4.88,6.29,5.00-5.00,2.25-2.25,......,2.01
         Aug.,1.79,1.96,2.70,3.89,4.50,5.64,7.15,4.90,6.33,5.00-5.00,2.25-2.25,......,2.00
         Sept.,1.46,1.78,2.32,3.69,4.27,5.65,7.31,5.03,6.09,5.00-5.00,2.25-2.25,......,1.81
         Oct.,.84,1.39,1.86,3.81,4.17,6.28,8.88,5.68,6.10,5.00-4.00,2.25-1.25,......,.97
         Nov.,.30,.86,1.51,3.53,4.00,6.12,9.21,5.28,6.16,4.00-4.00,1.25-1.25,......,.39
         Dec.,.04,.32,1.07,2.42,2.87,5.05,8.43,5.53,5.67,4.00-3.25,1.25-0.50,......,.16
2009: Jan.,.12,.31,1.13,2.52,3.13,5.05,8.14,5.13,5.11,3.25-3.25,0.50-0.50,......,.15
         Feb.,.31,.46,1.37,2.87,3.59,5.27,8.08,5.00,5.09,3.25-3.25,0.50-0.50,......,.22
         Mar.,.25,.43,1.31,2.82,3.64,5.50,8.42,5.15,5.10,3.25-3.25,0.50-0.50,......,.18
         Apr.,.17,.37,1.32,2.93,3.76,5.39,8.39,4.88,4.96,3.25-3.25,0.50-0.50,......,.15
         May.,.19,.31,1.39,3.29,4.23,5.54,8.06,4.60,4.92,3.25-3.25,0.50-0.50,......,.18
         June.,.17,.32,1.76,3.72,4.52,5.61,7.50,4.84,5.17,3.25-3.25,0.50-0.50,......,.21
         July.,.19,.29,1.55,3.56,4.41,5.41,7.09,4.69,5.40,3.25-3.25,0.50-0.50,......,.16
         Aug.,.18,.27,1.65,3.59,4.37,5.26,6.58,4.58,5.32,3.25-3.25,0.50-0.50,......,.16
         Sept.,.13,.22,1.48,3.40,4.19,5.13,6.31,4.13,5.26,3.25-3.25,0.50-0.50,......,.15
         Oct.,.08,.17,1.46,3.39,4.19,5.15,6.29,4.20,5.14,3.25-3.25,0.50-0.50,......,.12
         Nov.,.06,.16,1.32,3.40,4.31,5.19,6.32,4.35,5.08,3.25-3.25,0.50-0.50,......,.12
         Dec.,.07,.17,1.38,3.59,4.49,5.26,6.37,4.16,5.01,3.25-3.25,0.50-0.50,......,.12
2010: Jan.,.06,.15,1.49,3.73,4.60,5.26,6.25,4.22,5.04,3.25-3.25,0.50-0.50,......,.11
         Feb.,.10,.18,1.40,3.69,4.62,5.35,6.34,4.23,5.08,3.25-3.25,0.75-0.50,......,.13
         Mar.,.15,.22,1.51,3.73,4.64,5.27,6.27,4.22,5.09,3.25-3.25,0.75-0.75,......,.16
         Apr.,.15,.24,1.64,3.85,4.69,5.29,6.25,4.24,5.21,3.25-3.25,0.75-0.75,......,.20
         May.,.16,.23,1.32,3.42,4.29,4.96,6.05,4.15,5.12,3.25-3.25,0.75-0.75,......,.20
         June.,.12,.19,1.17,3.20,4.13,4.88,6.23,4.18,5.00,3.25-3.25,0.75-0.75,......,.18
         July.,.16,.20,.98,3.01,3.99,4.72,6.01,4.11,4.87,3.25-3.25,0.75-0.75,......,.18
         Aug.,.15,.19,.78,2.70,3.80,4.49,5.66,3.91,4.67,3.25-3.25,0.75-0.75,......,.19
         Sept.,.15,.19,.74,2.65,3.77,4.53,5.66,3.76,4.52,3.25-3.25,0.75-0.75,......,.19
         Oct.,.13,.17,.57,2.54,3.87,4.68,5.72,3.83,4.40,3.25-3.25,0.75-0.75,......,.19
         Nov.,.13,.17,.67,2.76,4.19,4.87,5.92,4.30,4.26,3.25-3.25,0.75-0.75,......,.19
         Dec.,.15,.20,.99,3.29,4.42,5.02,6.10,4.72,4.44,3.25-3.25,0.75-0.75,......,.18
2011: Jan.,.15,.18,1.03,3.39,4.52,5.04,6.09,5.02,4.75,3.25-3.25,0.75-0.75,......,.17
         Feb.,.14,.17,1.28,3.58,4.65,5.22,6.15,4.92,4.94,3.25-3.25,0.75-0.75,......,.16
