GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",64752610,67638559,70078048,75772863,71469786,85670669,86930917,94684931,97649647,110215564,115236593,124132408,119777885,123104448,131217186,128840048,139175701,148464112,157903792,157107868,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",67116215,69595374,72164049,77650219,73439505,87988264,89432333,97374359,100354300,113093413,118111027,126965199,123064184,126433452,134456551,131768578,142173928,151707499,161077238,160543034,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",-521234,-1225722,-2885939,-3060087,-2889415,-1521013,-1871000,-1202621,-3269736,-1678243,-1105266,-662184,-907485,-903051,-364847,-420140,-230128,-216945,-484292,-1085069,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",-650726,-1353168,-3020628,-3192452,-3019808,-1657153,-2016592,-1352096,-3426091,-1865882,-1324951,-974850,-1163239,-1179451,-666886,-712077,-564065,-549080,-827668,-1435932,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",129491,127446,134689,132365,130393,136140,145592,149476,156355,187639,219685,312666,255754,276400,302039,291937,333936,332135,343376,350863,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",477853,456271,405223,430015,469459,547219,611381,844954,1022040,1289329,1555373,2060407,1675683,1802217,1649168,1807302,1936518,2177517,1918923,1667182,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",384440,360329,313006,335438,382542,465269,529065,759536,929622,1183006,1430789,1902864,1522134,1649061,1481903,1625775,1731897,1959027,1723768,1473517,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",50607,51416,53634,53898,52308,49938,52635,54136,57406,61814,69510,79479,76600,76975,87395,94018,114919,124426,118927,115654,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",42806,44526,38583,40679,34609,32012,29681,31281,35012,44508,55074,78064,76949,76181,79871,87509,89702,94064,76227,78011,(NA)
 "06000" ,"California",8,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",3170400,3309460,3389812,3568737,-3289344,3764446,4614121,4618271,4821247,5388578,6339572,6776725,7010224,7003411,7124096,6915194,6987744,6943309,7210699,7351444,(NA)
