GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",1921870,1932553,1878806,1996100,1950104,2325444,2543597,2854929,2793890,3021381,3120509,3077941,2968883,3025299,3188477,3322062,3560914,3783848,3866616,4031770,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",1931481,1943760,1892700,2009128,1953383,2349955,2569728,2882069,2823432,3047014,3144092,3109907,3024568,3073682,3240241,3372882,3622924,3846291,3921466,4095703,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",-16583,-111180,-288119,-300401,-327324,-149698,-141059,-117828,-280632,-161893,-111529,-106029,-76596,-89474,-60024,-64202,-41004,-37068,-67728,-136682,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",-31558,-126179,-304881,-316830,-342858,-165440,-158368,-135455,-299636,-182325,-135376,-132954,-95783,-112300,-85437,-87659,-66138,-62006,-91440,-159710,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",14974,15000,16763,16429,15534,15743,17310,17627,19003,20431,23847,26925,19187,22827,25413,23457,25134,24939,23712,23027,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",16472,17015,17173,17481,12807,12555,14626,16335,18296,21128,24096,30350,23093,26558,30983,35175,37273,37804,34215,38558,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,20,29,229,588,677,1184,1563,1768,2175,7590,3286,3374,3171,3809,3216,4367,4299,3578,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",16102,16579,16692,16968,12278,11620,13546,14656,16168,18554,20835,21379,18667,21425,25674,28757,31420,30616,26908,31834,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",371,436,461,484,300,347,402,495,565,806,1087,1381,1140,1759,2138,2609,2636,2822,3007,3146,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",65529,68990,73110,77171,72055,93084,83284,102037,91501,114313,103936,102875,111580,148149,160362,169326,171810,185796,205558,213348,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",20648,23162,25585,26936,27193,28950,31112,36977,43081,43429,39746,32886,30024,28621,27601,30268,32750,33844,36751,39441,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",100184,110887,124300,140466,138403,143405,152585,162979,165578,173724,159621,160445,171794,168045,180946,190915,222556,250029,254995,243600,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",56228,64121,75553,91108,86172,92119,97972,105074,107996,112480,100769,97474,96825,93366,96320,99475,115926,134114,126454,119003,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",10261,10350,10676,11099,8116,8420,8722,9615,10085,10601,9869,9324,9037,8718,9410,9785,10049,10158,10737,11731,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",2562,2758,3006,3039,2773,2991,3436,3723,3963,4437,4423,4127,4158,3724,3399,3322,3374,3590,3790,3923,(NA)
 "16000" ,"Idaho",7,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",16,"331","    Primary metal manufacturing",949,1064,1127,1147,875,963,1321,1504,1619,1800,1901,2163,2920,2799,3025,2742,2782,2779,3013,3031,(NA)
