GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",10681469,10896412,11439827,11933372,12236482,12764810,13767503,14330223,17389618,17780972,15527205,16754779,16552338,17018434,16062995,17249198,17709919,18129915,18182941,18598750,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",10786174,10997334,11544955,12055358,12394757,12950925,13976724,14571287,17647087,18053505,15806068,17080548,16912406,17313247,16469978,17646397,18174216,18541686,18556281,18975067,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",8118,-46484,-70910,-154073,-185126,-3037,-127971,-72606,-164114,-64731,-3502,-49293,-24465,1210,43274,88436,-15637,138146,150545,52387,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",527,-54214,-79015,-162416,-195481,-12718,-138586,-84202,-177959,-80259,-19573,-64825,-37904,-14041,27957,71951,-32843,111553,127663,26852,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",7591,7730,8106,8343,10356,9682,10615,11596,13845,15529,16071,15532,13439,15251,15317,16485,17206,26594,22882,25535,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",83349,81876,79216,82226,73178,74960,77335,75920,92428,99953,85766,87104,92544,100518,100986,115602,124656,129885,114644,113674,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",2702,1594,1837,2417,2292,2138,2410,2504,2632,4161,4771,4834,5456,9950,11742,15370,15421,17608,13977,11385,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",79896,79567,76711,79140,70175,71848,74135,72587,88455,94704,79782,80631,85292,88234,87154,97745,106196,109485,97904,99081,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",752,716,668,669,711,975,789,828,1341,1088,1214,1640,1796,2334,2090,2487,3040,2792,2763,3207,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",601436,577126,587565,661129,634838,647474,699655,733623,963993,1007039,824767,962409,1024475,1094024,1017699,1046029,1064687,1060474,1035868,1057195,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",93513,99479,103642,108997,103831,110866,109451,109886,142097,136569,114943,112503,104058,111980,97116,103981,103580,90111,93159,96775,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",1383536,1373432,1388600,1521231,1617064,1703995,1712797,1718271,2286378,2279758,1723884,1796797,1862922,1917555,1705083,1728905,1883361,1873704,1883455,1867897,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",810628,804878,826406,888976,908775,973444,980079,960117,1308059,1283683,958749,1028203,1054531,1060095,859646,905569,943566,940212,952390,909547,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",24760,25315,26569,27570,22432,22568,22375,21960,29709,29169,21958,22487,21207,19937,16813,17884,17599,17131,18166,19740,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",34111,33107,34430,36939,33879,35401,35476,34463,46928,45650,34754,36860,38532,39555,32925,34371,35135,33752,33351,33228,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",16,"331","    Primary metal manufacturing",279389,272280,266677,278840,240944,252621,253312,237610,313941,298459,229074,263859,285555,285547,232193,238625,236265,224608,222177,224503,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",72874,73390,75851,83272,75676,77553,74906,73689,102872,100934,75382,79214,77595,80242,67851,69964,71794,68458,68929,72134,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",18,"333","    Machinery manufacturing",78020,83809,90942,101204,96661,99712,96926,95800,135254,135177,98968,110432,108053,106180,87001,93091,92679,88678,90469,94297,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",49243,47950,46281,48669,63345,69940,69573,66474,93437,95382,65356,72827,73336,69732,53945,53532,53672,51955,49977,44442,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",33496,31124,29478,30652,34537,34643,31760,30474,39984,35233,22859,19502,16385,4518,-6173,1833,9271,10766,10490,11551,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",173470,171905,187000,202002,249057,279836,289595,292962,391930,391806,295348,305436,311798,330181,269880,287940,296860,288135,288804,312959,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",19955,20875,23349,27646,29089,27910,29167,28551,42297,42593,31342,30751,29296,28260,24624,25366,25569,23348,22475,23024,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",23,"337","    Furniture and related product manufacturing",11896,12344,12857,14783,13789,14822,14930,15242,21492,21841,17079,17233,17277,17587,14409,15147,15867,14858,14961,15911,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",24,"339","    Miscellaneous manufacturing",33413,32779,32973,37399,49366,58439,62059,62891,90216,87441,66631,69603,75496,78355,66178,67816,88854,118523,132590,57758,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",572908,568555,562194,632254,708289,730551,732718,758155,978319,996074,765135,768593,808391,857460,845437,823336,939794,933492,931065,958350,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",253304,243078,223181,283835,262328,262527,260414,268144,291890,279888,231282,147941,160450,176082,163766,143285,183451,201276,210125,214282,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",5668,5961,6299,6543,5175,5439,5415,5549,8418,8297,6345,6684,6924,7532,6141,6247,5871,5687,5037,5428,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",1715,1661,1645,1827,1599,1578,1591,1604,2336,2734,2223,2191,2305,2986,2009,2244,2170,1887,1856,1819,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",29,"322","    Paper manufacturing",37285,36730,33987,36659,34198,35363,34338,34191,47675,47496,34906,35699,37077,36428,29609,29299,28107,27750,27736,29437,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",30,"323","    Printing and related support activities",20155,20369,20975,22690,20279,21070,20935,20897,28991,28785,22047,23837,24991,24566,19348,19245,18257,16868,16293,16590,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",49726,47091,47655,47521,47991,51928,53971,53121,78525,86530,66798,79008,85031,84568,73613,71548,87712,82819,78340,81588,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",32,"325","    Chemical manufacturing",147554,156870,166720,166175,271092,284552,287951,305331,430395,445856,338466,399230,428072,461175,484725,491263,541155,526503,523559,542670,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",57501,56796,61732,67004,65627,68095,68105,69317,90089,96489,63068,74004,63540,64122,66227,60204,73071,70703,68120,66536,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",34,"42","  Wholesale trade",1952146,1977081,2100306,2023032,2024371,2083939,2340656,2452999,2738798,2812826,2735245,2845127,2608692,2593316,2710076,2888184,3024533,2994729,3094965,3039983,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",35,"44-45","  Retail trade",1756391,1854613,2012730,2120267,2313685,2296460,2723600,2849542,3148628,3177869,3121757,3354994,3164527,3351189,3496189,3654391,3711173,3805530,3753761,3916105,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",36,"48-49","  Transportation and warehousing",217874,224949,238448,260241,193980,255454,238631,260492,346511,343185,312612,401595,414060,412776,371889,385556,420049,460180,464824,497554,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",37,"481","   Air transportation",58966,69382,75982,88697,34613,89622,70847,100276,112063,100241,105486,105297,103857,96102,87010,89303,103241,127780,123854,142880,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",38,"482","   Rail transportation",16065,17625,20011,21508,28244,31833,35082,37947,44371,48698,43587,122573,133799,121435,120040,132187,140972,168015,171040,170769,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",39,"483","   Water transportation",22080,22737,25898,25983,15247,8513,9340,-2637,7073,4525,2351,8414,3014,8229,7423,899,8084,8513,10263,11555,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",40,"484","   Truck transportation",64223,59869,60626,64932,64421,69459,66830,65033,98723,105081,86009,84468,86879,97921,84427,87809,90029,82241,85309,95016,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",41,"485","   Transit and ground passenger transportation",7221,6851,7374,8253,6803,7712,6901,6238,8499,8048,6980,6783,8979,11421,8708,8443,8610,6131,5918,6248,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",42,"486","   Pipeline transportation",11192,13478,13008,11671,10420,13186,13741,18414,29286,28882,20447,27527,28980,27924,23984,24813,27553,27871,27458,27278,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",27311,23884,23870,25776,23192,23244,23226,21968,27051,27252,32838,30272,31150,32356,26694,27930,27020,25485,26724,28247,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",44,"493","   Warehousing and storage",10817,11124,11678,13420,11041,11885,12665,13253,19444,20458,14914,16261,17402,17387,13603,14173,14541,14144,14258,15561,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",45,"51","  Information",417620,501849,525832,536932,572489,586480,665770,766899,805628,781937,615843,619008,619531,615045,599970,597368,603979,570591,502617,521669,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",46,"511","   Publishing industries (except Internet)",10337,9298,9079,10267,19108,21599,22984,22924,31875,31396,23939,25356,27724,25843,20274,21622,21428,20694,15200,14668,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",47,"512","   Motion picture and sound recording industries",7073,101463,118184,114367,110919,123670,142902,169102,169442,174276,156777,147057,158924,152684,148097,142395,136470,107119,96522,112780,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",397667,388473,395775,409027,437718,436282,494166,569437,597321,569117,429236,440498,426531,429455,425343,424124,436800,432962,375530,378516,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",49,"518, 519","   Data processing, hosting, and other information services",2543,2615,2793,3271,4744,4929,5718,5436,6990,7148,5890,6096,6353,7062,6256,9226,9282,9815,15364,15705,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",2484336,2406418,2458005,2664885,2774644,2844456,2876318,2810461,3899092,3970551,2911047,3175863,3322894,3361881,2790550,2904332,2979071,3076442,3103620,3242692,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",51,"52","   Finance and insurance",436265,432572,447011,476067,440632,449507,441046,436072,518986,510901,457249,475999,479123,475444,449762,466988,476283,613890,672690,701006,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",158367,166158,173850,194515,187180,186898,181610,176568,231719,232458,184797,197543,201838,215449,181831,184036,184339,166218,174329,183173,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",25592,27494,27255,30750,18249,18435,17104,17177,22754,21709,22622,23946,21567,19209,17063,17766,18388,17789,17153,17783,(NA)
 "18000" ,"Indiana",3,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",54,"524","    Insurance carriers and related activities",236614,224441,229778,231920,232379,241534,239493,240529,261949,253775,245189,250682,247112,233301,242476,260920,271371,428221,479823,498329,(NA)
