GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",48320640,49500849,51309515,52469103,53694088,55671090,61483892,68350940,75741035,80569212,83030074,80824881,80808246,89719611,92640699,96680656,102827382,107148745,111146223,113296155,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",51459787,52035827,53792936,54857896,56166134,58503912,64355015,71263709,78742248,83581287,86018156,83989486,84316129,93195170,96441400,100464307,106663931,111109758,115340925,117817989,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",35822,-69783,-221025,-236357,-272868,-67711,-97322,-45146,-218455,-90547,-29758,-22278,-1831,-29397,38996,58240,72050,101142,92792,46057,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",25080,-80554,-231114,-247509,-283505,-78495,-106968,-54496,-232592,-105714,-45393,-40948,-19398,-51998,16605,36677,48424,78531,70579,23580,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",10742,10771,10089,11152,10637,10785,9646,9349,14137,15167,15635,18670,17566,22601,22391,21563,23626,22612,22213,22477,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",41583,43227,42934,45951,39652,39818,49595,52746,70794,88220,100307,113844,101379,117309,168027,155712,154594,188020,152294,150328,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",2218,2859,3632,4468,7088,6878,11143,8827,24825,36043,43651,54216,46917,61996,108378,87254,76196,95123,56889,42396,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",35133,36292,35634,37349,29519,29592,34799,39832,41241,46410,50280,49450,46945,47520,51350,57940,70413,84954,87317,98615,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",4233,4076,3669,4134,3045,3348,3653,4088,4728,5767,6375,10178,7516,7793,8299,10518,7985,7943,8089,9317,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",3193730,3192908,3107333,3184938,2948448,3094137,3197311,3323173,3533230,3791408,3875252,3950208,4150186,4470044,4621915,4824358,5107719,5440090,5467136,5702105,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",234561,265248,290327,320121,320882,337209,356439,406447,395258,427339,430219,454549,469355,565761,608050,638622,700948,721477,797724,846993,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",2988266,2922972,3045021,2532328,3252432,3267613,3467876,3733263,4451149,4522369,5143630,4646669,5983356,7414232,7515510,7379460,7785331,7817982,7909136,7875643,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",855170,890845,878133,906933,1059023,1096025,1159277,1238927,1256295,1299802,1307197,1323979,1400143,1406182,1473074,1531811,1799533,1770615,1826381,1722716,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",14,"321","    Wood product manufacturing",13245,13657,13871,14809,12569,12808,12988,14748,15653,16804,17477,17680,19013,19452,19908,21802,24738,26478,29500,30517,(NA)
 "36000" ,"New York",2,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",59976,60910,51492,55363,50634,49826,51644,56690,57289,60284,63736,68581,77353,81277,83035,86245,91828,92250,93680,97526,(NA)
