GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",12347403,12889877,13127837,13893157,14883323,15703720,16521980,17454296,18584746,19600295,20790156,21813140,22533615,23170820,24458372,25739057,26362219,27265170,27981916,27152789,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",7745779,8233385,8350251,8914155,9623223,10003181,10435898,11094940,11841575,12529584,13425933,14163686,14368190,14720857,15534757,16435967,17236665,17767639,18397733,17538800,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",101384,70831,77663,72765,(D),46324,45153,43191,43740,41558,37136,41385,46818,58306,78162,70099,73809,76687,74147,76911,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",5712,7519,10060,6869,6903,6835,6051,6362,6097,6268,6423,13224,19110,18926,18223,20371,20422,20832,19589,20677,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",95672,63311,67603,65896,(D),39489,39102,36830,37643,35290,30713,28161,27708,39380,59939,49728,53387,55855,54558,56234,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",989119,1077615,937099,1088252,(D),1118497,1016571,1086133,1201941,1474085,1731561,2020724,2068330,2120296,2251518,2502132,2639281,2826462,2811898,2297689,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",428310,433129,406834,434389,468891,463262,401004,432959,464801,516404,609375,711964,755132,762804,809579,926567,1003668,1117166,1137844,1002538,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",113186,121770,112183,117121,(D),115787,121600,120479,141776,179076,205329,244929,231138,273822,310905,356631,374840,374189,384004,391130,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",447622,522717,418082,536742,623614,539449,493967,532695,595365,778605,916857,1063830,1082060,1083670,1131034,1218934,1260773,1335107,1290051,904021,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",101212,109304,118010,124077,132204,151269,153629,159769,165750,173069,179790,196592,210856,230844,251593,249924,273570,268369,283585,286391,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",771775,792652,814092,840711,943093,1046089,1158251,1221993,1341626,1348395,1402508,1452920,1432465,1438414,1415167,1500205,1585338,1737434,1840025,1608838,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",501536,522346,510162,498190,519169,493444,548787,576397,633447,663105,696508,673975,662025,685909,737998,802124,887466,881435,937585,911009,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",79652,86390,84764,86252,(D),(D),91927,98313,111118,115902,132401,139926,136642,125142,124792,159364,171259,158792,174251,154579,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",18739,25478,21141,18347,19967,12751,10670,13009,13972,(D),21312,22253,16421,(D),(D),(D),(D),34524,40230,31591,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",16705,17772,19909,21337,23483,23567,27685,26042,28396,(D),25134,23729,23630,22851,19998,21191,21315,21493,23828,21594,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",16,"331","    Primary metal manufacturing",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),2054,1564,1579,2034,1390,1106,1286,1148,941,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",17375,17418,16621,19352,18396,18771,20662,22556,24776,26404,(D),(D),29472,26249,34513,41960,46863,35961,36055,28548,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",18,"333","    Machinery manufacturing",(T),(T),(T),(T),2214,3948,3254,2363,3100,3606,4010,5418,6106,5363,5994,6408,6042,6460,9050,6913,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",(T),(T),(T),(T),(D),(D),(D),(D),6082,7083,8368,9405,10385,10387,11146,12451,(D),(D),(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(T),(T),(T),(T),604,492,803,1376,1530,2405,2742,2281,2015,(D),(D),(D),1632,(D),1121,1094,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(T),(T),(T),(T),(D),748,(D),882,(D),(D),(D),(D),(D),(D),(D),(D),2112,2280,2376,(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",(T),(T),(T),(T),8112,9763,(D),12192,15092,13961,21798,24004,(D),28524,(D),(D),(D),26899,(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",23,"337","    Furniture and related product manufacturing",(T),(T),(T),(T),3546,3715,4463,5316,6281,6896,6706,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",24,"339","    Miscellaneous manufacturing",(T),(T),(T),(T),7075,7557,8643,9292,10060,10365,11067,12071,(D),10256,9444,8732,10460,11413,11274,10144,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",421883,435957,425398,411938,(D),(D),456860,478084,522329,547203,564107,534048,525383,560766,613206,642760,716207,722642,763333,756430,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",323044,329835,331543,319894,321759,303659,353906,375443,413413,428152,449940,428071,423600,463355,511845,540202,607642,614083,650049,643016,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",(T),(T),(T),(T),(D),(D),1755,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(T),(T),(T),(T),245,177,(D),(D),(D),404,(D),(D),238,(D),219,(D),527,631,861,1013,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",29,"322","    Paper manufacturing",20528,(T),(T),(T),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",30,"323","    Printing and related support activities",16520,16993,17599,18011,18155,17969,17786,17037,16994,17543,17731,18444,16435,15708,16622,17138,17304,17500,16805,16655,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",38445,57221,44172,46334,51913,47636,47559,50102,53659,65817,62190,64719,69662,66329,70514,71248,76443,76272,80839,81128,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",32,"325","    Chemical manufacturing",16818,18337,19232,16806,(D),(D),(D),(D),29094,25128,23225,11152,4011,4264,4038,3919,3795,3338,4067,3821,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",34,"42","  Wholesale trade",270726,294364,288414,294251,313962,321916,325302,347912,373066,387423,408736,419535,411685,410848,428818,431120,461922,462363,484869,473325,(NA)
 "02000" ,"Alaska",8,SAGDP4N,"Compensation of employees","Thousands of dollars",35,"44-45","  Retail trade",885199,921897,959498,959928,1016849,1096713,1150532,1202283,1266695,1287009,1329386,1343061,1317463,1318512,1370829,1401919,1436626,1480690,1533307,1509700,(NA)
