GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",69878019,77165474,82848954,91204904,95475405,98041544,102681350,111133558,121777802,134607348,142619024,143884320,135101170,134483293,139617879,145243365,150331763,156488167,163588799,170255111,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",56519323,62963092,67755636,75078353,77602828,78756667,82025669,89243605,98392076,109568237,115674138,115471229,106634262,105884962,110925698,116356108,120736504,126587569,132822326,138891326,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",532565,543044,563937,582041,607358,667619,614109,677197,709757,791101,869181,805012,854738,799822,816649,893028,954478,971602,919537,1019599,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",337116,331833,333529,367458,373962,422662,372595,397455,439539,420234,492824,467778,512664,452193,446229,516834,586021,560993,476901,553373,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",195449,211211,230408,214583,233396,244957,241515,279742,270218,370867,376357,337234,342074,347629,370420,376194,368457,410609,442636,466226,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",745321,712095,658596,559307,539660,479990,478848,531256,571977,703333,866018,1100827,860193,873570,1005080,1140691,1185534,1155533,1139742,1058931,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",1569,(T),(T),(T),226,186,(D),(D),231,220,509,1137,(D),2217,8245,11119,9204,8792,7264,7258,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",724269,693262,639247,537551,530544,468509,469196,521305,558954,682293,841043,1053749,804219,820815,950638,1078095,1130911,1095405,1083985,1015067,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",19483,16091,17073,18609,8889,11295,(D),(D),12793,20821,24466,45940,(D),50538,46196,51476,45419,51336,48494,36607,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",709533,716098,823009,869915,964528,1021974,1008384,1037533,1145652,1313676,1445631,1547746,1542848,1512910,1567595,1529723,1571017,1657686,1636174,1779549,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",4909185,5533071,6193944,6879026,7306845,7328262,7663387,8594667,10296971,11979828,11735920,10247202,7107245,6194247,6252047,6802336,7328393,7640136,7883179,8540591,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",9845385,10902669,11114184,12449831,11880994,11192686,11140018,11728801,12060494,13074787,13367394,13348646,12086126,12158244,12732853,13265934,13313734,13765793,14130002,14407450,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",8347325,9363175,9497179,10741020,10312700,9709157,9575876,10144402,10435441,11350514,11626271,11617133,10499186,10561489,11069353,11519884,11503139,11830862,12078959,12218994,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",210586,236884,270789,263357,265632,250359,269029,320646,390583,403394,326150,252892,153358,142693,135792,144202,161999,187001,204829,223413,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",297198,344916,387972,419926,396549,389786,399704,438130,529514,589046,600075,511117,354586,315299,299563,313628,346092,429129,396382,435877,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",16,"331","    Primary metal manufacturing",266594,285672,276439,286139,266805,228900,219977,223432,243126,275294,279176,303633,251232,257498,255584,303077,306272,338415,327299,286036,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",750751,814913,831620,888335,862667,802564,802866,872102,929219,1023266,1147399,1147760,942416,914501,967953,1038973,1087288,1161931,1220821,1263079,(NA)
 "04000" ,"Arizona",6,SAGDP4N,"Compensation of employees","Thousands of dollars",18,"333","    Machinery manufacturing",415395,435251,432712,468002,439393,425059,426416,450619,430932,462814,499349,512694,436484,429986,429985,457929,451457,497424,541902,544804,(NA)
