GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",15575661,16806502,17926322,19093317,20001442,20554062,21378292,22709714,24150186,25518011,26096744,26254301,25197273,25509495,26691538,27443185,28040324,29391631,30568575,30656081,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",13113524,14211190,15166511,16159489,16899621,17094110,17773862,18894477,20096761,21339346,21695104,21678106,20372691,20648203,21777230,22426513,23008196,24309533,25330122,25344344,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",48315,46490,43707,45297,(D),48933,44599,45067,37614,42935,48733,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",35145,34179,30309,34499,35189,42552,38019,37209,30180,33546,39573,37309,35630,33837,29395,48215,48768,52263,43711,49332,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",13170,12312,13398,10798,(D),6381,6580,7858,7433,9389,9160,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",6966,(T),(T),(T),(D),3894,3902,3990,(D),846,362,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),0,0,0,(D),0,0,0,0,0,0,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",(T),(T),(T),(T),(D),(D),(D),(D),493,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,(D),(D),0,0,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",204495,208362,225432,223203,231808,253904,228604,231378,236132,263261,250628,273779,276125,274559,272477,263010,287217,314452,319956,330884,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",953123,999595,1130495,1159859,1134534,1156471,1189976,1346189,(D),1672696,1582300,1522002,1219463,1194432,1259305,1186179,1296339,1392558,1446061,1481690,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",2328077,2432635,2474301,2385665,2177096,2080314,2260690,2224265,2208459,2325228,2554931,2313766,2081242,1913447,1855594,1903388,1891820,2002123,2251478,1993235,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",1131485,1281742,1263191,1194896,1022997,1016357,1037773,1023420,1021050,1126237,1274155,1061715,901254,807883,832070,821880,806497,823233,855654,822173,(NA)
 "10000" ,"Delaware",2,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",37586,37096,36896,33049,15903,16959,20390,18760,(D),20294,18602,18962,14797,14011,(D),14741,15571,(D),18020,18998,(NA)
