GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",92554690,99146044,105865932,114236680,120944886,127033578,133012619,141449555,149593995,157229888,164466600,168815457,169085480,173290203,180282566,184785877,187444577,194127220,202608881,208477943,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",68788912,74148469,79847425,86526291,91646982,94264245,98399585,105198454,111150467,116640408,121674158,124003623,121967116,123612616,128670099,133249326,134952203,140294050,146688099,151495362,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",161599,164690,160764,183429,188448,226449,213645,220886,192953,222314,242076,234578,227345,222547,198975,255110,257549,275124,250734,275951,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",123534,124140,114977,135462,142321,176970,158518,156489,127378,142584,171499,163279,154943,148402,126957,181669,183702,195892,164521,185368,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",38065,40550,45788,47967,46127,49480,55127,64397,65575,79731,70577,71299,72402,74145,72018,73440,73847,79232,86213,90583,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",69713,72610,73762,77108,96506,80410,83526,92419,105721,111539,104009,106259,97976,99757,104600,113851,98346,96239,98156,97926,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",(T),(T),(T),(T),(D),(D),(D),(D),162,173,180,173,(D),(D),(D),(D),500,(D),(D),2098,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",67814,68434,68374,70402,75002,69750,72498,80974,86994,86950,79946,80176,69244,65817,60969,64284,53098,51886,54995,58004,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),(D),(D),(D),18564,24416,23883,25910,(D),(D),(D),(D),44747,(D),(D),37824,(NA)
 "24000" ,"Maryland",2,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",828225,823803,918116,951950,994490,951183,1009847,1088888,1164719,1207609,1334769,1403734,1326762,1406032,1521759,1554472,1503584,1515875,1558573,1666547,(NA)
