GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",902381767,966315717,1022223181,1107527813,1144257505,1158279901,1194450503,1262438880,1323300411,1399814820,1484047929,1520824136,1468868158,1512906171,1563550557,1608129930,1650518274,1718925903,1787135971,1818125876,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",724261688,781637060,828098479,903358109,930096869,930391300,954602549,1009023251,1058870610,1125683283,1197183552,1221097389,1157498582,1189734672,1240436697,1286718437,1316194693,1379178990,1440378655,1466807637,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1595118,1608226,1543716,1746647,1787377,(D),1969420,2027552,1753114,2044936,2386589,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",1271916,1267310,1164426,1350998,1410493,1728833,1579054,1575569,1306918,1475722,1824096,1750435,1631420,1590414,1388742,1933277,1961602,2058907,1771244,1987315,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",323202,340916,379290,395648,376884,(D),390366,451983,446196,569214,562493,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1459374,1571227,1506540,1497252,1561035,(D),1471275,1617245,1740066,1921980,2007950,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",124232,139494,141005,146423,159840,(D),(D),(D),148428,(D),(D),(D),(D),479355,(D),(D),884490,(D),(D),815168,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",1223720,1309563,1238348,1210292,(D),1133253,(D),(D),1349066,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",111421,122170,127188,140537,(D),160047,170283,201226,242572,(D),377287,450995,(D),(D),(D),(D),(D),1771941,(D),882575,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",8298904,8630249,9199723,9830639,(D),(D),10267320,10301485,10254882,10822408,11151533,11507676,11250670,11922954,12541268,12255706,12410039,12945643,13740400,14220364,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",35405156,38922344,42795714,47946973,51365968,52127105,53446893,55916896,58558969,62744803,66632203,68488485,61463780,58928231,60496699,62460065,65301582,69796461,74676655,78789567,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",110581668,115555861,117341031,123067575,120059743,(D),113738974,115152946,116699369,118523159,120130676,119637583,108706482,108948778,110286035,111368285,111125361,113689844,116051910,114564634,(NA)
 "92000" ,"Mideast",2,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",60896827,64550407,65645580,69380936,67669706,(D),62949226,64375026,65473307,67079363,68231366,68189991,61167482,60577692,62757402,63690989,63337361,63939623,66653328,65285717,(NA)
