GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",1,"...","All industry total",169600371,182590300,191651024,209723021,214258951,219874941,226677902,237220187,247666173,258040855,268815008,273764697,265307397,267828166,272747309,281033279,289211574,297550670,307099392,312497917,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",2,"..."," Private industries",140809979,152592585,160312276,176753017,178747825,182089543,186477009,194494228,203039858,212239849,220907155,224028064,213865416,216162302,222571485,231360870,237121618,244417526,253282918,258678670,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",225575,230635,224796,259698,263919,319221,294380,304754,260362,305812,357658,347680,347919,345097,316475,395891,386218,430745,395194,456454,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",4,"111-112","   Farms",173655,175855,164686,194658,206800,258710,234812,234793,194478,224440,271733,259365,248661,237855,208598,276334,280502,299380,253902,284040,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",51920,54780,60111,65040,57119,60511,59568,69960,65883,81372,85925,88314,99258,107242,107876,119557,105716,131364,141292,172414,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",130725,150056,135995,127052,116702,90280,98552,109923,119019,119583,118459,123544,117431,112963,106418,110107,118224,124958,131093,125220,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",7,"211","   Oil and gas extraction",1819,905,1064,1247,(D),1172,1160,3226,6890,2985,(D),(D),8231,5839,5368,5680,5484,6225,6851,10538,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",8,"212","   Mining (except oil and gas)",124265,144871,131005,122112,110835,83007,92298,101352,104581,110277,107555,108592,94695,95095,84644,86912,93676,99384,96594,95002,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),6101,5094,5345,7549,6322,(D),(D),14505,12028,16406,17515,19064,19350,27648,19680,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",10,"22","  Utilities",1306027,1321256,1431404,1651632,1577130,1609001,1581381,1646465,1610374,1695110,1629730,1574662,1540823,1965076,2012192,2006246,2008605,2124144,2212481,2288272,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",11,"23","  Construction",6692944,7282050,7875210,8966179,9714793,10103414,10059288,10643248,10999536,11729500,12145253,12132969,10449127,9858023,9953347,10204521,11002459,11599610,12524174,13027836,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",12,"31-33","  Manufacturing",23520343,24576354,25066420,26715207,25582114,24519303,24842691,25286287,25816454,26374160,26439998,26454309,24127646,24171244,24021162,23736278,23743741,24588392,23112084,23857116,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",9665402,10202190,10425274,11316952,10912597,10191753,10200259,10362492,10382778,10700859,10828959,10753727,9727825,9561182,9882406,9883879,9786486,9961761,10208562,10442389,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",14,"321","    Wood product manufacturing",162167,177781,196805,213115,213306,213186,219390,239506,240179,222481,209696,186154,125423,113331,110895,112226,112075,114303,124860,135022,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",741635,770743,801736,913849,887619,869247,860448,871389,904385,884990,894886,847138,663433,655239,670991,767771,721651,744870,736895,761321,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",16,"331","    Primary metal manufacturing",601749,617175,646233,642355,647839,587770,555997,598005,525698,508822,455547,427355,369686,358619,390262,434439,412861,406182,390401,390914,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",1606254,1645716,1676246,1777956,1663494,1518219,1477981,1503873,1561215,1610329,1649750,1658662,1448914,1437090,1476533,1496000,1480412,1426615,1457575,1501070,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",18,"333","    Machinery manufacturing",1495422,1519543,1497177,1467436,1364161,1241778,1238027,1228761,1223700,1261262,1287251,1288166,1133798,1156115,1175118,1173538,1198056,1227910,1223343,1201828,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",2372406,2487531,2549150,2989006,2914625,2638828,2606348,2634858,2702673,2877871,2932132,2935035,2779452,2728238,2723384,2647896,2549608,2547146,2587034,2621256,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",504521,525799,520946,541186,524747,514160,539923,555591,571502,589899,633182,612630,570066,542023,569002,608637,601543,624467,639669,677621,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",399821,462419,463654,481450,(D),(D),(D),(D),(D),(D),(D),173965,119264,(D),(D),(D),(D),(D),(D),(D),(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",176089,192409,211268,264297,(D),(D),(D),(D),(D),(D),(D),241209,186312,(D),(D),(D),(D),(D),(D),(D),(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",23,"337","    Furniture and related product manufacturing",320130,333728,358267,407416,388878,372173,378150,388883,385662,406207,405075,402907,329847,290929,298979,292774,295351,317245,329101,376630,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",24,"339","    Miscellaneous manufacturing",1285208,1469345,1503790,1618887,1584086,1614163,1730276,1815070,1788907,1855229,1901212,1980504,2001629,1984738,2134320,1994451,2065651,2185624,2313756,2345014,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",13854941,14374164,14641146,15398254,14669517,14327550,14642433,14923794,15433676,15673301,15611039,15700582,14399821,14610061,14138755,13852399,13957256,14626631,12903522,13414727,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",2033271,2076374,2031673,2086391,1858364,1840090,1972136,2002698,1960797,1922685,2029614,1909316,1960449,2012912,2024514,2094686,2024163,2128228,2170699,2371301,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",611133,624455,602941,594823,534735,517967,471796,456665,428310,410247,377099,331156,269443,251703,251748,245308,247181,271710,253533,255952,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",654873,640105,581650,584762,535914,444183,448741,459945,441397,449340,460364,429025,329480,302109,278276,277330,270592,274028,271498,294005,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",29,"322","    Paper manufacturing",1265914,1195222,1266515,1262220,1167563,1100799,1115490,1076943,1053908,1039536,1122777,1149718,1060755,1024712,1026683,1038611,1010469,1039802,1026081,961039,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",30,"323","    Printing and related support activities",1460357,1525916,1579253,1665961,1582235,1453004,1380173,1384038,1422699,1430264,1442032,1411423,1146171,1066503,1087779,1066298,1020545,990224,959207,946210,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",476276,528653,603615,598683,604431,472618,497698,404181,481456,558329,514028,507298,518689,482107,417577,443043,529486,534933,527763,575394,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",32,"325","    Chemical manufacturing",6225472,6626231,6787673,7424048,7247976,7353657,7635377,8020688,8494788,8749691,8599001,8933546,8259864,8573868,8142613,7780093,7946430,8384382,6676898,6974193,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",1127645,1157209,1187826,1181366,1138299,1145232,1121022,1118636,1150320,1113207,1066125,1029100,854971,896147,909565,907029,908389,1003324,1017843,1036632,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",34,"42","  Wholesale trade",13297220,14371828,14821938,17250228,17006101,16585561,17333994,17565019,18096143,18594061,19643572,19821029,18654558,18771181,19514605,20321596,20525246,21475137,22081745,21780298,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",35,"44-45","  Retail trade",11995598,12785893,13281289,14514203,14781760,15371201,16001836,16058331,16486292,16697526,17095696,16638565,15811756,15948450,16438755,16678599,17088348,17623922,18351620,18477859,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",36,"48-49","  Transportation and warehousing",7040257,7492061,7520020,8151822,7926543,7868544,8015291,8547599,8934079,9038236,9554173,9515428,9089367,9116966,9422854,9710628,9807509,10007185,10797280,11651463,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",37,"481","   Air transportation",741759,950936,1080716,1239037,1238898,1185213,1177927,1272163,1257624,1321785,1434253,1459854,1366282,1402126,1539229,1591486,1623452,1591387,1750623,2122557,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",38,"482","   Rail transportation",130265,152009,155051,148514,(D),(D),162429,160455,162794,(D),178983,212923,213417,208063,226791,239487,236109,(D),(D),(D),(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",39,"483","   Water transportation",255275,211134,187004,166040,142073,164365,179304,179746,255352,169902,175303,192249,171291,161939,161052,158650,145002,143561,150457,147128,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",40,"484","   Truck transportation",1835204,1917860,2062375,2169151,2168668,2173774,2239136,2325405,2351472,2409112,2390272,2276969,2069952,2061467,2155666,2219768,2288464,2278759,2420717,2494809,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",41,"485","   Transit and ground passenger transportation",752361,741166,794523,813254,718629,734304,768809,810410,835283,864183,901695,924616,909710,911272,937027,947146,970401,990720,975721,959475,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",42,"486","   Pipeline transportation",29014,30551,33395,34582,25966,26864,27204,27286,28347,27805,28818,31528,34217,33100,43575,38991,51061,62060,61945,61578,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",2083490,2230400,2099405,2276976,(D),(D),2317159,2511336,2711366,(D),2987327,2881462,2755823,2755278,2814497,2942531,3006748,(D),(D),(D),(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",44,"493","   Warehousing and storage",1212889,1258006,1107551,1304269,1248569,1162607,1143323,1260798,1331840,1291877,1457521,1535827,1568675,1583722,1545018,1572569,1486272,1531583,1787943,2119954,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",45,"51","  Information",8219317,8157582,8616885,9578270,9492682,8977777,8750504,8897803,8760350,9151636,9460998,9072776,8648704,8284989,8286048,8901027,8878837,9184380,9245660,9057012,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",46,"511","   Publishing industries (except Internet)",1907641,2037989,2182108,2384873,2391194,2409851,2507544,2649924,2708122,2739800,2911120,2757406,2512177,2435997,2515327,2628619,2734042,2794830,2980585,2821693,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",47,"512","   Motion picture and sound recording industries",205398,213781,233119,261017,244993,272085,271823,316209,320275,335154,354435,362456,371464,356422,356214,372721,332399,471267,472448,472395,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",4681478,4482940,4816783,5369840,5220126,4750263,4554863,4468554,4242333,4416818,4706552,4691438,4581866,4324990,4237076,4727560,4722975,4576888,4380780,4302251,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",49,"518, 519","   Data processing, hosting, and other information services",1424799,1422872,1384875,1562540,1636368,1545579,1416274,1463115,1489620,1659863,1488891,1261475,1183197,1167579,1177431,1172127,1089421,1341397,1411847,1460674,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",14557804,16465633,17783761,19573203,20758676,22112510,22352471,23847339,25678272,27215996,28235030,28401013,25906162,27262004,27856233,28490602,28851945,29184833,31050269,31717679,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",51,"52","   Finance and insurance",12566517,14294396,15488031,17076010,18244383,19290330,19396537,20534105,22297433,23580316,24452970,24691949,22422471,23735803,24436945,24753308,25054968,25271854,26697888,27318990,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",3236521,3585739,3841902,4059807,4407574,4928620,5359848,5570057,6064781,6384289,6095095,5850970,5541502,5590101,5962354,(D),(D),(D),(D),7683320,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",4012749,4767726,5454414,6500905,7397857,7578527,6956810,7502020,8593926,9183366,10047245,10274291,8634459,9536319,9501759,8797747,8583490,8486401,8578634,8361917,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",54,"524","    Insurance carriers and related activities",5213637,5821053,6071398,6389152,6286903,6645562,6937968,7347122,7547539,7937572,8272177,8524202,8207741,8566656,8932545,9694914,10056515,10378279,11114692,11202047,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",55,"525","    Funds, trusts, and other financial vehicles",103611,119879,120317,126147,152049,137620,141910,114906,91187,75089,38454,42485,38769,42726,40287,(D),(D),(D),(D),71706,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",56,"53","   Real estate and rental and leasing",1991287,2171237,2295730,2497193,2514293,2822180,2955935,3313234,3380839,3635680,3782060,3709064,3483691,3526201,3419288,3737294,3796978,3912978,4352381,4398689,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",57,"531","    Real estate",1292292,1404813,1509413,1627384,1641985,1910773,1999335,2339852,2274472,2472450,2523937,2494548,2378279,2393157,2346774,2563895,2512906,2603407,2924381,2944051,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",698995,766423,786317,869808,872308,911407,956600,973383,1106367,1163230,1258123,1214516,1105412,1133044,1072514,1173399,1284071,1309571,1428000,1454639,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",59,"54, 55, 56","  Professional and business services",27336953,31203115,33487138,37390603,37339553,37659923,38017650,40166411,43126330,46151161,49308207,51025880,49596936,50409313,53423859,56960116,59248036,60405023,64128365,65052318,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",60,"54","   Professional, scientific, and technical services",16599218,18911832,20334767,22280677,22024731,21426178,21221672,22434581,24081576,25621421,27890349,29005858,28111012,28035040,29567896,31220920,32269987,33590765,36327767,36673589,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",61,"5411","    Legal services",2366961,2497262,2515368,2709522,2754169,2929314,3125327,3278072,3470919,3646386,3845019,3906051,3850753,3773419,3868937,3884753,3927785,3951683,3920178,3970883,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",62,"5415","    Computer systems design and related services",4094604,4999383,5603249,5986011,5794875,5056860,4932402,4877099,5230998,5902918,6715454,6987966,6734613,6826196,7497841,7991351,8553821,9027559,9088021,9292059,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",63,"5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",10137653,11415188,12216150,13585145,13475686,13440004,13163942,14279411,15379659,16072117,17329876,18111841,17525646,17435425,18201119,19344816,19788381,20611523,23319567,23410648,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",64,"55","   Management of companies and enterprises",4656732,5409591,5892063,6786857,6823606,7230528,7596225,7948173,8634767,9955104,10613490,10954522,11138450,11548803,12380824,13573019,14637904,13868121,14434951,14607986,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",65,"56","   Administrative and support and waste management and remediation services",6081002,6881692,7260308,8323068,8491216,9003217,9199753,9783657,10409987,10574636,10804368,11065500,10347474,10825470,11475138,12166177,12340145,12946137,13365646,13770743,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",66,"561","    Administrative and support services",5607837,6355994,6738763,7731961,7900383,8392356,8551770,9097548,9699082,9813658,10020372,10239440,9507745,9793732,10601197,11178934,11382099,11972184,12383360,12782513,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",67,"562","    Waste management and remediation services",473165,525698,521545,591108,590833,610861,647982,686109,710905,760977,783996,826060,839729,1031739,873941,987243,958046,973952,982286,988230,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",68,"61, 62","  Educational services, health care, and social assistance",16343132,17448115,18359394,19728943,21241208,23124380,24650724,26109830,27405892,28791232,29987725,31454952,32719383,33204828,34190270,35892115,36989140,38412307,39666733,40929346,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",69,"61","   Educational services",1744375,1888420,2062283,2205900,2844877,3180301,3417097,3288564,3295133,3461891,3707307,3830992,4148242,4245798,4416632,4679825,4830978,5137047,5239872,5445227,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",70,"62","   Health care and social assistance",14598757,15559695,16297111,17523043,18396331,19944079,21233627,22821266,24110759,25329342,26280418,27623960,28571141,28959030,29773638,31212290,32158162,33275260,34426861,35484119,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",71,"621","    Ambulatory health care services",6594037,7051119,7279151,7839862,8231668,8823204,9343801,10195711,10803695,11384180,11848393,12410181,12807619,13019129,13487625,14185241,15014650,15622376,16111204,16625423,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",72,"622","    Hospitals",5498412,5749885,5959809,6198025,6688273,7184290,7685329,8075763,8453590,8865885,9157325,9636799,9903216,9921384,10298523,10700012,10652766,10914208,11469995,11796855,(NA)
 "34000" ,"New Jersey",2,SAGDP4N,"Compensation of employees","Thousands of dollars",73,"623","    Nursing and residential care facilities",1626965,1777522,1892957,2084901,2093211,2372229,2489272,2693704,2840746,2988542,3088393,3303411,3473520,3601600,3640420,3839142,3925078,4050861,4062099,4120339,(NA)
