GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",1,"...","All industry total",-4375002,-4720637,-5458834,-5500729,-6432536,-5234549,-6371569,-6074959,-7278453,-6653643,-6905250,-6926074,-7639081,-7164761,-8270498,-7566746,-8072116,-7476299,-7063042,-7600586,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",2,"..."," Private industries",-2676778,-3195774,-3896454,-4033939,-4771594,-3259462,-4230033,-3735112,-4905588,-4146107,-4324432,-4149858,-4577222,-4525389,-5210829,-4582696,-4774217,-4255441,-3910015,-4337085,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",-870751,-1350920,-1965333,-2159678,-2232188,-1275618,-1727981,-1479172,-2191158,-1733045,-1482534,-1587667,-1446259,-1426373,-1427326,-1186441,-1482540,-1177112,-1097469,-1513426,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",4,"111-112","   Farms",-870751,-1350920,-1965333,-2159678,-2232188,-1275618,-1727981,-1479172,-2191158,-1733045,-1482534,-1587667,-1446259,-1426373,-1427326,-1186441,-1482540,-1177112,-1097469,-1513426,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",9,"213","   Support activities for mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",10,"22","  Utilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",11,"23","  Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",12,"31-33","  Manufacturing",0,0,0,0,0,0,0,0,0,-668,-298,-31305,-88010,-257992,-325685,-260067,-115227,-114267,-88605,-84026,(NA)
 "93000" ,"Great Lakes",3,SAGDP5N,"Subsidies","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,-30998,-81187,-238882,-292851,-213716,-99747,-74128,-72407,-68243,(NA)
