GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",1,"...","All industry total",-464498,-524990,-740434,-746912,-793802,-618705,-716450,-616290,-879750,-783991,-718333,-676758,-767256,-701832,-709917,-671874,-671987,-660019,-699333,-802469,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",2,"..."," Private industries",-295487,-377191,-574140,-588838,-624879,-416700,-514706,-417081,-681793,-582667,-523756,-477424,-526949,-473148,-473947,-443489,-437858,-419883,-454512,-538435,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",-124593,-200088,-386725,-404546,-394163,-224784,-281478,-196730,-402928,-315949,-201245,-190739,-191826,-161289,-127029,-133470,-124037,-123847,-157790,-217011,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",4,"111-112","   Farms",-124593,-200088,-386725,-404546,-394163,-224784,-281478,-196730,-402928,-315949,-201245,-190739,-191826,-161289,-127029,-133470,-124037,-123847,-157790,-217011,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",9,"213","   Support activities for mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "41000" ,"Oregon",8,SAGDP5N,"Subsidies","Thousands of dollars",10,"22","  Utilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
