GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-58923,-64652,-87350,-111563,-110351,-113624,-135897,-117961,-126377,-144482,-121480,-42385,-61055,-73807,-108024,-145677,-107106,-118776,-138780,-193685,-264589,-346499,-347013,-405037,-484570,-358630,-418932,-361486,-310763,-395050,-513436,-414392,-402445,-440306,-415954
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-55731,-61214,-83566,-107473,-105896,-108743,-130396,-111694,-119219,-136241,-112725,-31476,-48802,-60958,-93137,-127489,-82570,-86204,-105663,-150618,-222926,-296860,-270480,-341150,-426527,-295696,-335059,-291009,-231594,-297176,-404433,-292877,-260172,-303136,-310900
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-49597,-53892,-75946,-95293,-94060,-96908,-118650,-97142,-103115,-102874,-83881,-14095,-27425,-27816,-56177,-79552,-30833,-31185,-40317,-60506,-128250,-205506,-174894,-232409,-296426,-170841,-224405,-177213,-113580,-164630,-249573,-141569,-107168,-148394,-152798
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-49597,-53892,-75946,-95293,-94060,-96908,-118650,-97142,-103115,-102874,-83881,-14095,-27425,-27816,-56177,-79552,-30833,-31185,-40317,-60506,-128250,-205506,-174894,-232409,-296426,-170841,-224405,-177213,-113580,-164630,-249573,-141569,-107168,-148394,-152798
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-192,-63,-34,-69,-103,-142,-131,-34,-71,-32,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-192,-63,-34,-69,-103,-142,-131,-34,-71,-32,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",11,"C","   Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",12,"D","   Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1681,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",13,"...","     Durable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",14,"24","       Lumber and wood products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",15,"25","       Furniture and fixtures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",16,"32","       Stone, clay, and glass products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",17,"33","       Primary metal industries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",18,"34","       Fabricated metal products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",19,"35","       Industrial machinery and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",20,"36","       Electronic and other electric equipment 2/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",21,"371","       Motor vehicles and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",22,"372-379","       Other transportation equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",23,"38","       Instruments and related products 2/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",24,"39","       Miscellaneous manufacturing industries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",25,"...","     Nondurable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1681,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",26,"20","       Food and kindred products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",27,"21","       Tobacco products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",28,"22","       Textile mill products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",29,"23","       Apparel and other textile products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",30,"26","       Paper and allied products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",31,"27","       Printing and publishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",32,"28","       Chemicals and allied products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1681,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",33,"29","       Petroleum and coal products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",34,"30","       Rubber and miscellaneous plastics products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",35,"31","       Leather and leather products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",36,"E","   Transportation and public utilities",-1406,-1387,-1444,-1267,-1271,-1169,-982,-891,-1628,-2257,-2523,-3160,-5901,-5775,-7822,-7730,-8613,-8894,-9266,-8753,-8883,-9792,-8034,-7338,-7402,-8190,-8334,-6867,-7712,-7115,-7530,-7358,-7471,-5086,-4428
 "18000" ,"Indiana",3,SAGDP5S,"Subsidies","Thousands of dollars",37,"...","     Transportation",-1406,-1387,-1444,-1267,-1271,-1169,-982,-891,-1628,-2257,-2523,-3160,-5901,-5775,-7822,-7730,-8613,-8894,-9266,-8753,-8883,-9792,-8034,-7338,-7402,-8190,-8334,-6867,-7712,-7115,-7530,-7358,-7471,-5086,-4428
