GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-79953,-98216,-105600,-130578,-113653,-123955,-133108,-149046,-154217,-226801,-200060,-181880,-252481,-279651,-363072,-426429,-488394,-542134,-622346,-836421,-970301,-1006245,-1064717,-1185411,-1411087,-1467990,-1496505,-1446420,-1611686,-1729722,-2026281,-1952625,-2061189,-2047943,-1886080
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-50859,-69207,-76367,-102228,-86086,-92993,-97808,-108016,-105891,-168548,-132922,-88798,-136086,-139511,-196607,-225768,-229342,-250360,-296987,-411733,-552609,-558043,-580185,-734700,-941628,-947116,-836558,-874142,-858610,-924068,-1124582,-1019550,-1041359,-1028970,-1063042
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-27374,-42600,-48919,-62181,-46233,-55337,-60120,-58797,-46056,-53916,-31512,-7123,-8778,-10765,-21230,-30120,-11241,-12363,-18438,-29836,-125156,-100885,-93820,-153954,-227476,-197573,-132366,-112324,-100074,-116951,-169730,-89979,-83327,-76040,-72924
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-27374,-42600,-48919,-62181,-46233,-55337,-60120,-58797,-46056,-53916,-31512,-7123,-8778,-10765,-21230,-30120,-11241,-12363,-18438,-29836,-125156,-100885,-93820,-153954,-227476,-197573,-132366,-112324,-100074,-116951,-169730,-89979,-83327,-76040,-72924
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-15,-4,-2,-6,-9,-9,-9,-1,-5,-1,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-15,-4,-2,-6,-9,-9,-9,-1,-5,-1,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "91000" ,"New England",1,SAGDP5S,"Subsidies","Thousands of dollars",11,"C","   Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
