GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-2963,-3897,-4190,-5963,-5310,-6026,-6450,-6290,-6093,-9036,-7065,-4281,-4775,-5718,-8122,-10911,-13212,-15239,-19140,-26627,-37266,-36754,-42072,-54923,-73842,-73491,-65338,-67831,-67275,-74081,-89109,-84487,-92383,-99666,-99441
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-2640,-3548,-3804,-5540,-4836,-5491,-5846,-5585,-5274,-8079,-5993,-3081,-3455,-4254,-6395,-8738,-8484,-9501,-12774,-20129,-29458,-28482,-33078,-44830,-62818,-61128,-51880,-52702,-53052,-56650,-71176,-65098,-66354,-68557,-71706
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-1999,-2736,-2982,-4194,-3463,-4073,-4271,-3532,-2902,-3486,-1833,-324,-571,-600,-1324,-1890,-732,-696,-1139,-1750,-7880,-5640,-5646,-9153,-17377,-15124,-8938,-7775,-7340,-8188,-11190,-6010,-5698,-5115,-5292
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-1999,-2736,-2982,-4194,-3463,-4073,-4271,-3532,-2902,-3486,-1833,-324,-571,-600,-1324,-1890,-732,-696,-1139,-1750,-7880,-5640,-5646,-9153,-17377,-15124,-8938,-7775,-7340,-8188,-11190,-6010,-5698,-5115,-5292
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000" ,"New Hampshire",1,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
