GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-38454,-45002,-46247,-59271,-59581,-60932,-61605,-73468,-93584,-125795,-111233,-92063,-123189,-138895,-175729,-203901,-216835,-237800,-379537,-499582,-620295,-664099,-718216,-772297,-887099,-914583,-922464,-987477,-1029376,-1058865,-1239669,-1169894,-1267597,-1250342,-1256958
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-36130,-42452,-43351,-56142,-56119,-56756,-56124,-66083,-83330,-110225,-94634,-68278,-93572,-98480,-127146,-143683,-148642,-161520,-189639,-255956,-328256,-336888,-363299,-444896,-565223,-561573,-510497,-539744,-539661,-585125,-695640,-640988,-645212,-638454,-711327
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-9525,-12525,-13668,-17850,-16138,-17640,-18279,-17200,-13410,-14736,-8379,-1963,-2663,-2793,-7369,-11037,-3978,-4471,-6585,-10602,-47511,-35819,-36396,-58457,-87223,-74104,-51370,-38391,-36045,-38122,-65126,-37697,-36664,-32272,-29964
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-9525,-12525,-13668,-17850,-16138,-17640,-18279,-17200,-13410,-14736,-8379,-1963,-2663,-2793,-7369,-11037,-3978,-4471,-6585,-10602,-47511,-35819,-36396,-58457,-87223,-74104,-51370,-38391,-36045,-38122,-65126,-37697,-36664,-32272,-29964
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-4,-1,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-4,-1,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",11,"C","   Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",12,"D","   Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5996,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",13,"...","     Durable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",14,"24","       Lumber and wood products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",15,"25","       Furniture and fixtures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000" ,"New Jersey",2,SAGDP5S,"Subsidies","Thousands of dollars",16,"32","       Stone, clay, and glass products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
