GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",1,"...","All industry total",-194969,-224048,-232249,-289371,-294186,-315435,-345639,-405194,-483614,-718331,-657055,-732385,-983866,-1170254,-1372356,-1589365,-1748485,-2030374,-2182743,-2723639,-3082020,-2978905,-3174024,-3132055,-3315293,-3504327,-3695591,-3960442,-4171094,-4335798,-4862913,-4684581,-5292579,-5212225,-4655010
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",2,"..."," Private industries",-147264,-171830,-172827,-223439,-220258,-222687,-225701,-241431,-256143,-382090,-308659,-232610,-363966,-360541,-482009,-546132,-552474,-579871,-657578,-843735,-1043205,-1040294,-1012792,-1193134,-1420803,-1385119,-1244446,-1295826,-1255020,-1340285,-1573724,-1432232,-1467976,-1397801,-1478713
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",3,"A","   Agriculture, forestry, and fishing",-37574,-50343,-54866,-77184,-70768,-79179,-86463,-81237,-65603,-69937,-38137,-8650,-12579,-12631,-29051,-45570,-19647,-22650,-30681,-46744,-184768,-137580,-127615,-215367,-301027,-243057,-183869,-144069,-124673,-133371,-213941,-109320,-102039,-97117,-80021
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",4,"[01-02]","     Farms",-37574,-50343,-54866,-77184,-70768,-79179,-86463,-81237,-65603,-69937,-38137,-8650,-12579,-12631,-29051,-45570,-19647,-22650,-30681,-46744,-184768,-137580,-127615,-215367,-301027,-243057,-183869,-144069,-124673,-133371,-213941,-109320,-102039,-97117,-80021
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",5,"[07-09]","     Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",6,"B","   Mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-1,-3,-2,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",7,"10","     Metal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",8,"12","     Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-1,-3,-2,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",9,"13","     Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",10,"14","     Nonmetallic minerals, except fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",11,"C","   Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",12,"D","   Manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3529,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",13,"...","     Durable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",14,"24","       Lumber and wood products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",15,"25","       Furniture and fixtures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",16,"32","       Stone, clay, and glass products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",17,"33","       Primary metal industries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",18,"34","       Fabricated metal products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",19,"35","       Industrial machinery and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",20,"36","       Electronic and other electric equipment 2/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",21,"371","       Motor vehicles and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",22,"372-379","       Other transportation equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",23,"38","       Instruments and related products 2/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",24,"39","       Miscellaneous manufacturing industries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",25,"...","     Nondurable goods manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3529,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",26,"20","       Food and kindred products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",27,"21","       Tobacco products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",28,"22","       Textile mill products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",29,"23","       Apparel and other textile products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",30,"26","       Paper and allied products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",31,"27","       Printing and publishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",32,"28","       Chemicals and allied products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3529,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",33,"29","       Petroleum and coal products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",34,"30","       Rubber and miscellaneous plastics products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",35,"31","       Leather and leather products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",36,"E","   Transportation and public utilities",-66487,-69389,-65414,-58527,-65094,-63755,-60288,-56022,-82055,-100011,-108418,-126818,-241757,-231364,-307334,-310805,-335299,-339305,-340508,-335564,-342786,-362376,-267275,-241760,-216371,-237981,-228421,-259645,-242059,-251273,-227846,-246296,-275521,-179451,-248376
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",37,"...","     Transportation",-66487,-69389,-65414,-58527,-65094,-63755,-60288,-56022,-82055,-100011,-108418,-126818,-241757,-231364,-307334,-310805,-335299,-339305,-340508,-335564,-342786,-362376,-267275,-241760,-216371,-237981,-228421,-259645,-242059,-251273,-227846,-246296,-275521,-179451,-248376
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",38,"40","       Railroad transportation",-2651,-2209,-3976,-5301,-5743,-5964,-5522,-5301,-16566,-40200,-44617,-70681,-185096,-170297,-241861,-232143,-270134,-281619,-273668,-276097,-291338,-314751,-231922,-212705,-191280,-216392,-205481,-236634,-216285,-232614,-204981,-227416,-256339,-167267,-240810
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",39,"41","       Local and interurban passenger transit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",40,"42","       Trucking and warehousing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",41,"44","       Water transportation",-53683,-57282,-51949,-45436,-52427,-51792,-50037,-47209,-57699,-52261,-56756,-48881,-50547,-54181,-57962,-71716,-57612,-49368,-56072,-53242,-51448,-47185,-32950,-27502,-23490,-20059,-22000,-22240,-24476,-18659,-22698,-18728,-18112,-11771,-7527
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",42,"45","       Transportation by air",-10153,-9898,-9488,-7790,-6923,-6000,-4729,-3512,-7790,-7550,-7045,-7256,-6114,-6886,-7510,-6946,-7553,-8317,-10769,-6224,0,-440,-2403,-1552,-1601,-1530,-940,-771,-1299,0,-167,-152,-1070,-413,-40
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",43,"46","       Pipelines, except natural gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",44,"47","       Transportation services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",45,"48","     Communications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",46,"49","     Electric, gas, and sanitary services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",47,"F","   Wholesale trade",-11750,-8340,-3145,-23924,-20542,-12068,-9419,-29981,-24963,-38029,-38186,-2820,0,-377,0,0,0,0,0,0,0,0,0,-3222,-120816,-109024,-46396,-28801,-26730,-77037,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",48,"G","   Retail trade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",49,"H","   Finance, insurance, and real estate",-31452,-43759,-49403,-63805,-63855,-67685,-69530,-74191,-83523,-174113,-123917,-94322,-109630,-116169,-145624,-189758,-197527,-217917,-286388,-461428,-515651,-540338,-617902,-729257,-782585,-795052,-785759,-863309,-861556,-878603,-1131936,-1076616,-1090416,-1121233,-1150315
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",50,"60","     Depository institutions 3/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9735
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",51,"61","     Nondepository institutions 3/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",52,"62","     Security and commodity brokers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",53,"63","     Insurance carriers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "36000" ,"New York",2,SAGDP5S,"Subsidies","Thousands of dollars",54,"64","     Insurance agents, brokers, and services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
