GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",2464844,2003882,1983092,2515409,2386006,2162907,2308764,2504932,2858961,3197109,4891268,10081360,4678801,5845746,7391390,7858329,8141441,5527623,2958045,3061990,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",2464844,2003882,1983092,2515409,2386006,2162907,2308764,2504932,2858961,3197109,4891268,10081360,4678801,5845746,7391390,7858329,8141441,5527623,2958045,3061990,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",53647,30539,27386,45105,41429,30275,46769,41164,53438,65157,89146,126947,122866,172785,244574,251549,261963,225306,176027,161006,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",937,856,902,849,811,817,892,929,945,1050,1204,1281,1297,1334,1381,1436,1484,1806,1621,1619,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",52710,29683,26484,44256,40618,29458,45877,40235,52493,64107,87943,125665,121569,171451,243193,250113,260479,223500,174406,159388,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1305454,840103,755652,1168869,1119182,864711,960904,1072465,1391256,1682653,3228955,8303553,2859914,3840976,5191636,5657512,5831908,3035452,715929,698552,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",1256061,786467,705426,1108168,1066742,815525,915218,1029234,1348298,1629854,3169265,8237067,2772331,3747897,5086324,5550683,5723159,2906770,612273,584215,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",12999,13261,13889,15071,12564,12183,12713,11573,12215,15342,17952,20045,24432,29659,40480,42238,44902,54003,41078,50216,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",36394,40374,36337,45631,39877,37004,32972,31657,30743,37457,41738,46440,63151,63419,64831,64591,63846,74680,62578,64121,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",37465,38244,39926,43766,40587,44355,47550,44997,41525,42168,44259,46296,56839,68749,84340,82503,81875,93524,74501,82935,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",9284,9902,10331,10430,11720,12816,14242,14301,12914,12523,12051,11340,13922,15162,16047,15382,14905,17501,14575,14204,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",26828,29104,29434,29426,29280,26721,29278,29528,28868,31310,33317,29611,35133,40391,48376,49141,54930,58391,49915,53326,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",3170,3633,3715,3788,3056,2982,3314,3217,3084,3091,3432,3524,4458,4570,4797,5155,5229,5407,4824,4573,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",468,596,526,458,434,278,243,266,236,285,378,405,449,340,246,764,726,889,802,719,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",622,652,768,795,815,805,973,857,785,732,718,692,958,987,953,897,803,789,805,805,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",133,158,173,192,81,71,90,104,71,64,116,116,133,138,171,111,88,103,76,74,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",503,503,510,559,477,484,546,548,506,520,563,596,753,737,972,1027,1065,920,749,689,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",256,336,327,344,174,219,200,163,163,162,166,187,252,246,271,253,227,257,271,253,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",339,440,430,462,273,274,306,288,314,314,338,342,454,459,523,532,543,535,339,341,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",73,70,57,59,42,36,44,55,50,65,68,55,62,48,47,40,44,34,29,31,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",203,263,252,229,128,126,136,144,153,148,150,148,181,217,220,222,220,258,255,272,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",309,336,378,395,339,377,411,425,460,451,575,627,815,979,964,946,925,873,863,1028,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",61,63,68,66,61,66,81,89,86,90,91,82,98,100,109,98,101,107,101,103,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",202,215,227,228,232,244,285,279,260,260,269,272,304,320,323,264,488,644,533,257,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",23658,25471,25719,25638,26224,23739,25964,26311,25783,28219,29885,26087,30675,35821,43579,43986,49700,52984,45091,48752,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",15793,15849,17415,17288,17307,15172,17531,18139,18132,19621,21716,17085,21772,26361,30783,32914,36914,39062,33773,36808,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",128,160,199,188,56,78,79,96,105,109,107,102,133,130,150,142,136,154,115,112,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",36,52,53,55,15,14,19,16,19,13,11,11,12,12,12,14,15,18,19,24,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",29,"322","    Paper manufacturing",1083,442,375,299,83,64,62,60,48,56,54,47,51,59,63,47,45,50,47,50,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",30,"323","    Printing and related support activities",326,345,387,395,349,342,355,325,277,280,282,280,339,343,400,372,332,370,272,297,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",5183,7402,5964,6234,6576,6273,6143,6087,5713,6794,6449,7623,7736,8241,11488,9840,11581,12647,10212,10757,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",32,"325","    Chemical manufacturing",971,1076,1179,1032,1682,1644,1623,1435,1344,1186,1088,756,382,436,470,468,495,482,485,504,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",137,146,148,146,156,152,153,153,145,159,178,183,250,239,213,190,181,202,169,200,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",34,"42","  Wholesale trade",290978,304788,338482,356164,296897,291526,294157,327183,349098,387196,419399,436472,366010,437078,451906,445456,474625,484593,467839,478398,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",35,"44-45","  Retail trade",48447,41698,43863,47690,49055,54018,55828,53044,64720,65378,85519,95950,111959,119504,108023,100938,101317,126547,152736,176115,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",36,"48-49","  Transportation and warehousing",289733,303852,317980,371595,336545,350876,356642,410519,399446,378901,418562,467666,474980,484988,502996,506625,551533,567811,570170,620301,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",37,"481","   Air transportation",83885,96750,104353,111060,106068,124700,128728,140092,131766,112217,142296,140838,146199,131281,132317,134000,149653,146934,147635,168568,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",38,"482","   Rail transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",39,"483","   Water transportation",6545,6753,8707,9834,7191,7060,7915,7559,5429,5864,4808,5576,4936,6098,8949,8707,9907,12243,9992,11522,(NA)
 "02000" ,"Alaska",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",40,"484","   Truck transportation",4078,4159,4211,4230,4529,5193,5538,5773,6791,8363,8389,8077,9502,10618,10711,9737,9713,10421,9460,10431,(NA)
