GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",8624303,9299848,10085885,10888754,11258881,11775115,11907839,12777034,13869744,14551730,15388250,15520505,15202281,17619023,18296775,17210321,17889864,18930092,19371907,20133532,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",8622721,9298201,10084101,10887013,11257069,11773134,11905803,12774795,13866793,14548727,15385948,15518620,15200498,17616768,18294613,17208239,17887790,18927804,19369516,20131131,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",76020,75198,80226,82472,81244,89611,90451,93531,99900,116171,151056,150133,143788,147639,153403,152668,158942,180283,170015,161564,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",67532,66583,70768,73782,72273,80342,80538,82283,88704,103675,136915,133984,129445,130400,135441,136929,142654,164883,154483,145423,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",8488,8615,9458,8690,8971,9269,9913,11248,11196,12496,14141,16148,14343,17239,17962,15738,16288,15400,15531,16141,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",278576,288046,290572,311421,389066,373609,479833,705445,901705,1076588,1196725,1383832,1208661,1413756,1619144,1425607,1610818,1849990,1678287,1513300,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",192664,200423,189708,217893,292542,271921,363723,572293,737791,875642,985445,1144491,988534,1199378,1339838,1152444,1330460,1535175,1415739,1271303,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",74236,75254,89071,79249,82125,85362,97863,109091,126634,151724,142444,149554,150477,125485,173633,173801,177710,197876,152887,138852,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",11676,12369,11793,14280,14398,16326,18247,24062,37280,49222,68836,89787,69650,88892,105674,99362,102647,116939,109662,103145,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",322297,321680,356343,352090,364501,395245,405415,444773,497997,581241,533537,565813,584374,729038,768425,706134,642145,683676,694471,737675,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",73708,88701,99895,115142,115923,119263,111515,124009,131263,126715,141579,127113,108924,146251,143206,124086,137707,140803,154914,167581,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",670010,765576,744239,841442,828488,840435,843305,850363,879261,753297,786256,790913,861637,994545,1001614,887450,915878,885442,874495,898983,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",169626,184294,197515,211452,244399,267689,256609,252561,256004,246334,268834,263080,281990,350021,364541,295094,342555,320222,333219,315045,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",3977,4221,4614,4981,4475,4692,4803,5426,5795,6412,7372,7002,5952,6326,6079,5200,5495,5482,5898,6312,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",13985,14926,16140,17637,16548,17526,17011,17395,17550,18336,21344,21787,21628,27958,27299,22439,22052,21572,22552,24171,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",8050,7020,6261,6391,5985,6845,7069,10233,7617,7381,9070,9996,12080,14864,16079,13264,12734,12008,11517,10799,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",16202,17321,18236,19135,18232,19847,19106,19503,18658,18662,22061,22229,23063,28490,31296,24275,34587,31859,30589,29983,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",13689,15009,15253,16625,16957,18323,17587,17663,17959,18470,22744,24712,28261,35919,38376,31569,30261,29500,32641,36793,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",77847,88965,98865,106479,135849,150300,138376,129206,132214,121222,123757,116345,125454,153224,158197,129787,135790,127682,132911,122637,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",2256,2281,2360,2788,4694,4715,4682,4594,4184,4242,4436,4279,4437,6235,6725,6289,6102,5509,5654,6206,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",4092,4588,4463,5343,5274,5013,5043,4269,4517,4178,4884,5198,6254,7562,7768,6582,6658,6639,7114,7715,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",16076,16394,16680,16991,18742,20633,21842,22407,25364,24080,27004,25224,28077,35211,34694,26645,27767,27843,32876,36904,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",2550,2678,3027,3384,3317,3785,3897,4062,4311,4313,5418,5277,5173,6342,6105,4850,4870,4745,5087,5547,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",10901,10890,11616,11698,14325,16011,17193,17803,17834,19038,20745,21032,21610,27890,31924,24195,56239,47384,46379,27979,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",500384,581282,546724,629990,584089,572745,586695,597802,623257,506963,517422,527833,579646,644524,637073,592356,573323,565219,541276,583938,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",444502,525491,489643,569987,512531,492099,500311,512076,534944,419976,420639,420464,466226,506173,484064,469550,443382,427686,402877,435851,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",1919,1974,1945,1960,1807,2176,2519,2583,2665,2771,3438,3629,4006,4574,3969,3072,2884,2628,2859,3269,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",1279,1388,1521,1691,1588,1593,1539,1188,1439,1284,1273,1200,1128,1240,1296,1098,1109,1048,1126,1217,(NA)
 "08000" ,"Colorado",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",29,"322","    Paper manufacturing",8584,6183,7829,7486,7368,8231,9340,7543,8055,6516,6212,6160,6476,8020,7275,5802,5596,5432,5437,5908,(NA)
