GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",10726106,11315698,11521171,11810320,11820076,12135411,13051286,13485044,14103813,14130225,14884203,14848930,15024175,15118070,15808862,17568414,17894959,18663580,18534170,18842942,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",10719095,11308234,11513256,11802460,11812098,12127563,13043471,13476947,14095065,14122099,14874946,14839354,15015158,15109587,15800393,17561805,17891299,18661097,18531620,18840585,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",12489,11684,14430,13401,13284,12902,14420,15322,16535,18409,21955,24390,22538,22790,25839,26803,27951,32390,30738,28965,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",10965,9949,12713,11774,11872,11449,12865,13596,14765,16466,19973,21997,20311,20344,23592,24695,25810,30124,28597,26738,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",1524,1735,1716,1627,1411,1452,1555,1726,1770,1943,1981,2393,2227,2446,2246,2108,2141,2265,2140,2227,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",6462,7845,8303,8350,6367,6978,7336,7362,7799,8971,8951,9640,9503,8908,8848,9590,10580,12535,12804,15217,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",316,213,138,112,0,0,0,34,35,24,22,23,5,0,0,0,0,0,0,0,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",5189,6677,7213,7360,5848,6436,6871,6866,7320,8300,8303,8855,8763,8006,7806,8568,9539,11446,11743,14255,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",958,955,952,878,518,542,465,463,444,647,626,761,736,902,1042,1021,1040,1089,1062,962,(NA)
 "09000" ,"Connecticut",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",578263,586523,572540,617666,556630,545191,608837,715649,735412,663178,710866,805526,853984,836248,859953,922417,943242,963176,904216,913464,(NA)
