GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",1884918,1912920,1933971,1904000,1853702,2028893,2705729,3218032,3246376,3332286,3670454,3664459,3516240,3715319,3653234,4008233,4196829,4536364,4953671,5137801,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",1884918,1912920,1933971,1904000,1853702,2028893,2705729,3218032,3246376,3332286,3670454,3664459,3516240,3715319,3653234,4008233,4196829,4536364,4953671,5137801,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",31,153,142,132,120,22,20,22,38,36,34,39,32,23,35,31,30,30,30,31,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",31,153,142,132,120,22,20,22,38,36,34,39,32,23,35,31,30,30,30,31,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",2792,3913,4060,5693,3839,4320,4449,2136,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",2496,3620,3737,5406,3611,4193,4387,2136,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",296,293,191,172,146,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",0,0,132,116,82,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",158421,167018,170209,175166,171849,177975,210917,233943,255263,267008,276937,291997,290191,249643,248732,260970,275905,294345,310192,320558,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",10676,10952,10843,10725,8268,9811,11624,13478,15696,16246,17110,17800,17902,18332,23237,25568,25227,28652,33128,33988,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",21807,23130,22092,22825,18385,16345,19746,22198,22357,20133,21529,22263,23242,23922,27299,26159,26926,24358,25263,25378,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",5783,7719,7266,5642,5711,5351,6287,7336,6167,5090,3864,4174,4001,3444,3086,3270,3710,3638,4685,5620,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",171,198,89,45,18,21,76,125,58,99,14,16,37,9,11,9,9,10,10,10,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",406,352,324,331,260,278,360,391,470,430,446,491,484,390,419,522,544,701,862,934,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",495,455,392,358,359,269,364,584,449,502,541,469,480,221,186,208,220,116,272,133,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",467,550,434,248,103,303,379,418,340,406,541,575,631,587,690,683,916,635,728,578,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",522,450,467,432,391,366,331,292,234,232,208,126,134,65,79,112,216,174,220,428,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",2199,4187,3880,2864,3613,3168,3559,4100,3624,2092,1523,1793,1685,1628,1101,1069,977,1013,1361,1854,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",219,221,213,174,195,18,58,98,105,58,19,21,8,5,39,17,30,9,20,49,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",282,307,315,322,1,12,20,19,11,11,12,2,0,0,1,11,12,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",374,373,563,333,308,440,531,647,425,780,128,156,0,0,0,0,0,0,171,371,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",94,101,137,121,113,115,147,158,180,197,211,223,258,258,320,365,370,397,443,465,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",554,525,452,416,350,361,460,505,271,283,220,301,283,281,240,275,416,584,600,798,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",16024,15411,14826,17182,12673,10995,13459,14862,16190,15043,17666,18089,19242,20478,24213,22890,23216,20720,20577,19758,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",3437,3399,3467,3217,3205,3587,4667,4729,5336,4032,4381,4462,5358,5496,5327,4969,4794,4623,5107,5855,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",27,"313-314","    Textile mills and textile product mills",236,220,255,213,125,102,111,121,127,144,167,224,187,146,83,106,111,129,183,182,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",317,306,285,251,182,178,233,225,243,225,245,263,245,258,241,271,250,261,293,276,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",29,"322","    Paper manufacturing",292,290,251,153,105,95,96,68,43,40,31,35,37,32,34,34,34,35,36,36,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",30,"323","    Printing and related support activities",3002,2720,2780,2275,1916,1668,1903,1965,2001,1830,1930,1969,1758,1642,1055,1266,1236,1144,1154,1255,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",31,"324","    Petroleum and coal products manufacturing",1862,1579,1275,1500,2061,1324,1440,2737,2074,2513,3098,2785,2766,3975,4268,64,12,80,88,91,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",32,"325","    Chemical manufacturing",6769,6802,6404,9573,5025,3993,4947,4986,6344,6236,7786,8321,8862,8904,13178,16153,16754,14421,13683,12033,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",33,"326","    Plastics and rubber products manufacturing",108,95,109,1,54,48,63,32,22,23,28,30,29,24,27,26,25,27,33,31,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",34,"42","  Wholesale trade",160412,152632,149361,151803,145525,146665,150427,157130,157137,154279,149803,161369,152469,168762,167521,184318,187137,188055,203832,196296,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",35,"44-45","  Retail trade",148004,151203,152280,141752,130570,134398,172784,179256,206391,211247,240419,239465,224998,258816,260633,263380,280884,309586,313064,319653,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",36,"48-49","  Transportation and warehousing",11648,12377,12064,12120,13465,11169,12050,13548,14910,14856,15554,19221,20294,20493,21557,25933,24674,31785,36102,41046,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",37,"481","   Air transportation",1629,2446,2351,1564,1457,1182,1191,1114,1254,1007,1767,2934,1991,1501,1572,1785,2141,8580,9891,12287,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",38,"482","   Rail transportation",3405,3584,3672,3759,4886,4396,5480,7344,7881,8107,7319,9701,10925,11730,12660,15168,13631,15705,17083,19526,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",39,"483","   Water transportation",1428,1328,1272,1220,942,885,1000,1142,1001,984,872,1040,1129,1111,1063,881,1068,389,411,567,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",40,"484","   Truck transportation",756,681,632,578,644,722,566,601,1563,1609,1583,1382,1467,1190,1454,1414,1406,1493,2007,2145,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",41,"485","   Transit and ground passenger transportation",2135,2290,2412,3356,1842,1818,1998,2088,2218,2170,2136,1941,2392,2371,2369,2542,2629,2679,2982,3023,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",42,"486","   Pipeline transportation",461,595,412,358,2642,1183,900,378,117,130,352,503,498,623,633,2242,1598,328,654,334,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",43,"487-488, 492","   Other transportation and support activities",1650,1223,1090,1038,827,729,768,727,702,714,1426,1700,1871,1950,1787,1878,2176,2556,3002,3120,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",44,"493","   Warehousing and storage",184,230,223,245,226,254,148,154,173,135,98,21,21,17,19,22,26,55,72,43,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",45,"51","  Information",203059,183666,183433,165484,175429,190510,226825,256086,274411,252239,207381,214171,212601,210064,199319,202082,214271,227723,238776,242726,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",46,"511","   Publishing industries (except Internet)",13764,13568,13235,12432,19127,21760,29682,34839,36908,39945,35821,34976,35355,33295,32576,36300,35787,37004,37079,39032,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",47,"512","   Motion picture and sound recording industries",1935,2081,2128,2257,2155,2279,4919,6603,5958,5398,5052,13872,14085,14913,13073,14446,14033,13875,15190,13555,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",179252,157286,155465,138108,139898,150442,168583,186582,199714,174927,149444,146318,144687,140841,133826,130296,142359,148183,152738,152858,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",49,"518, 519","   Data processing, hosting, and other information services",8108,10732,12606,12687,14248,16029,23640,28062,31831,31969,17063,19004,18474,21014,19845,21040,22092,28660,33770,37281,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",476782,460266,445287,460099,465845,496416,591675,657614,730679,796830,934070,1000389,1038509,1045944,1003356,1084048,1026613,1170625,1275671,1323675,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",51,"52","   Finance and insurance",116722,111606,100161,107098,86282,92738,116393,139466,147501,174195,162066,166116,159434,167418,164038,189068,201313,255991,295353,304487,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",37159,39687,39730,42919,36003,37308,41920,52457,53063,62375,77097,74786,68015,67429,62708,67438,72185,84339,94955,99039,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",19019,18975,19485,18326,8937,9194,13428,17669,25039,26251,17675,20362,20125,19105,18177,19625,20001,23539,28431,30270,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",54,"524","    Insurance carriers and related activities",55014,47586,34058,38432,39127,42827,50942,60142,61489,65428,64561,68878,69086,79084,83014,101064,106456,144749,167099,171080,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",55,"525","    Funds, trusts, and other financial vehicles",5531,5358,6888,7420,2215,3409,10102,9197,7910,20141,2733,2090,2207,1800,139,942,2671,3364,4868,4099,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",56,"53","   Real estate and rental and leasing",360060,348660,345126,353001,379563,403678,475282,518149,583178,622636,772004,834273,879075,878526,839318,894980,825300,914634,980318,1019188,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",57,"531","    Real estate",348173,336912,332806,339133,367640,391290,459961,501025,562788,601308,748088,809463,854950,855257,816949,871815,801302,889292,956180,994620,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",11887,11748,12320,13868,11924,12388,15321,17123,20390,21327,23916,24811,24125,23269,22369,23164,23998,25341,24138,24568,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",59,"54, 55, 56","  Professional and business services",147573,193358,212207,195671,213972,300886,623838,917920,674303,655868,731320,539377,371951,456606,508748,605674,706089,720189,853278,932108,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",60,"54","   Professional, scientific, and technical services",128696,173518,193285,174771,196720,282583,602490,893384,644206,618933,696888,501372,331757,413828,467639,556442,654464,661770,780738,861620,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",61,"5411","    Legal services",82052,123898,140743,123820,146860,224807,525789,796818,522384,483090,574107,369768,188912,261597,323158,379102,466631,453651,539550,607662,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",62,"5415","    Computer systems design and related services",5498,5453,7279,7588,6077,7936,12999,17737,24416,28350,21151,23482,26880,29221,28245,35206,35234,40030,47976,48165,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",63,"5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",41146,44167,45263,43364,43783,49840,63702,78828,97406,107493,101630,108122,115966,123011,116236,142134,152599,168089,193212,205793,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",64,"55","   Management of companies and enterprises",7550,8261,7580,9195,7224,7299,6856,8516,10261,13895,11192,12224,12765,14291,11650,13589,12985,16065,21916,19265,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",65,"56","   Administrative and support and waste management and remediation services",11327,11579,11342,11705,10028,11004,14491,16020,19836,23041,23240,25781,27429,28487,29459,35643,38641,42354,50624,51222,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",66,"561","    Administrative and support services",10164,10529,10458,10881,9368,10093,13376,15165,18750,21878,22099,24522,26216,27046,27737,34320,37284,40745,49098,49155,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",67,"562","    Waste management and remediation services",1163,1050,883,824,660,912,1115,855,1086,1163,1141,1259,1213,1441,1722,1323,1356,1608,1527,2068,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",68,"61, 62","  Educational services, health care, and social assistance",104064,107206,100642,98173,100953,113442,130727,143276,170197,183717,224709,246797,263664,275536,264981,259988,294427,329721,351101,360633,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",69,"61","   Educational services",56927,61371,57873,54554,43673,50334,59526,67715,76813,85149,101922,122270,134310,131658,124512,136695,158926,172185,187612,193934,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",70,"62","   Health care and social assistance",47137,45834,42769,43619,57280,63107,71201,75561,93384,98568,122788,124528,129354,143878,140469,123294,135500,157536,163489,166699,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",71,"621","    Ambulatory health care services",10764,10653,10048,10115,7674,8261,8803,9582,11528,11480,13588,14355,15061,15289,15560,16041,15631,19518,24924,26933,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",72,"622","    Hospitals",28777,27554,25402,26082,41059,45014,50056,52264,64702,69277,88408,89035,92067,103159,100522,83577,94265,109039,109484,111488,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",73,"623","    Nursing, and residential care facilities",5429,5352,5043,5069,6498,7363,9031,9284,12006,11883,14695,14766,15692,18871,18124,16855,17708,20068,18685,17794,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",74,"624","    Social assistance",2166,2277,2275,2354,2050,2469,3310,4432,5147,5928,6097,6371,6535,6558,6263,6820,7897,8912,10396,10484,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services",302046,312465,343478,340626,293348,305625,402787,449597,522325,544585,608562,652265,636828,711609,662832,765786,808300,860053,924595,930821,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",76,"71","   Arts, entertainment, and recreation",3545,4323,4714,5844,10313,10550,11819,11730,17322,18030,19708,25708,28640,28452,22770,22180,25042,29814,43962,43926,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",77,"711-712","    Performing arts, spectator sports, museums, and related activities",1818,2532,2625,3127,7967,7958,9012,8761,13758,14114,15494,20592,23127,23258,17937,17383,20124,24058,37784,37201,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",78,"713","    Amusement, gambling, and recreation industries",1727,1791,2090,2717,2346,2592,2807,2968,3564,3916,4213,5117,5513,5194,4833,4798,4918,5757,6178,6725,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",79,"72","   Accommodation and food services",298502,308142,338764,334781,283035,295074,390967,437867,505003,526555,588855,626556,608188,683157,640062,743605,783258,830239,880633,886896,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",80,"721","    Accommodation",193544,197000,218515,214072,170157,175654,233641,261054,300373,312442,342493,357338,346877,386560,374841,427333,439443,459629,478608,482780,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",81,"722","    Food services and drinking places",104957,111142,120248,120709,112878,119421,157326,176812,204630,214114,246361,269219,261311,296597,265221,316272,343814,370610,402025,404115,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",82,"81","  Other services (except government and government enterprises)",137604,134582,127874,123733,112132,121309,147862,171827,202670,215240,243026,259305,263557,275570,264983,304295,326347,351242,388639,410888,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",83,"..."," Government and government enterprises",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",84,"...","  Federal civilian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",85,"...","  Military",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",86,"...","  State and local",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",87,"11, 21","Natural resources and mining",2822,4066,4202,5824,3959,4342,4469,2158,38,36,34,39,32,23,35,31,30,30,30,31,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",88,"42, 44-45","Trade",308416,303835,301641,293554,276095,281064,323211,336386,363527,365526,390221,400834,377467,427578,428154,447699,468021,497641,516896,515949,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",89,"...","Transportation and utilities",170069,179395,182273,187286,185315,189144,222966,247491,270173,281864,292491,311218,310485,270136,270289,286903,300579,326130,346295,361604,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",90,"...","Private goods-producing industries 2/",35305,38148,37136,39374,30612,30498,35839,37834,38091,36415,38673,40102,41177,42276,50571,51759,52182,53040,58420,59397,(NA)
 "11000" ,"District of Columbia",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",91,"...","Private services-providing industries 3/",1849613,1874773,1896835,1864626,1823090,1998394,2669890,3180198,3208285,3295870,3631781,3624357,3475063,3673043,3602663,3956474,4144647,4483324,4895251,5078405,(NA)
"Note: See the included footnote file."
"SAGDP6N: Taxes on production and imports 1/"
"Last updated: November 14, 2018; revised statistics for 1997-2017."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
