GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",29439947,30115321,32418758,33893759,34758558,36193836,38062174,40604567,43861506,46401457,47895894,49321607,48397663,47998856,49626172,52315375,54595509,57139459,58998506,60252113,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",29439289,30114682,32418087,33893127,34757934,36193221,38061567,40603900,43860828,46400740,47895124,49320747,48397091,47998275,49625156,52314297,54594326,57138057,58997023,60250724,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",307250,299573,335120,331238,325663,364852,409965,365637,333564,363224,355993,384988,396577,412690,425171,433822,447579,521290,495714,461680,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",298057,290353,326245,321646,315497,354688,399304,353944,320995,348834,341809,368148,381118,398027,408485,416707,430177,500654,476789,442291,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",9193,9220,8875,9591,10166,10164,10661,11693,12569,14390,14184,16840,15459,14663,16687,17115,17402,20636,18925,19389,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",141193,137232,135501,131210,119464,124224,124734,136011,153251,171051,177011,177145,180419,181064,186981,235615,268103,296491,256170,253903,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",20066,19132,16919,21708,24338,26191,24261,29518,41777,52822,51498,56770,48025,47416,43655,58533,75753,84501,57150,52310,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",114279,111717,112513,103136,88758,91309,93798,99274,103308,108426,115591,107820,117879,119864,128565,159374,174682,194250,180982,183481,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",6848,6383,6069,6367,6369,6725,6676,7219,8165,9803,9923,12555,14515,13785,14761,17708,17667,17740,18038,18113,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",1890761,1949597,2242548,2432521,2304341,2365204,2425516,2672374,2795230,3014056,2990552,3073985,3138963,3089277,3232722,3315136,3316034,3312543,3279300,3416714,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",168075,182363,204607,222234,227556,258038,273116,296030,303753,305569,283310,272739,272701,257481,256224,252412,264846,272823,280760,290863,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",1591429,1623759,1691610,1771736,1909232,2017428,2093925,2246906,2256594,2355859,2503390,2574401,2733528,2775489,3022930,3187409,3582925,3679119,3875880,3793957,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",821616,840150,862642,886164,926444,957820,994952,1058549,1063881,1100183,1150517,1181942,1254638,1218088,1286044,1341712,1517170,1452283,1444874,1385168,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",13213,13250,13759,14180,12934,13477,13789,13573,13707,14567,15085,15579,15225,14022,14184,13941,14718,14927,17250,16399,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",40234,42252,45269,46114,42824,41985,45461,49860,51502,54000,54307,55682,57594,54703,57389,58831,60469,61800,64687,65645,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",127466,131441,130768,130006,105767,100712,106591,117966,113118,117367,123693,130263,138263,136739,143796,147878,150902,147470,144525,139620,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",137717,142643,149433,155688,149109,159215,167663,180880,173643,178102,184870,186937,193371,192659,207696,207341,232855,218251,216063,218883,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",173864,187741,201615,205578,209744,216284,219732,236967,254047,270677,285664,293885,322260,310605,330966,346390,339500,334551,323338,333826,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",157534,143699,134297,136305,167491,172973,179540,179380,182072,178563,186282,186726,202473,185212,184983,194898,231159,209740,209580,195536,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",55103,56229,58528,62149,76668,79293,76501,74905,77204,73549,73444,74903,79819,74860,74238,75662,80561,74335,76381,79483,(NA)
 "17000" ,"Illinois",3,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",52010,56983,59319,61719,74712,81069,85208,94418,91116,97922,104360,109657,112379,117664,133673,147037,156361,152703,159157,159388,(NA)
