GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",12183523,12896576,13651005,14242768,14933654,15661589,16753617,18101098,18879875,19238410,19282291,19503965,20040675,21114141,21754139,22712688,24094840,25960967,27021477,27853922,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",12183523,12896576,13651005,14242768,14933654,15661589,16753617,18101098,18879875,19238410,19282291,19503965,20040675,21114141,21754139,22712688,24094840,25960967,27021477,27853922,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",25843,23293,28442,26954,29579,30107,33232,36800,43112,44550,50469,55998,51389,55825,57746,58238,58228,61928,59336,58680,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",17504,15282,18905,16866,16314,15057,17043,18093,19758,21952,26875,29661,27368,27331,31782,33232,34561,40333,38215,35806,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",8339,8011,9537,10088,13265,15050,16189,18707,23354,22598,23595,26337,24021,28494,25964,25006,23667,21595,21121,22874,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",8567,9202,9529,9825,9279,10637,12423,13657,14513,15093,13496,11449,12329,12051,12515,12489,13543,15458,16477,19073,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",15,23,15,15,0,0,348,354,308,271,325,364,419,490,659,876,902,920,946,865,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",8343,8954,9244,9374,8852,10142,11303,12438,13374,14078,12370,10200,10751,10116,10150,9782,10571,12409,13091,15269,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",208,224,270,436,427,496,772,864,831,745,802,885,1159,1445,1706,1831,2071,2129,2440,2939,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",244823,256361,261321,274414,257116,266747,287741,301963,316762,334983,384047,406596,446353,484171,516011,521910,544964,606446,585681,628834,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",52010,61497,67149,73691,74855,85715,86331,96332,97579,94582,92712,93910,94528,99430,104261,116649,132748,138291,151285,161146,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",692962,729070,772387,813169,900268,932291,966957,994610,1023616,1062564,1122354,1136607,1142018,1232859,1343303,1394510,1583246,1763897,1788617,1654204,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",427021,456806,491038,522246,583732,597799,604710,631806,631905,644846,660522,690368,670362,721578,767012,771295,914227,958496,916699,849755,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",3610,3782,3842,4111,3944,3940,4100,4898,5218,5571,5400,5211,5233,5507,5731,5793,6131,6430,6904,7330,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",12294,13359,13919,14300,13796,13809,12976,14218,14895,15479,17062,17428,17915,18787,19454,19810,20193,21500,21442,21936,(NA)
 "25000" ,"Massachusetts",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",22101,21636,22695,22929,20677,20119,19855,21522,20385,19848,21402,21794,23284,24778,22169,20916,21056,21346,19701,20497,(NA)
