GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",10186906,10786720,11101920,12281675,13054084,13663618,14373543,15321091,17725020,18429141,18576637,18234907,16908759,19205928,19451137,19983123,20841018,22584578,23259354,24003161,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",10186906,10786720,11101920,12281675,13054084,13663618,14373543,15321091,17725020,18429141,18576637,18234907,16908759,19205928,19451137,19983123,20841018,22584578,23259354,24003161,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",26940,25561,32505,31748,32342,32169,35434,37028,40303,43714,50006,54562,49726,50511,57431,59474,62130,71949,68462,64816,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",24144,22750,29569,28473,29171,28838,31745,32720,34796,37405,44298,48557,44899,44793,51904,54293,56482,66035,62667,58828,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",2795,2811,2936,3276,3171,3331,3689,4308,5507,6310,5707,6005,4827,5719,5527,5181,5648,5914,5795,5989,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",13499,14255,13799,15989,15360,15330,15453,16445,19812,20894,17511,16217,15208,17256,17162,18111,17693,19854,20276,23651,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",222,281,120,400,1772,1246,1177,588,605,592,179,168,106,97,102,119,207,393,447,481,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",12601,13217,12859,14624,12893,13217,13271,14489,16661,17068,14360,13182,11894,13233,12736,13212,12738,14517,14561,16836,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",676,757,819,966,696,867,1005,1368,2546,3233,2972,2866,3208,3926,4325,4780,4748,4944,5268,6335,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",649694,637427,657145,696434,663988,656446,799948,952106,963385,1044273,1120724,1156742,1133454,1303855,1439908,1466901,1448384,1506688,1559801,1622392,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",137726,158403,176579,185885,165110,177613,174980,207979,350878,382456,348881,253201,202429,224289,209169,203989,213931,251975,252983,266616,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",412007,433987,434015,504531,563975,566472,556737,602014,673884,722114,751661,720542,659502,775345,849202,759461,849036,866911,888410,834865,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",149777,164749,162093,184948,217660,237938,236454,258454,298895,312830,312025,285451,260985,301314,280983,254596,292734,307028,311139,295744,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",2901,3206,3352,3929,3653,3801,3804,4343,6016,6509,5831,4773,4212,4296,4194,3802,4120,4522,4698,5161,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",8968,9362,9132,10697,10525,10903,10397,11633,14581,15951,15126,13481,12215,13526,13156,12569,14072,16633,17675,18331,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",31891,33046,27935,28844,23711,26539,25816,25590,24927,23262,23639,24289,24282,24139,21202,14073,5202,6156,6962,7555,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",15165,15808,17141,17928,16101,16658,16402,18990,23231,27396,24022,31411,13449,18925,23956,20138,35693,31759,28943,25882,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",16609,18912,19887,22782,25290,25495,23860,28558,27310,30102,29261,23961,20973,23730,21544,20344,22026,24815,25876,26123,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",49438,58701,59296,71436,103492,115403,114263,123041,140779,143974,149375,133436,136926,159864,144353,135785,151460,165028,167202,160067,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",2795,3123,2971,4343,6273,5591,5113,5399,7726,7816,7829,6915,5446,6044,5570,5115,5303,5858,7115,7220,(NA)
 "24000" ,"Maryland",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",7573,7861,6997,7644,8918,9557,9911,11067,12644,11767,9142,6565,5253,5679,5673,4680,5616,6388,6400,7028,(NA)
