GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",1558848,1606492,1593715,1684776,1657617,1685088,1791692,1939255,2079525,2226233,2400858,2508815,2507492,2523139,2673323,2755262,2847763,2966295,2835767,2974055,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",1558848,1606492,1593715,1684776,1657617,1685088,1791692,1939255,2079525,2226233,2400858,2508815,2507492,2523139,2673323,2755262,2847763,2966295,2835767,2974055,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",95946,92774,97099,98214,93915,102649,100229,100955,106102,120281,151267,149595,143476,144545,150131,152202,159669,182653,172704,163873,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",87939,84541,88758,89592,85747,94010,91386,91416,96515,110216,140089,137124,132541,133492,137979,139840,147234,170230,159534,150130,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",8007,8233,8341,8622,8168,8639,8843,9539,9587,10064,11178,12471,10935,11052,12153,12362,12435,12423,13170,13743,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",141540,125472,141963,163660,170781,146577,152867,178958,270449,345878,418029,497283,387573,432883,506621,519675,549343,573136,425483,400417,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",11948,15232,17120,21155,28189,26854,24094,46536,65486,104197,131713,141984,141869,159734,176814,185097,194746,214236,180245,183421,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",120298,102427,118109,135289,135046,112092,120583,120279,190374,223822,269411,334733,226618,254027,307623,304672,325297,328651,220285,197389,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",9293,7814,6734,7216,7546,7631,8190,12143,14589,17860,16905,20567,19086,19122,22184,29906,29299,30249,24953,19607,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",150458,146385,154357,156829,134575,130136,140001,142246,142894,141738,150020,164704,194320,190855,206198,206832,203465,211187,217395,220223,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",17158,19394,20674,20409,19558,21604,25366,29240,30272,31386,35781,32139,34411,33458,32756,34084,35672,34820,38587,39723,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",70746,77296,77213,78857,78980,75411,78442,78401,76273,78086,85507,90127,104404,97705,107316,109612,128305,142082,147443,156084,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",28216,31417,32209,32509,31822,29157,28290,27048,25398,25842,28531,30355,29822,26294,30669,31824,42462,43277,42515,39737,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",10307,10897,10910,11062,9226,8769,8376,8168,7413,7282,7790,7582,7831,6614,6569,6430,6568,6608,6706,6804,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",2991,3382,3604,3476,2959,2734,3416,3320,3166,2940,3311,3432,4007,3555,3614,5885,5755,5760,6238,6141,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",5600,5835,5533,5482,4624,3245,2615,1695,1473,1443,2535,2453,1912,634,783,718,828,922,1002,1087,(NA)
 "30000" ,"Montana",7,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",2164,2329,2438,2444,2420,2477,2681,2814,2265,2734,2711,4513,2641,2857,6124,5795,14315,12705,10233,9481,(NA)
