GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",2730674,2824750,3076415,3198809,3270763,3455433,3830554,4068567,4209484,4281049,4334180,4310409,4477387,4427996,4629930,4816419,5135122,5569314,5831858,6095080,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",2730674,2824750,3076415,3198809,3270763,3455433,3830554,4068567,4209484,4281049,4334180,4310409,4477387,4427996,4629930,4816419,5135122,5569314,5831858,6095080,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",12351,11127,13331,12117,11440,10641,11998,13016,14177,15726,18899,20935,19145,19326,21952,23147,23968,27834,26601,24927,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",10230,8852,10798,9518,8993,8200,9455,10153,11149,12596,15523,17266,15870,15959,18485,19288,20113,23531,22368,20916,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",2121,2275,2534,2599,2447,2440,2543,2863,3028,3130,3375,3669,3275,3367,3467,3859,3855,4303,4233,4011,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1870,1940,2302,2193,3734,4045,4122,4792,5429,6069,6837,6277,6265,6342,6633,7663,8546,10146,10940,12971,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",1446,1506,1830,1769,3636,4027,3990,4648,5288,5795,5842,5310,5297,5287,5273,6606,7444,9128,9691,11364,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",424,434,472,424,98,18,132,143,141,274,995,967,968,1055,1136,1057,1103,1017,1249,1606,(NA)
 "33000" ,"New Hampshire",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",184190,178903,183120,181212,169535,179778,187452,213308,213297,223234,228359,245368,266976,271657,285556,286823,297431,300851,295211,295184,(NA)
