GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",4980543,5321606,5819242,6263178,6527194,6887235,7041293,8779254,10325165,10707422,11194279,11305732,10596751,10971659,11412279,11156471,11919479,12266632,12837599,13682736,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",4980541,5321603,5819239,6263175,6527191,6887233,7041291,8779251,10325135,10707327,11194135,11305523,10596545,10971558,11412189,11156389,11919390,12266532,12837493,13682619,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",10779,11366,11374,11321,11327,12662,12262,13367,14575,14189,14500,14845,14236,14663,14847,15033,16525,18203,17110,16309,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",6892,6813,7146,7430,7093,7938,7822,8020,8588,9910,12624,12337,11935,12018,12361,12523,13735,15824,14899,14152,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",3887,4553,4228,3891,4234,4724,4440,5347,5987,4279,1876,2508,2301,2645,2487,2510,2790,2379,2211,2157,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",106745,96442,106530,106852,101586,90581,103011,119603,125443,137832,188901,229541,255023,370245,503261,498133,540796,342441,306984,310976,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",263,151,169,209,164,239,209,358,523,618,672,860,1029,1130,1159,1332,1235,1236,1075,839,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",103731,94004,103607,103191,99399,87699,99684,115063,120727,132214,181418,215806,242101,353250,484608,476271,521509,325766,289323,290241,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",2751,2287,2754,3451,2022,2643,3117,4182,4192,5000,6811,12875,11893,15864,17494,20530,18053,15439,16586,19896,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",105490,112870,132750,143144,166978,204709,226129,250970,257116,277807,320887,366523,405244,414102,410782,384359,400987,392787,395528,403070,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",51652,56413,59713,63699,79756,86691,93962,122466,124286,124516,129190,185938,142439,125892,98108,93746,102114,108794,128143,137828,(NA)
 "32000" ,"Nevada",8,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",49318,53276,57628,63974,75675,79826,87218,101353,108083,118283,140137,175448,167721,172309,163654,158603,205095,194907,202866,190337,(NA)
