GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",5555606,5615576,5796585,6395513,6452070,6461612,6816247,7392141,7939260,8739545,9112797,9423527,9498315,10034730,10517283,11561507,11770652,12081639,11932238,11977220,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",5542860,5602669,5783027,6381461,6436961,6445931,6799824,7374672,7921599,8724860,9094158,9400501,9475286,10009528,10490793,11532464,11741090,12050030,11901504,11945053,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",81077,81271,95116,90894,94069,94292,112851,111602,102257,106234,114996,125252,128638,133352,136818,144260,153491,160269,164072,157892,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",76914,77006,90516,86013,89086,88787,106726,104561,95230,99581,107307,117076,121741,125894,129551,136826,145945,152820,156770,149859,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",4162,4264,4600,4880,4983,5505,6125,7041,7027,6653,7689,8176,6897,7459,7267,7434,7545,7449,7302,8033,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",682587,587057,523587,810595,829799,728123,960570,1190182,1458043,1830848,1858082,2194216,2298580,2465429,2672927,2997023,2995928,2819509,2573978,2355159,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",650927,555597,489756,771586,789720,687957,918608,1144954,1405037,1775961,1789129,2113069,2224362,2385739,2589620,2907663,2905507,2717335,2481038,2253210,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",10567,11087,11759,13066,12787,12133,12522,13195,12734,12395,14119,14965,14413,15409,16637,18844,22108,27223,24740,25277,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",21093,20373,22072,25943,27292,28033,29440,32032,40272,42492,54834,66181,59804,64281,66670,70517,68313,74951,68200,76673,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",219146,219546,230286,248438,259689,269181,271859,283383,290924,311833,346794,341370,386328,414500,403111,428452,424313,464744,447261,466473,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",11,"23","  Construction",31245,34975,38625,40360,45466,49360,49468,51911,59033,55440,61184,58969,53747,56144,53112,57382,59737,65144,62058,65456,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",12,"31-33","  Manufacturing",226893,229379,250515,272586,215600,224331,226809,249861,227889,241643,250824,258016,303216,328882,352905,333808,361374,351402,351627,344191,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",124712,128475,140398,154850,123163,127746,125581,135113,133340,121485,138775,129666,129675,129863,120278,125230,126513,125288,128819,127320,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",14,"321","    Wood product manufacturing",3371,3442,3781,4301,3724,4016,4098,4336,4415,3873,4117,3864,3656,3219,2743,2671,2549,2569,2764,3101,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",9091,9545,10694,11692,9632,10286,10382,11455,11708,11010,12272,11516,12235,12350,10701,10515,9958,9818,10638,11603,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",16,"331","    Primary metal manufacturing",9027,9143,9170,10481,7899,7369,7789,8757,8461,7456,8837,9635,10272,10010,9419,9309,8662,7371,7440,8352,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",20386,21078,24014,26458,21437,23286,21499,24089,24087,22331,25692,23402,23400,23451,22419,24099,24191,23468,24189,23781,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",18,"333","    Machinery manufacturing",26091,27774,30668,34578,29467,29745,29985,33386,34420,32152,39857,38136,38014,39221,37708,40659,39193,39132,39168,39627,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",19,"334","    Computer and electronic product manufacturing",20808,21927,23717,25931,18294,16106,15395,15110,14151,12439,14221,12222,12741,12043,10568,10880,11240,10513,11326,10030,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",3948,3921,3896,4315,3777,4016,3919,3927,4439,3541,3984,3644,3808,4065,3481,3298,3017,2940,3164,3609,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",16817,16682,18463,19783,15839,19310,19178,19242,16965,14581,13994,13516,12423,11979,10788,10889,10494,10727,10612,11009,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",22,"3364-3369","    Other transportation equipment manufacturing",8346,8068,8328,9298,7018,6850,6722,7503,7461,7345,8821,7567,7705,7991,7494,8035,8298,8478,9822,11400,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",23,"337","    Furniture and related product manufacturing",1631,1665,1862,1961,1383,1553,1541,1782,1807,1679,1737,1400,1172,1163,1119,1188,1119,1052,1077,1157,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",24,"339","    Miscellaneous manufacturing",5195,5229,5807,6054,4694,5210,5074,5524,5427,5079,5245,4765,4248,4372,3839,3685,7792,9220,8618,3651,(NA)
 "40000" ,"Oklahoma",6,SAGDP6N,"Taxes on production and imports","Thousands of dollars",25,"311-316,322-326","   Nondurable goods manufacturing",102181,100904,110117,117736,92437,96585,101228,114748,94549,120158,112049,128350,173541,199019,232627,208578,234861,226114,222808,216871,(NA)
