GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",24085541,25198591,26396061,27204929,28090846,28980820,30988788,33765276,37420213,38876081,41013527,39503300,38417192,39456562,41499369,43005322,44622611,45917038,47567162,48819101,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",24085541,25198591,26396061,27204929,28090846,28980820,30988788,33765276,37420213,38876081,41013527,39503300,38417192,39456562,41499369,43005322,44622611,45917038,47567162,48819101,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",143906,133053,165005,155121,152870,148735,163516,172365,185381,203534,239169,260738,238791,238489,274077,285704,295643,339664,320893,302287,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",133445,122227,153629,142562,139815,135429,149726,156687,168008,184447,219573,239558,220754,220205,255182,266466,275353,320464,302818,283521,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",10461,10826,11376,12559,13056,13306,13790,15677,17374,19087,19596,21180,18036,18284,18895,19238,20290,19200,18076,18766,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",201964,219105,207579,206570,198044,197911,200957,231647,286980,327556,359192,362277,375365,435483,518990,648618,707120,833270,736057,674116,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",37862,45514,44366,47751,45207,50404,54295,66719,97400,133023,150377,164166,170788,221352,265803,362763,430352,526439,471338,424572,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",157579,166185,155162,150152,145268,138757,137538,154044,174884,176438,186433,176338,173295,169985,190446,204070,195840,209859,176656,176832,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",6522,7407,8050,8667,7568,8751,9123,10884,14696,18095,22382,21773,31283,44146,62741,81785,80927,96972,88063,72712,(NA)
 "42000" ,"Pennsylvania",2,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",1703719,1737806,1749992,1777313,1660321,1679080,1782062,1935014,2107473,2256544,2360254,2343568,2336679,2360288,2424219,2544317,2520305,2517964,2606817,2677684,(NA)
