GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",1,"...","All industry total",2424827,2479154,2580999,2774454,2889184,3015022,3283213,3515901,3710372,3791210,3782706,3817462,3909163,3994459,4143477,4267486,4458969,4638951,4769525,4849246,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",2,"..."," Private industries",2424825,2479152,2580998,2774454,2889181,3015021,3283210,3515888,3710366,3791201,3782701,3817458,3909159,3994454,4143473,4267481,4458964,4638946,4769519,4849240,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",3623,3494,4130,4173,3662,3489,4001,4513,5084,5702,6812,7567,6923,7232,8185,8344,8530,9570,9083,8998,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",4,"111-112","   Farms",2331,2057,2600,2415,2292,2149,2573,2866,3326,3808,4905,5425,4988,5014,5813,6061,6288,7347,7019,6560,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",1292,1437,1530,1758,1370,1340,1428,1647,1758,1893,1907,2142,1935,2218,2372,2282,2242,2223,2064,2438,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1838,2082,2264,2480,1879,2011,1734,1854,2323,2656,3007,2764,2485,2277,2446,3223,3784,4532,4264,4567,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",7,"211","   Oil and gas extraction",0,0,0,0,0,7,7,8,9,9,47,31,19,13,10,348,504,454,197,48,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",8,"212","   Mining (except oil and gas)",1353,1559,1737,1917,1702,1817,1561,1713,2301,2633,2946,2716,2464,2264,2436,2875,3280,4078,4067,4520,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",9,"213","   Support activities for mining",486,523,526,563,177,187,166,134,13,14,14,17,1,0,0,0,0,0,0,0,(NA)
 "44000" ,"Rhode Island",1,SAGDP6N,"Taxes on production and imports","Thousands of dollars",10,"22","  Utilities",107880,101540,95440,116503,111360,103980,111921,114254,126670,148352,149363,155845,177117,168442,180095,178617,184385,187662,186827,197723,(NA)
