GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",13521212,12955000,13921932,14684152,15056653,15842125,17334157,19625218,22103969,23477256,24176202,24740521,24628430,26322428,26634941,27831165,28540969,28661469,30958359,32345699,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",12312187,11705346,12578631,13385293,13797982,14578874,15980861,18114742,20524201,21803504,22510336,22960992,22836716,24346965,24549450,25641201,26276025,26429488,28702748,30083418,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",146532,150001,191004,189344,192035,182948,223107,207477,258983,247212,207997,208088,241282,269408,340188,220016,194091,148848,180384,142475,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",128841,134465,172416,173858,176273,164753,200424,190274,244011,229850,192035,193868,224956,251740,321535,200333,173476,128399,157355,119408,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",17691,15537,18588,15486,15761,18195,22683,17202,14971,17361,15962,14220,16326,17668,18653,19683,20615,20449,23029,23067,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",15904,17080,22462,22625,20236,16129,15652,13809,10533,32568,60856,62683,68867,53709,35352,36388,32272,28416,27259,44546,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",(T),(T),(T),(T),0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",15904,17080,22462,22625,20236,16129,(D),(D),(D),(D),(D),62535,68763,53653,35192,36039,32057,28271,27137,44546,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",487905,436218,491473,537174,511733,429878,501536,591996,588650,726368,723804,868980,794466,1004239,1261813,1281754,1229648,1211442,960786,902334,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",414532,385312,431029,520424,590430,638406,831798,1090346,1449703,1585849,1828777,1699342,1732861,1381020,1212502,1195266,1109695,1225797,1504496,1771915,(NA)
 "15000" ,"Hawaii",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",187401,164116,215037,196468,260678,343392,431230,362937,415648,430133,405731,563028,572921,527881,584608,653165,729370,818867,773844,672625,(NA)
