GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",101968857,103118479,114866999,114962413,112782047,125339267,130534856,130631273,136758688,135759890,140262651,125738163,121432919,139204271,144766161,154247442,161483803,167319882,177970911,183031090,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",96469787,97578516,108811304,108604334,106308078,118600689,123946234,124237796,129542220,128445280,132913587,117856322,113555173,131380771,136766574,145690225,152735089,158077554,168642330,173524870,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1025100,982653,1227630,984912,1022038,926319,1167335,1723682,1722144,1907915,1711811,1932721,1310691,2065301,3242281,2083699,2766276,2049180,1815361,1278163,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",920731,875836,1121862,862070,905125,818607,1039906,1608039,1587059,1772701,1593928,1834509,1217633,1956883,3146779,1980551,2658954,1922142,1675093,1140295,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",104369,106816,105768,122841,116913,107713,127429,115643,135086,135214,117883,98212,93058,108418,95502,103148,107322,127039,140268,137867,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",170049,112422,77931,111989,149065,163693,157538,254170,347769,602515,560284,724641,743410,1049262,1510823,1350620,1236362,1218961,1123945,1335746,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",124720,31668,1219,15093,5168,8456,12365,8087,30374,118055,63372,104015,37441,44336,88703,115653,129885,105591,538,-7396,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",36198,70746,77928,79732,95844,124798,116294,207807,273606,401013,404415,524955,664955,957776,1367807,1186234,1063038,1061430,1112643,1358716,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",9131,10008,-1217,17164,48052,30439,28879,38276,43789,83447,92498,95671,41014,47151,54312,48733,43439,51940,10764,-15574,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",3403575,3026551,3462180,3153578,2865592,2552214,2666899,2825731,2671593,3168019,3290556,3735535,3743182,4450039,4565513,4857253,4678774,4615443,4435949,4891945,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",3691023,4166021,4446849,4999835,4930933,4821311,5465503,6397030,6933508,6437979,5739575,3876060,3682643,3599207,3381516,4777440,5569350,6136550,6849866,7561243,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",25877180,25567409,32420678,30265197,26651620,32835513,33752842,29450388,30115413,28002111,31511828,22399422,17885515,29588949,31280766,34621264,39576798,39016496,41153353,41257886,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",20813240,19964575,25265022,24768285,21643358,25911099,27307032,22887965,24874444,20535473,25214856,16969905,10776948,22469263,24119706,27683892,31496367,31188132,32250408,32745444,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",14,"321","    Wood product manufacturing",159198,175223,171663,210270,147964,116173,167351,206453,247760,63766,112250,-105813,45134,139925,111859,161348,264486,227425,222158,326944,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",720511,600542,557420,688706,646978,730183,805482,756452,836654,754639,587289,626385,615914,827220,718841,623712,690130,716225,910736,801894,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",16,"331","    Primary metal manufacturing",482772,556584,361999,242802,-29517,63134,18291,363786,595089,1068521,1232928,1302853,863742,1236341,1696542,2107733,1820768,1947506,1411762,930759,(NA)
 "26000" ,"Michigan",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",1706324,1486022,2051216,1891873,1426422,1437365,1603754,1684941,1862425,1611993,1962248,1443250,1344380,1720644,1889607,1936483,2125729,2091766,2186828,2139824,(NA)
