GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",40109754,41043073,40218053,43738347,42246678,45468511,49228910,53670411,56430741,61608895,62970816,65058755,64891092,66410770,69641554,68198149,69256729,73511165,79645169,85533141,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",37249237,38280132,37347778,40996332,39511380,42442089,45934253,50294305,52873059,57324535,58754694,60578375,60410050,61929111,64611670,63371614,64408564,68327861,74195967,79639469,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1758926,1534515,1647661,1655299,1591320,1518043,1947274,2087109,2066234,2191994,1643147,1619123,1222043,1280847,1580090,1682029,1842697,1870453,2040698,1903773,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",1178372,1002944,1064400,1137223,1122368,1010007,1301045,1453573,1435507,1578562,1220189,1245972,845693,848564,1209627,1298135,1477311,1492860,1649583,1530573,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",580554,531570,583261,518076,468951,508037,646230,633535,630727,613432,422958,373152,376350,432284,370462,383894,365385,377593,391115,373200,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10803,26227,48109,38034,55485,74750,83260,121750,154331,174062,243560,169005,182404,140878,122088,80933,72652,67406,42015,100407,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",(T),(T),(T),(T),(D),(D),(D),(D),(D),347,544,2636,2557,3985,2830,(D),(D),(D),(D),(D),(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",11422,27864,51183,41246,55274,75078,83488,121427,153725,173210,242099,165879,177574,132196,109175,72751,65383,60984,38562,99056,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),(D),(D),(D),(D),505,917,489,2274,4697,10083,(D),(D),(D),(D),(D),(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",969107,897634,1012529,966440,962647,913702,872738,990527,879462,1035305,925576,1347847,1328188,1725094,2272500,1973086,1886805,1766591,1557860,1712185,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",1531653,1601448,1536184,1527971,1424417,1359248,1540277,1902123,2365413,2735143,2862862,2411854,1969633,1261979,1048033,1457974,1591674,1709279,2042028,2483037,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",8701245,8682959,6678048,9161737,6909476,9017628,10537887,12813723,12057065,12734096,11755730,12450809,12303517,13022842,14308465,12144892,12745182,13084230,13660536,13807410,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",7650284,7478947,5387743,7539292,5403912,7136819,9213391,11125230,10188042,10619776,9857381,10962947,9699340,10997596,12395738,10632175,10820973,11075779,11365953,11715204,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",14,"321","    Wood product manufacturing",486845,366976,505059,262530,284845,326925,407309,814370,736512,418659,288241,111287,71293,293353,461916,635139,994379,771836,739926,747752,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",113917,100941,70171,52801,46089,93299,43715,380866,148475,154882,123114,102982,69072,98833,291213,179989,212090,162914,249730,274589,(NA)
 "41000" ,"Oregon",8,SAGDP7N,"Gross operating surplus","Thousands of dollars",16,"331","    Primary metal manufacturing",88447,-28399,-1805,94378,78727,79860,63541,491847,510065,761120,331994,696954,330180,152659,478364,451924,681340,670458,552847,591028,(NA)
