GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",50294204,53490707,56725321,58575433,61265688,63845391,67295549,71855549,77754635,81218020,83748015,80492852,85098656,92343784,95033586,99821677,102536917,108493819,114332185,116025848,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",47966354,51072924,54096891,55768437,58360447,60825855,64181200,68575861,74242764,77361841,79332461,75744348,80299202,87236930,89777644,94303273,96896694,102799055,108675588,110280599,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1953308,2295501,2304761,1817659,2494241,1960247,2444127,3057267,2908840,2625793,3300030,2645875,1620730,2777432,4243739,3746322,4171230,4254603,4211054,3207934,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",1776454,2131111,2146844,1634038,2300338,1783129,2258772,2877885,2702381,2408112,3124101,2486610,1489302,2618493,4097330,3574629,3996108,4060411,3987190,2990550,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",176855,164390,157918,183622,193904,177118,185355,179382,206459,217681,175928,159265,131429,158939,146409,171693,175122,194192,223864,217383,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",66506,50091,90661,104560,82897,118721,139432,201726,195919,282259,260104,261943,307478,422479,306003,233850,370305,872877,1668460,802330,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",(T),120,(T),159,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",66875,50603,91213,104746,81864,116972,137755,200713,194595,278974,257002,259634,305613,421813,305793,232314,369595,873104,1668605,803291,(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "55000" ,"Wisconsin",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",1668549,1512599,1699869,1649067,1672326,1511220,1634633,1729619,1680254,2040667,2107677,2298378,2324234,2660422,2834929,2749107,2840633,3147616,3053861,3312023,(NA)
