GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",1,"...","All industry total",78.257,80.495,82.949,88.749,90.355,90.221,91.156,97.265,99.460,103.191,107.107,106.530,101.739,101.501,99.269,100.000,98.884,97.439,99.256,99.131,98.007
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",2,"..."," Private industries",76.967,79.271,81.717,87.813,89.277,88.937,90.031,96.621,98.705,102.879,107.026,106.221,101.527,101.363,98.946,100.000,98.789,97.198,99.085,99.037,97.866
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",94.874,106.524,121.689,156.412,137.183,134.024,125.890,123.014,138.157,138.633,113.489,115.709,134.948,122.825,94.620,100.000,101.374,90.813,114.946,111.042,102.633
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",4,"111-112","   Farms",88.102,101.694,118.716,155.074,128.201,126.961,119.106,117.917,137.297,132.903,108.596,111.587,136.489,124.061,94.152,100.000,102.770,88.044,114.508,110.013,(NA)
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",137.215,138.447,145.159,175.217,191.896,178.396,168.378,155.205,146.033,170.757,140.873,138.217,126.791,116.213,97.888,100.000,91.606,108.001,120.147,118.751,(NA)
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",110.608,151.384,159.135,185.472,197.854,189.529,207.276,174.509,145.773,155.866,152.587,102.112,84.327,106.369,83.305,100.000,102.283,122.879,188.249,262.180,168.973
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",112.476,156.838,163.275,189.503,203.394,194.449,215.610,178.967,152.115,159.936,158.349,103.430,85.932,107.043,80.937,100.000,102.454,123.587,195.484,276.470,(NA)
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",9,"213","   Support activities for mining",44.177,44.588,63.266,85.368,90.965,90.533,71.863,78.009,34.358,78.538,54.240,74.525,52.988,92.474,130.128,100.000,99.201,110.842,75.617,43.125,(NA)
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",10,"22","  Utilities",76.708,73.945,84.992,84.807,67.711,66.272,68.237,75.652,84.384,86.600,92.431,101.344,94.500,91.737,87.066,100.000,97.968,96.276,86.685,82.007,74.208
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",11,"23","  Construction",129.192,129.373,133.052,141.016,138.617,127.672,128.731,136.932,135.472,132.947,130.912,117.538,107.337,102.020,98.975,100.000,97.002,93.722,96.132,97.418,96.644
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",12,"31-33","  Manufacturing",91.696,91.154,94.552,97.856,98.225,107.612,109.502,129.402,130.009,152.869,156.272,150.230,102.837,105.568,101.134,100.000,102.349,97.082,95.546,87.416,89.248
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",76.761,77.481,75.526,78.299,78.982,72.466,78.037,78.995,82.530,88.197,89.467,92.280,87.407,99.277,97.160,100.000,101.110,96.060,96.064,89.714,92.206
 "09000" ,"Connecticut",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",14,"321","    Wood product manufacturing",112.407,109.809,87.399,69.159,95.457,128.215,106.809,87.318,98.123,114.427,133.687,145.983,108.435,73.255,91.408,100.000,104.949,92.526,106.076,107.101,(NA)
