GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",1,"...","All industry total",81.391,83.657,87.743,91.772,93.466,95.762,97.834,101.240,101.397,102.641,102.132,101.980,100.359,101.706,100.404,100.000,99.302,101.028,101.437,103.194,105.153
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",2,"..."," Private industries",79.108,81.681,86.073,90.208,91.947,94.274,96.384,100.116,100.224,101.604,101.073,100.757,99.166,100.980,100.176,100.000,99.385,101.166,101.678,103.527,105.668
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",96.341,111.821,126.226,145.731,148.364,139.259,133.056,120.828,123.950,133.477,108.299,107.124,114.793,117.345,101.935,100.000,96.443,98.508,116.669,113.635,111.312
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",4,"111-112","   Farms",64.787,94.018,109.868,132.055,114.985,106.405,98.833,97.892,112.618,123.609,97.819,103.374,127.576,135.633,101.808,100.000,101.164,99.239,121.537,117.174,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",121.806,126.428,140.018,158.289,174.661,165.082,159.885,138.188,131.709,140.192,115.637,108.559,103.385,102.071,102.059,100.000,91.784,97.479,112.390,110.220,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",33.184,44.318,68.979,71.005,82.629,77.636,68.079,70.120,50.889,49.631,57.516,82.326,59.465,65.910,63.259,100.000,105.100,80.497,103.976,101.443,90.178
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",25.721,42.854,67.553,68.687,85.252,80.198,69.800,72.655,53.094,51.782,47.099,74.128,60.384,65.770,61.264,100.000,104.847,77.088,107.820,105.193,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",9,"213","   Support activities for mining",130.363,57.064,77.152,92.204,21.541,18.575,25.759,11.498,0.000,0.000,0.000,28.086,25.708,70.729,140.588,100.000,114.019,191.819,0.000,0.000,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",10,"22","  Utilities",113.630,100.523,112.608,99.258,97.579,92.663,83.371,87.138,87.347,94.860,100.657,101.917,92.413,99.919,97.343,100.000,100.019,93.925,89.405,94.705,97.250
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",11,"23","  Construction",124.875,134.086,149.012,156.246,158.961,155.260,161.605,164.018,151.755,140.035,129.523,117.204,113.925,112.608,106.055,100.000,92.517,90.421,89.368,89.545,89.755
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",12,"31-33","  Manufacturing",96.108,90.516,98.971,106.852,94.791,92.222,93.415,103.148,105.090,107.390,111.832,110.935,104.482,106.862,102.315,100.000,96.533,96.801,91.590,94.901,97.618
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",67.720,64.712,73.997,87.891,83.543,81.330,84.822,97.588,99.784,98.936,99.924,103.259,102.656,111.603,111.093,100.000,107.219,107.251,105.297,109.286,110.998
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",14,"321","    Wood product manufacturing",86.719,85.640,95.968,104.249,78.837,104.723,97.672,121.630,120.681,110.258,100.273,109.270,77.166,100.209,111.801,100.000,100.420,92.761,80.240,94.199,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",91.870,91.031,87.554,87.202,95.131,104.541,126.902,143.967,146.827,139.967,115.623,113.555,90.995,102.901,100.610,100.000,100.158,98.852,108.356,117.302,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",16,"331","    Primary metal manufacturing",127.665,147.511,132.510,128.604,148.449,146.210,132.078,113.210,95.059,81.898,81.018,125.298,127.978,84.627,86.994,100.000,109.238,84.690,121.408,135.897,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",76.538,61.758,66.569,83.779,76.369,68.523,70.523,79.957,89.358,88.523,99.249,101.221,98.634,103.646,95.027,100.000,85.830,90.880,86.363,82.502,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",18,"333","    Machinery manufacturing",115.739,92.239,105.640,109.452,106.496,100.663,94.193,132.668,116.229,112.992,100.904,106.353,96.771,112.735,130.028,100.000,114.313,113.993,100.053,103.320,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",15.318,17.925,24.661,46.515,47.868,38.508,45.726,66.342,66.943,72.398,84.922,83.886,129.293,150.192,159.621,100.000,189.385,168.861,158.248,147.010,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",465.078,250.618,417.611,415.454,369.146,260.331,283.273,282.179,258.039,241.398,192.069,200.299,127.230,126.837,107.859,100.000,111.744,105.712,119.482,99.532,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",106.471,132.885,140.132,168.675,191.318,209.642,224.890,243.083,232.379,226.674,191.688,164.788,66.373,88.536,81.208,100.000,111.599,118.353,102.336,268.639,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",78.293,85.043,90.845,89.518,88.562,85.452,94.717,95.286,100.580,101.699,104.894,105.626,100.800,110.376,106.907,100.000,96.677,100.151,108.118,110.628,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",171.708,118.059,165.367,167.403,187.242,136.182,128.088,127.642,119.064,115.491,124.433,115.052,91.419,84.495,94.106,100.000,113.667,136.608,149.201,140.130,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",60.138,60.134,51.039,62.070,53.397,76.032,64.347,53.417,68.644,76.870,70.742,93.839,148.383,112.184,88.205,100.000,82.442,102.153,96.034,113.837,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",127.737,119.064,126.159,126.787,106.335,103.398,102.075,108.311,109.946,115.662,123.698,118.570,106.512,102.902,94.815,100.000,87.400,87.872,79.884,82.617,86.176
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",62.666,66.541,49.811,64.723,59.753,59.383,73.414,70.709,79.580,102.021,113.814,100.348,97.764,95.970,94.607,100.000,83.206,83.448,76.555,72.954,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",318.221,245.309,261.020,283.036,199.474,203.428,179.148,228.226,179.100,163.071,160.972,170.022,117.651,100.992,83.298,100.000,116.172,125.104,133.668,139.392,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",170.019,112.216,89.283,98.695,120.010,108.301,87.351,82.878,74.637,84.083,78.687,114.823,84.080,88.953,74.749,100.000,86.429,66.522,68.875,65.231,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",29,"322","    Paper manufacturing",224.821,218.133,240.021,225.876,173.746,170.163,150.318,161.417,156.085,160.859,172.126,155.095,122.471,106.577,101.916,100.000,97.374,88.317,77.894,76.678,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",30,"323","    Printing and related support activities",85.801,87.090,85.862,84.662,90.234,100.490,112.250,104.603,112.957,108.301,121.093,114.305,90.826,82.833,84.847,100.000,93.369,96.357,95.239,97.102,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",65.372,104.201,101.949,111.969,140.879,225.600,293.016,249.822,188.339,143.911,159.086,236.840,243.166,221.304,129.768,100.000,81.721,157.509,178.026,173.501,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",32,"325","    Chemical manufacturing",31.625,23.287,32.977,33.292,31.507,34.733,40.045,35.289,54.447,55.862,53.744,58.599,79.137,94.027,81.483,100.000,73.488,81.214,60.788,79.680,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",84.860,87.328,133.181,129.440,108.371,71.507,78.803,133.302,134.043,117.562,130.328,118.478,108.316,110.847,106.813,100.000,89.619,92.230,97.404,104.720,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",34,"42","  Wholesale trade",72.076,79.482,82.221,85.246,91.542,94.859,102.677,106.696,105.819,107.517,107.783,104.288,94.160,98.372,96.952,100.000,101.326,104.957,107.903,109.102,109.002
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",35,"44-45","  Retail trade",82.652,91.082,92.964,96.767,103.543,109.591,116.230,118.659,118.277,117.366,110.390,108.038,104.903,105.053,102.335,100.000,101.673,102.937,107.008,109.106,114.026
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",99.328,101.012,100.929,101.014,93.187,91.772,95.153,99.700,103.819,114.144,111.128,108.922,105.794,107.155,102.622,100.000,101.116,103.741,103.616,102.973,105.995
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",37,"481","   Air transportation",127.862,133.612,121.022,84.315,38.035,47.403,70.236,83.153,93.840,102.071,96.265,112.471,130.613,141.085,119.749,100.000,108.156,121.389,140.508,132.316,(NA)
 "23000" ,"Maine",1,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",38,"482","   Rail transportation",170.984,178.634,188.931,201.379,169.330,124.422,125.605,134.884,130.229,126.181,125.012,111.766,85.349,81.120,85.598,100.000,107.093,106.069,108.099,100.053,(NA)
