GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",1,"...","All industry total",81.999,83.460,86.351,91.013,91.681,93.709,96.142,97.660,98.798,100.829,101.360,102.560,98.346,99.393,98.304,100.000,100.690,101.015,102.652,103.491,105.148
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",2,"..."," Private industries",80.397,81.914,85.085,90.079,90.545,92.534,94.973,96.466,97.603,100.079,100.538,101.735,97.061,98.468,97.850,100.000,100.642,101.073,103.131,104.165,106.034
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",92.024,93.396,96.200,128.270,108.289,120.815,117.341,111.445,127.691,150.216,118.045,107.640,135.410,116.804,101.906,100.000,94.221,97.904,125.604,139.266,132.305
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",4,"111-112","   Farms",91.087,98.754,100.140,140.374,110.872,128.182,123.809,118.472,143.762,171.314,129.121,115.263,146.576,124.658,105.023,100.000,96.368,97.697,131.723,142.600,(NA)
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",92.548,76.920,83.090,95.780,98.763,98.798,97.730,90.242,81.075,90.153,85.012,84.917,102.729,92.787,91.495,100.000,87.023,97.965,109.165,128.355,(NA)
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",187.329,229.059,247.424,277.601,252.669,214.845,199.680,210.158,207.725,179.335,185.625,112.445,133.648,98.284,83.304,100.000,155.706,104.707,157.135,194.189,184.013
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",7,"211","   Oil and gas extraction",85.209,64.310,58.976,50.014,28.775,93.648,51.781,117.614,202.031,93.494,112.603,71.266,347.223,134.075,84.096,100.000,81.797,88.119,230.962,464.622,(NA)
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",225.892,279.632,302.522,338.120,304.646,245.936,237.624,244.862,227.409,204.335,213.405,124.101,125.438,97.807,81.588,100.000,164.521,104.246,154.235,182.574,(NA)
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",9,"213","   Support activities for mining",24.846,23.129,24.684,37.426,54.216,84.144,47.439,44.142,77.933,69.967,46.865,67.588,91.673,79.035,101.083,100.000,113.000,113.892,151.214,212.779,(NA)
 "34000" ,"New Jersey",2,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",10,"22","  Utilities",102.338,95.505,109.489,100.220,81.529,81.331,83.113,98.090,89.760,88.209,91.884,99.494,99.113,102.911,100.352,100.000,106.459,108.937,110.520,101.605,94.921
