GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",1,"...","All industry total",48425.1,51603.1,53058.4,56719.9,57432.7,59040.7,61610.3,63499.0,64356.4,65945.0,65697.9,65016.8,64449.6,66441.5,66840.1,67689.2,68800.2,69473.8,71189.8,72558.6,74408.0
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",2,"..."," Private industries",41400.5,44474.4,45809.2,49265.0,49834.5,51359.3,53685.6,55543.9,56273.3,57752.4,57398.7,56608.0,56279.5,58110.5,58746.4,59742.7,60929.6,61600.7,63537.7,64979.8,66842.6
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",159.5,172.0,206.8,223.9,218.9,224.1,240.6,241.5,225.1,241.9,191.6,215.5,213.7,204.9,190.5,221.9,221.6,237.8,282.4,267.2,253.8
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",4,"111-112","   Farms",102.0,111.3,133.1,148.6,129.6,136.7,135.7,142.2,155.0,155.8,121.2,155.9,156.2,143.8,117.5,138.1,148.6,156.3,200.8,186.6,(NA)
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",5,"113-115","   Forestry, fishing, and related activities",61.6,65.4,79.1,82.8,91.8,91.1,106.2,101.4,76.0,89.3,72.4,64.1,62.4,63.9,73.0,83.8,73.2,81.3,85.0,82.5,(NA)
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",30.8,57.6,76.7,94.8,109.0,142.3,140.5,126.1,118.2,134.1,154.1,118.5,83.1,76.9,49.7,67.4,48.5,51.7,51.5,64.7,42.4
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,(NA)
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",8,"212","   Mining (except oil and gas)",24.0,50.9,64.7,81.6,112.1,147.3,144.6,129.6,121.5,135.4,142.6,107.9,75.1,68.0,38.5,58.2,39.4,44.4,45.5,59.8,(NA)
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",9,"213","   Support activities for mining",3.3,3.9,6.3,7.2,0.4,0.1,0.5,0.5,0.5,2.2,12.0,10.7,8.0,8.9,10.8,9.1,8.9,7.5,6.4,6.0,(NA)
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",10,"22","  Utilities",1216.9,1142.7,1300.9,1250.1,984.2,988.6,1028.0,1166.1,1086.1,1030.0,1005.9,1097.2,1202.1,1287.8,1254.7,1254.5,1234.6,1160.8,1151.3,1174.0,1155.5
 "33000" ,"New Hampshire",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",11,"23","  Construction",2846.7,3108.8,3212.2,3438.5,3614.8,3480.2,3470.4,3632.9,3387.0,3111.2,2684.4,2295.3,2117.1,2088.2,2078.7,2082.2,1990.1,1904.9,1928.2,1960.6,2008.9
