GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",1,"...","All industry total",90367.6,94946.7,101276.5,105343.7,106656.8,110020.4,115571.0,128884.5,139694.9,145209.4,144404.8,138863.3,127242.4,128827.2,129733.5,128043.0,128272.7,129659.7,135174.7,137638.4,142851.9
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",2,"..."," Private industries",79829.2,83738.0,89809.6,93529.3,94620.8,97752.5,102545.9,115168.8,125741.8,130748.9,129553.1,123707.5,112144.6,113576.3,114798.9,113418.0,113767.2,115068.9,120155.4,122344.9,127230.8
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",217.2,258.0,282.0,353.6,331.6,307.2,292.9,319.2,382.8,420.9,270.3,357.2,418.3,388.0,384.3,294.8,302.0,434.8,419.4,389.1,391.1
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",4,"111-112","   Farms",184.2,227.8,246.0,325.9,302.4,273.9,260.6,288.7,354.6,387.5,236.8,317.3,371.4,351.6,344.7,253.5,264.9,397.7,385.7,356.2,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",5,"113-115","   Forestry, fishing, and related activities",30.5,29.0,34.0,31.3,31.6,33.9,32.8,31.6,31.0,35.8,32.2,38.6,45.4,37.2,39.8,41.3,37.2,38.6,35.6,34.1,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",3930.8,4349.3,4487.3,4505.0,3936.8,3923.3,4234.2,4384.3,4153.8,5271.1,5062.1,5196.9,4736.5,5587.7,6195.9,5712.8,4781.1,3781.1,3331.1,4095.3,4291.4
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",7,"211","   Oil and gas extraction",5.5,3.5,3.5,2.6,2.4,4.6,2.5,3.1,2.3,3.0,2.9,3.0,4.8,3.7,3.7,4.5,3.4,2.7,4.0,4.1,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",8,"212","   Mining (except oil and gas)",3916.4,4397.7,4506.4,4466.1,3904.8,3880.4,4183.4,4286.6,4067.9,5156.6,4928.2,4966.8,4569.3,5327.9,5839.5,5303.6,4461.5,3506.1,3111.1,3964.5,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",9,"213","   Support activities for mining",59.9,43.2,55.9,79.8,68.8,72.4,82.0,108.1,99.1,129.5,141.9,218.3,159.1,250.7,349.6,404.7,317.6,270.5,219.2,161.8,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",10,"22","  Utilities",1563.5,1500.1,1837.9,1871.5,1783.2,1956.9,1926.6,2174.0,1923.4,2108.4,2136.4,2205.5,2186.8,2292.2,2199.9,2276.3,2255.5,2170.7,2179.9,2148.3,2033.5
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",11,"23","  Construction",12547.5,12617.9,12216.2,11267.3,10398.8,10000.5,10852.2,12996.8,15033.3,14791.6,13752.0,11066.0,9476.2,8153.2,7272.3,5236.4,4785.7,4805.2,5353.0,5609.5,5995.2
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",12,"31-33","  Manufacturing",2585.5,2726.6,2698.7,2942.1,3015.7,3304.9,3646.1,4891.7,5402.5,5593.3,6528.2,6584.4,5577.3,5308.3,5434.3,6020.4,6082.5,6010.7,5555.9,5684.1,6484.4
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",13,"321,327-339","   Durable goods manufacturing",1533.5,1591.3,1501.5,1588.1,1630.5,1973.1,2227.9,3304.2,3814.2,3862.1,4726.2,4905.6,4008.6,3847.0,4039.5,4687.9,4608.7,4386.0,4007.3,4016.4,4682.1
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",14,"321","    Wood product manufacturing",48.7,52.9,51.7,65.1,82.8,83.0,75.8,72.2,101.8,102.1,89.9,93.2,44.6,45.3,54.6,60.3,55.1,85.0,86.6,65.2,(NA)
 "32000" ,"Nevada",8,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",15,"327","    Nonmetallic mineral product manufacturing",361.4,393.9,328.1,382.7,322.1,361.6,411.2,501.9,676.6,608.3,699.1,538.6,313.4,279.9,272.7,304.3,303.8,337.6,330.3,365.6,(NA)
