GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",1,"...","All industry total",20026.1,20697.0,21843.4,23022.5,23713.5,24455.4,25301.3,26564.3,26909.4,27132.4,26801.5,27437.2,26996.6,28111.0,28733.3,28887.4,28498.6,28490.6,28769.8,29175.2,29566.6
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",2,"..."," Private industries",16729.0,17339.4,18390.8,19447.2,20008.3,20659.3,21364.5,22500.6,22794.3,22997.9,22712.5,23271.8,22898.5,24042.7,24527.3,24783.1,24338.3,24404.3,24653.4,25035.9,25396.9
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",340.5,391.0,439.0,488.0,492.2,427.2,428.9,476.3,560.1,493.7,504.8,528.8,462.5,511.8,497.5,445.8,490.6,602.8,553.9,603.7,560.2
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",4,"111-112","   Farms",278.9,329.7,377.5,418.6,400.7,336.1,348.9,396.4,480.9,391.8,425.9,450.6,381.5,439.8,425.2,376.5,425.4,537.0,485.8,547.5,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",5,"113-115","   Forestry, fishing, and related activities",61.8,63.5,66.0,74.0,89.6,86.6,78.1,79.1,80.9,93.8,76.7,76.4,76.6,72.4,72.3,69.2,65.3,67.2,67.6,62.3,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",141.0,159.3,184.9,195.4,217.7,221.0,264.1,225.1,237.0,240.1,215.1,198.5,257.6,252.5,222.7,190.8,200.3,220.3,280.2,302.8,287.9
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",7,"211","   Oil and gas extraction",2.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",8,"212","   Mining (except oil and gas)",139.4,157.6,184.4,195.2,217.2,220.7,263.6,224.9,236.9,239.9,214.9,198.3,257.4,252.3,220.6,188.5,198.5,219.3,279.2,302.1,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",9,"213","   Support activities for mining",0.0,0.0,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.1,2.2,1.8,1.2,1.2,1.0,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",10,"22","  Utilities",549.1,543.6,617.8,608.5,501.6,530.7,505.3,576.2,535.8,533.7,565.0,580.5,626.0,720.3,657.7,716.4,736.4,672.9,670.0,591.9,527.3
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",11,"23","  Construction",1220.9,1253.6,1366.5,1464.7,1511.1,1468.8,1447.6,1520.0,1418.7,1346.9,1229.8,1099.1,1082.2,1087.7,1102.6,1096.8,1012.8,931.2,894.3,894.8,882.1
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",12,"31-33","  Manufacturing",1723.5,1780.3,1969.7,2257.7,2444.3,2445.0,2569.7,2732.6,2723.7,3068.7,2650.3,3010.3,2583.9,3113.1,3270.8,3388.8,2709.8,2609.7,2691.3,2534.4,2651.4
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",13,"321,327-339","   Durable goods manufacturing",959.9,1034.4,1112.0,1350.2,1644.7,1652.0,1766.7,1866.3,1876.0,2087.6,1677.6,2010.4,1794.6,2295.6,2412.6,2618.8,1920.6,1761.2,1740.0,1626.1,1659.7
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",14,"321","    Wood product manufacturing",121.2,120.2,92.0,113.7,108.6,121.3,123.2,104.7,117.2,111.3,112.7,114.8,86.0,92.8,104.3,138.0,146.2,132.9,121.8,126.4,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",15,"327","    Nonmetallic mineral product manufacturing",120.6,110.6,120.0,126.3,149.2,153.0,139.7,174.7,171.5,141.5,131.0,142.4,116.1,123.0,132.1,129.3,125.4,144.4,114.3,111.3,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",16,"331","    Primary metal manufacturing",27.6,19.6,30.8,35.0,48.1,49.7,43.3,40.5,30.9,23.0,18.5,17.9,17.6,16.5,21.3,25.3,23.0,24.7,25.2,26.5,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",17,"332","    Fabricated metal product manufacturing",274.4,271.4,256.4,311.5,371.8,214.4,306.1,283.6,146.3,257.5,271.9,252.1,159.3,159.4,183.5,191.6,202.7,208.6,189.2,137.3,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",18,"333","    Machinery manufacturing",266.4,304.7,291.6,291.4,312.1,175.4,165.3,179.9,200.0,223.5,216.5,213.1,195.0,240.1,252.4,244.8,250.3,246.5,293.2,269.0,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",19,"334","    Computer and electronic product manufacturing",113.4,134.1,158.6,233.5,364.4,406.3,491.1,550.1,589.8,631.1,314.5,659.7,677.4,998.8,1146.2,1406.0,637.4,484.3,499.9,486.7,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",65.9,71.3,88.1,96.3,99.4,114.9,136.1,127.0,127.6,185.1,178.6,196.9,157.9,190.3,150.9,141.6,171.2,141.2,129.5,115.2,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",25.2,32.0,39.0,46.9,29.5,34.7,37.8,46.4,46.3,66.1,62.8,50.7,17.4,27.8,35.8,32.9,35.0,39.0,39.3,37.6,(NA)
 "50000" ,"Vermont",1,SAGDP9N,"Real GDP by state","Millions of chained 2012 dollars",22,"3364-3369","    Other transportation equipment manufacturing",176.5,157.4,200.7,222.6,179.9,133.0,88.2,110.4,133.3,133.6,145.7,133.0,120.6,164.0,147.2,121.2,130.9,114.7,111.6,104.6,(NA)
