GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "00000" ,"United States", ,SQINC1,1,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",7428956.3,7555774.7,7663251.0,7758393.9,7849481.7,7919943.4,8029052.8,8207774.1,8457239.7,8590487.9,8738325.2,8815247.2,8979768.9,9009243.9,8997124.9,9021218.3,9054130.3,9145507.2,9171169.1,9251845.5,9310627.7,9411677.8,9535064.7,9666233.9,9770721.0,9947476.5,10088118.6,10308807.9,10333975.8,10501549.5,10657963.3,10882295.4,11182385.3,11315347.3,11419201.8,11573421.6,11830734.9,11972482.7,12043051.1,12162547.3,12314008.5,12639164.3,12461684.3,12339250.9,11984222.0,12074284.0,12028785.5,12117936.5,12264621.9,12484065.5,12628031.1,12791261.5,13150022.1,13256612.9,13390030.5,13465246.5,13781307.7,13937514.9,13899403.0,14375306.4,13991223.6,14131114.9,14228839.5,14350834.1,14649930.2,14884015.8,15105308.5,15293305.5,15460980.6,15673172.3,15837426.9,15874956.1,15937149.7,16023507.8,16161642.4,16340220.2,16595251.4,16711289.1,16883754.8,17090704.6,17302121.0,17481958.2
 "00000" ,"United States", ,SQINC1,2,"...","Population (midperiod, persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),308468490,309043711,309677277,310305686,310827471,311351134,311978225,312609807,313161030,313699036,314337525,314969937,315448736,315945536,316571150,317231725,317777909,318323581,318987604,319664111,320191522,320735773,321385409,322036743,322555224,323101010,323736332,324367820,324889111,325416675,326055478,326686447,327202362,327734318
 "00000" ,"United States", ,SQINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39760,40396,40778,41221,42306,42578,42920,43074,44007,44430,44218,45640,44353,44726,44947,45238,46101,46758,47354,47842,48287,48866,49279,49295,49409,49593,49922,50376,51080,51354,51782,52315,52879,53342
 "01000" ,"Alabama",5,SQINC1,1,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",98520.2,99529.6,100560.3,101714.1,102329.8,102649.9,103911.5,105252.9,106611.9,108344.0,108758.4,110310.8,111338.1,112553.3,112493.6,112863.6,113340.0,114912.1,115627.9,116784.3,118372.0,119085.2,120704.3,122678.1,125078.6,127673.7,129710.9,132216.4,133046.8,135317.5,136691.3,139805.6,142566.1,144498.2,145608.8,146983.8,150046.0,151868.9,152744.2,154183.5,155133.6,162027.1,157165.1,155592.3,153384.9,156168.1,155543.0,155922.7,158384.9,161022.3,163819.3,164635.6,166514.6,166955.8,168288.0,168944.0,170979.2,172596.7,171002.8,175132.8,173252.0,173802.0,175038.8,174382.1,176344.4,179179.4,181574.5,183782.9,185215.1,186911.0,188664.9,188415.4,189479.4,190393.9,191047.9,193043.6,196506.6,197935.8,199399.3,201824.0,204318.2,206464.1
 "01000" ,"Alabama",5,SQINC1,2,"...","Population (midperiod, persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4777056,4782812,4787958,4792034,4794518,4796958,4801140,4805606,4809008,4812069,4816603,4821092,4823284,4825800,4829798,4833874,4836245,4838522,4842326,4846127,4847685,4849499,4852803,4856140,4857418,4859181,4862950,4867344,4870016,4872773,4877260,4881664,4884193,4886924
 "01000" ,"Alabama",5,SQINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33155,33667,34215,34356,34730,34805,35052,35156,35554,35867,35503,36326,35920,36015,36241,36075,36463,37032,37497,37924,38207,38542,38878,38799,39008,39182,39286,39661,40350,40621,40883,41343,41833,42248
 "02000" ,"Alaska*",8,SQINC1,1,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",17855.2,17934.1,18062.5,18332.2,18334.9,18485.4,18533.1,19059.1,19620.9,19903.2,20199.4,20357.6,20690.4,21228.3,21257.9,21550.2,21830.5,22010.5,22267.6,22699.2,22679.3,23082.7,23365.4,23635.1,23793.8,24031.0,24389.0,24867.6,25148.8,25587.3,26122.2,26695.7,27133.5,27526.7,27640.9,28126.8,29189.6,29736.6,29823.4,30100.6,31901.7,32958.0,32841.0,33106.8,32159.1,32767.6,32854.1,33215.4,34357.4,34930.7,35485.0,35878.5,36583.3,37329.9,37908.8,38500.5,38524.3,38832.5,38723.8,39210.0,38236.7,38252.4,38674.9,38846.1,40178.9,40806.8,41164.5,41590.8,42159.6,42330.2,42335.3,42338.8,41306.7,41336.6,41418.8,41783.4,41871.0,42053.8,42472.7,42806.2,43136.9,43454.1
 "02000" ,"Alaska*",8,SQINC1,2,"...","Population (midperiod, persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),708451,712138,715138,717270,719235,721207,723403,725607,727693,729748,731690,733305,734656,736000,736802,736924,736847,736755,737020,737470,737638,737825,738500,739458,740215,741041,741367,741027,740491,739976,739686,739393,738852,738333
 "02000" ,"Alaska*",8,SQINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48496,49050,49620,50021,50864,51760,52403,53060,52940,53214,52924,53470,52047,51973,52490,52714,54528,55387,55853,56397,57155,57372,57326,57257,55804,55782,55868,56386,56545,56831,57420,57894,58384,58854
 "04000" ,"Arizona",6,SQINC1,1,"...","Personal income (millions of dollars, seasonally adjusted)","Millions of dollars",113701.0,116166.0,118632.2,120955.2,120864.6,123380.2,124847.5,127305.5,131719.2,133871.4,136152.7,138064.7,139500.3,140639.8,141151.1,141931.0,143991.5,145211.1,146028.8,148489.9,151068.4,153247.2,155471.8,159455.3,163436.9,167274.7,170610.6,175917.6,180037.4,185788.3,191000.6,195769.9,203975.7,207175.7,210738.3,214149.2,217835.7,220237.9,222002.3,222533.9,221974.5,228824.9,222903.8,219184.2,210951.2,211985.8,210364.1,212289.7,210675.1,213892.6,216375.9,219106.1,223583.3,224738.8,226536.8,228553.8,232699.4,235773.9,234606.3,242742.7,238653.8,241813.9,243801.9,246017.9,252275.1,255257.1,258802.0,261933.7,266217.3,270134.2,272088.0,274787.2,276180.7,279539.3,283083.3,285149.0,291980.7,293670.9,298981.3,301962.7,307164.9,310042.2
