GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "01000" ,"Alabama",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",98520165,99529565,100560265,101714093,102329823,102649935,103911507,105252891,106611859,108343987,108758367,110310775,111338060,112553276,112493612,112863620,113340008,114912132,115627860,116784344,118371964,119085248,120704288,122678056,125078632,127673716,129710884,132216352,133046764,135317468,136691320,139805576,142566148,144498200,145608844,146983828,150045996,151868912,152744172,154183500,155133600,162027088,157165084,155592340,153384904,156168068,155542960,155922744,158384884,161022292,163819288,164635644,166514596,166955772,168288020,168943972,170979224,172596664,171002780,175132752,173251964,173802000,175038820,174382080,176344388,179179444,181574472,183782856,185215144,186910992,188664904,188415380,189479376,190393908,191047892,193043592,196506636,197935764,199399268,201824032,204318203,206464083
 "01000" ,"Alabama",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",15851032,15947668,15991696,16157972,16431748,16516944,16743988,16919376,17166960,17675536,17940476,18215816,18776628,19247392,18965032,19838328,20227316,20460768,20604200,20923920,21342632,21694312,22077288,22135124,22598252,22935824,23358572,23534812,24341632,24662352,25203512,25197156,26285524,26582944,26978028,27209072,28408444,28630724,28941600,29265148,29497628,36540648,31496784,31180052,32993960,35326044,35076396,35310796,37042668,37419836,38391024,39059832,39031972,38848776,38407984,38592692,38265088,38903220,39027084,39251456,39759892,39618700,39727092,39731760,40455560,41111304,41709960,42142320,42776752,43107712,43113888,43170176,43803416,44091936,44255768,44199520,44878944,45259868,45924604,46313036,46857444,47226318
 "01000" ,"Alabama",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6265440,6298980,6353152,6369860,6496980,6539792,6573352,6601836,6781696,7013908,6991100,7003260,7338068,7380688,7501636,7507432,7806644,7864288,7921540,7989684,8131696,8237928,8275068,8346452,8583120,8689092,8718336,8826684,9136692,9269576,9298668,9376376,9796724,9913560,9963152,10008884,10394872,10519728,10576360,10627196,10946332,11048580,11159388,11235712,11973500,12172160,12279340,12433088,12498076,12702692,12791276,12897320,12973300,13139428,13214144,13322504,13898352,14009648,14111640,14212440,14551036,14641480,14765072,14874848,15148600,15297908,15359744,15471236,15780068,15908608,15986888,16103844,16178564,16299696,16381592,16477580,16636120,16736644,16846660,16940176,17398508,17547772
 "01000" ,"Alabama",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",3454264,3444276,3448900,3468172,3494384,3530024,3564260,3597196,3606940,3664332,3744604,3847956,3951040,4070356,4171140,4253152,4321580,4395192,4470500,4547548,4624560,4724356,4844708,4985880,5136852,5281468,5426464,5532168,5639656,5728520,5836748,5964408,6860540,6995232,7117884,7226884,7308580,7410856,7528348,7661560,7805024,7946332,8082724,8213760,8339432,8438180,8519368,8583280,8647668,8710164,8787120,8878692,8987208,9078896,9153692,9211560,9248364,9318376,9417060,9545164,9691576,9669996,9790164,9892196,9975076,10075104,10194604,10334040,10488736,10629520,10751384,10854320,10942952,11037996,11144172,11261196,11384824,11504428,11616132,11720088,11837331,12016703
 "01000" ,"Alabama",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",2316020,2326316,2272124,2343720,2395720,2361800,2476148,2569780,2608164,2761788,2879188,2891192,2820856,2989300,2831720,3146300,3104688,3089392,3188024,3332952,3383924,3434216,3634980,3555336,3640536,3753640,3724192,3773816,3952408,3950736,3769568,3842488,3735152,3807884,3958160,3841652,4257540,4054044,4119488,4247708,4204496,4203836,4170200,4210100,4282832,4352548,4465580,4452148,4695368,4813612,5400920,5675744,5340348,4897472,4386592,4491228,4589212,5182576,5176280,5197364,5166144,5002452,4879804,4725460,4968372,5237264,5612732,5628472,5492416,5439196,5232292,5096524,5183256,5298836,5319664,5096528,5397196,5589224,6018484,6149884,6011518,5992950
 "01000" ,"Alabama",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",210424,214764,212988,211520,201552,209696,215596,207216,208228,206296,221712,248132,289832,302288,296516,338196,350592,481504,394712,388232,385024,414144,414556,365032,311820,261636,249960,243276,229044,225212,250496,227712,205548,216280,231368,240524,235324,228728,238864,251252,272856,292868,456644,581464,787392,1090996,1205420,1183080,1216208,1100376,1118396,1098544,1010380,933216,867060,807104,760356,654332,572128,523140,482768,442440,423480,428188,301256,271340,241056,223444,220496,220428,224160,221232,217068,206672,209644,219436,228236,187764,156156,134132,141564,141900
 "01000" ,"Alabama",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",3604884,3663332,3704532,3764700,3843112,3875632,3914632,3943348,3961932,4029212,4103872,4225276,4376832,4504760,4164020,4593248,4643812,4630392,4629424,4665504,4817428,4883668,4907976,4882424,4925924,4949988,5239620,5158868,5383832,5488308,6048032,5786172,5687560,5649988,5707464,5891128,6212128,6417368,6478540,6477432,6268920,13049032,7627828,6939016,7610804,9272160,8606688,8659200,9985348,10092992,10293312,10509532,10720736,10799764,10786496,10760296,9768804,9738288,9749976,9773348,9868368,9862332,9868572,9811068,10062256,10229688,10301824,10485128,10795036,10909960,10919164,10894256,11281576,11248736,11200696,11144780,11232568,11241808,11287172,11368756,11468523,11526993
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
