GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "04000" ,"Arizona",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",113701031,116165951,118632179,120955163,120864628,123380248,124847480,127305492,131719247,133871423,136152699,138064663,139500312,140639792,141151148,141931024,143991484,145211080,146028836,148489912,151068380,153247236,155471812,159455340,163436900,167274672,170610572,175917624,180037444,185788260,191000604,195769856,203975652,207175684,210738292,214149184,217835720,220237864,222002260,222533864,221974492,228824920,222903848,219184200,210951248,211985812,210364116,212289684,210675056,213892612,216375892,219106116,223583292,224738788,226536756,228553784,232699428,235773876,234606296,242742664,238653812,241813912,243801928,246017856,252275080,255257096,258802004,261933740,266217336,270134200,272088012,274787232,276180712,279539304,283083324,285149032,291980720,293670888,298981328,301962656,307164855,310042159
 "04000" ,"Arizona",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",14911244,15071224,15146088,15391584,15874168,16014256,16232368,16341644,16568540,17005904,17157772,17379336,18616268,19396576,18819080,20418764,21037488,21261496,21593916,22161412,22744044,23246036,23790488,24119716,24995352,25547756,25946176,26611252,27749248,28447856,28765700,28985972,30414440,30899028,31460652,31754408,33260588,33345812,33919636,34609960,35536736,44014688,39124312,38765012,41753616,44469392,44707116,45111776,47600660,47437384,48376384,48128540,48066460,48035348,47534284,47655556,47229988,48103296,47757268,48318012,48937724,49250968,49897636,50060988,51391044,52310660,53266284,53607556,54271940,54967396,55136428,55332412,55725520,56299308,56621544,56971860,57785744,58520504,59302000,59920160,60856050,60915794
 "04000" ,"Arizona",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6349716,6391208,6458888,6483620,6638644,6693732,6735520,6768872,6981896,7251516,7217852,7223792,7620828,7660800,7793424,7789728,8147756,8210996,8278300,8363460,8535544,8674208,8729060,8826892,9115596,9260076,9313084,9466820,9868068,10044380,10081632,10167140,10658592,10779488,10822768,10864684,11331620,11473560,11537820,11598772,12001052,12120504,12242264,12314432,13185244,13409608,13532048,13722348,13827488,14100760,14228592,14380136,14495988,14724704,14823484,14957204,15704712,15843636,15973764,16106548,16603748,16730132,16902664,17053480,17472828,17693936,17785844,17957052,18432612,18642676,18785444,18996540,19153416,19382572,19553444,19747756,20040868,20232864,20427764,20584976,21141921,21323300
 "04000" ,"Arizona",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",3075976,3056640,3049080,3053248,3070952,3093688,3122172,3156716,3192480,3251868,3326764,3415984,3520676,3621416,3714400,3801180,3897844,3993280,4087812,4181260,4262668,4376252,4509084,4660956,4809272,4980788,5170720,5333536,5518348,5655216,5784048,5902360,6917704,7032292,7167296,7323196,7502172,7672552,7839132,8000696,8166088,8318468,8469512,8619092,8776956,8912904,9036484,9148684,9266188,9375672,9491864,9614520,9746068,9872240,9988036,10093900,10187788,10300396,10425332,10562420,10712780,10629520,10787812,10951064,11117336,11303760,11504280,11718632,11938464,12148856,12343224,12522364,12694360,12873380,13066940,13274412,13489240,13692828,13879180,14048308,14188841,14403846
 "04000" ,"Arizona",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",1793860,1826684,1834556,1977232,2145824,2167272,2260084,2259768,2137400,2149376,2170540,2159936,2595144,2972428,2673728,3417700,3468496,3480844,3745520,4083940,4176876,4293552,4562152,4599188,4922292,5087360,5133488,5299904,5601672,5929512,5897272,6109208,6003952,6233908,6536660,6466272,6919004,6482192,6686776,6965592,7288980,7703644,7961108,8184588,8646256,8874484,9198924,9077012,9311192,8995340,9669704,9425988,9369496,8986304,8284728,8183572,7919736,8473644,7923384,8214684,8106232,8322120,8646788,8540696,9254784,9597676,10230136,10607968,10674748,11030172,10843804,10637532,11019996,11294200,11285428,11336572,11621608,12027512,12406316,12617436,12835699,12405911
 "04000" ,"Arizona",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",141416,192240,158576,173008,179104,179732,185344,183452,179352,188272,179048,169176,196520,253720,298020,406908,453288,552644,481096,491592,509616,516108,501672,477340,388728,338516,332584,328776,306300,285572,283036,260448,223600,233592,257020,262412,311732,294116,295692,322356,369432,411900,637312,794848,1138400,1518556,1785328,1984468,2138380,1891180,1840388,1639608,1466764,1357748,1245628,1144464,1053572,1026016,841636,726608,624020,603972,548676,544428,406776,392276,376476,366940,356400,338736,343148,339876,344144,336664,324360,309760,317036,316464,300932,272016,298266,277941
 "04000" ,"Arizona",6,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",3550276,3604452,3644988,3704476,3839644,3879832,3929248,3972836,4077412,4164872,4263568,4410448,4683100,4888212,4339508,5003248,5070104,5023732,5001188,5041160,5259340,5385916,5488520,5555340,5759464,5881016,5996300,6182216,6454860,6533176,6719712,6546816,6610592,6619748,6676908,6837844,7196060,7423392,7560216,7722544,7711184,15460172,9814116,8852052,10006760,11753840,11154332,11179264,13057412,13074432,13145836,13068288,12988144,13094352,13192408,13276416,12364180,12459604,12593152,12707752,12890944,12965224,13011696,12971320,13139320,13323012,13369548,12956964,12869716,12806956,12820808,12836100,12513604,12412492,12391372,12303360,12316992,12250836,12287808,12397424,12391323,12504796
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
