GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "11000" ,"District of Columbia",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",21025392,21401320,21806020,21869308,22018760,22247340,22658576,23123076,24338756,24546400,24853552,25407104,25357488,25650696,25715200,25960040,25447456,25809432,25905444,26190392,25709864,25998940,26305672,26680436,27743952,28224460,28626536,29442424,29528516,30089356,30429004,31055480,31475688,31859460,32237584,32575908,33725628,34197384,34829920,35236240,34986660,35951780,35750404,35445232,35578412,35808876,35799800,36026332,37482968,38222104,38793132,39557292,41309992,41740556,42294128,42529396,43175292,43551228,43234100,44523964,43905008,44304564,44405428,44864512,46399656,47026276,47732240,48049948,50230608,50900876,51296628,51358860,52366664,52802948,53144524,53847672,54941672,55128176,55793280,56178672,56775428,57321215
 "11000" ,"District of Columbia",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",2695528,2740204,2747296,2772084,2752924,2716960,2729172,2744888,2756136,2812224,2846720,2851240,2840224,2905480,2868348,3047280,3151800,3193816,3237360,3251068,3226432,3254180,3292416,3279828,3307260,3278220,3283136,3314388,3456500,3583552,3596548,3639560,3614488,3602464,3650204,3621244,3828480,3841744,3900920,3944128,3988208,4704212,4215256,4186912,4484212,4714948,4874984,4909228,5262712,5297444,5493164,5631724,5829748,5738632,5725244,5764516,5650576,5683300,5598876,5698884,5827156,5951940,6068452,6060712,5816964,5928292,5997876,5840492,6070744,6046712,6121548,6222800,6363876,6577424,6631328,6643768,6622680,6643920,6660552,6707716,6701770,6659006
 "11000" ,"District of Columbia",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",550688,551404,552308,551168,553040,553920,555956,559344,568752,581936,582912,584444,598172,600424,606576,607976,621928,624676,626060,626544,630320,632252,632584,635720,648280,653552,654420,657816,669400,674300,675364,679844,702404,710012,713488,716196,736144,742972,746048,748896,765764,772180,779416,784944,830968,843996,850752,859700,863124,875292,880352,886848,891768,902864,907868,915100,954056,961928,969236,976544,1000900,1007696,1016772,1024696,1045060,1056400,1061400,1070424,1094672,1105132,1111620,1120864,1126752,1136520,1143704,1152348,1166160,1175152,1184436,1192020,1224271,1234774
 "11000" ,"District of Columbia",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",570856,567440,564132,560896,558268,556376,556188,557740,563496,565964,568252,570340,570188,573368,576592,579892,582900,587444,591744,595792,596264,602624,611616,623320,632548,646912,662648,677300,693376,704164,711688,715704,766704,766280,765992,765792,768732,771388,777272,786496,802608,815436,828040,840400,852600,864584,874736,883068,887460,895260,903884,913324,922664,931656,939428,945996,952056,958076,964844,972356,980436,974664,983128,991940,1001736,1012456,1024812,1038840,1054148,1067556,1078596,1087224,1093860,1101788,1111464,1122888,1135740,1147808,1158724,1168484,1180173,1198056
 "11000" ,"District of Columbia",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",834872,879132,880540,906352,893756,856800,871536,881692,874888,909608,935852,929800,894448,933040,908696,987168,1014184,1022912,1058792,1101492,1090888,1110024,1147208,1125128,1146952,1109328,1101960,1117212,1226596,1336948,1325292,1369244,1269576,1269448,1294044,1249908,1391372,1371520,1415036,1447404,1499820,1487496,1458640,1497100,1591160,1657120,1712888,1705656,1722120,1803460,1951772,2052328,2179028,2189640,2164788,2179476,2120240,2138056,2083396,2120428,2196616,2328208,2440876,2441716,2291324,2378900,2441396,2382012,2469316,2445932,2481644,2536052,2640956,2841604,2853288,2836632,2842616,2840332,2817376,2822864,2803007,2710285
 "11000" ,"District of Columbia",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",65048,59928,65132,64656,57736,61668,56508,56400,65300,63032,59564,51260,48388,54056,64244,100244,146944,165128,164212,130056,115216,114808,106560,102648,82652,69200,62768,54556,51728,51820,55648,62156,71868,51380,61348,51700,61640,58956,57212,55656,55720,53480,117852,120656,162552,115240,237424,245192,359924,298760,303488,337488,378672,253160,256340,259032,257588,249808,187712,214804,170260,163168,148600,130844,76220,66316,51364,50220,50016,48540,50320,52108,55332,55576,53608,48440,44964,43400,43072,41468,37279,34845
 "11000" ,"District of Columbia",2,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",674064,682300,685184,689012,690124,688196,688984,689712,683700,691684,700140,715396,729028,744592,712240,772000,785844,793656,796552,797184,793744,794472,794448,793012,796828,799228,801340,807504,815400,816320,828556,812612,803936,805344,815332,837648,870592,896908,905352,905676,864296,1575620,1031308,943812,1046932,1234008,1199184,1215612,1430084,1424672,1453668,1441736,1457616,1461312,1456820,1464912,1366636,1375432,1393688,1414752,1478944,1478204,1479076,1471516,1402624,1414220,1418904,1298996,1402592,1379552,1399368,1426552,1446976,1441936,1469264,1483460,1433200,1437228,1456944,1482880,1457040,1481046
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
