GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "10000" ,"Delaware",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",22020802,22415910,22626374,22917990,23799981,23854721,24139225,24766501,26107276,26716236,26878496,26811836,28754124,29175268,29550992,29881380,30155000,30277024,30439496,30443440,30326728,30787468,31370252,31638624,31269372,32124712,32372804,33415172,32465164,32728884,32891744,34577600,34748788,35350540,35452576,35351280,36069268,36520296,36270396,36482716,35558920,37059056,36306480,35210816,36152764,36337108,36322880,36351488,35602612,36312996,37195824,37717280,39347924,39633536,40037712,40167652,39705564,40226296,40040752,41264268,40376440,40858488,40977696,41379300,41983772,42475152,43032576,43513180,44240800,45122092,45227736,45458196,45210484,45648224,46129172,46680044,47156576,47229520,48223908,48518220,48970233,49473334
 "10000" ,"Delaware",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",2659444,2691192,2714252,2733084,2773092,2783776,2828440,2872124,2945252,3057540,3116224,3162936,3296620,3371928,3318696,3483332,3557632,3610812,3639268,3706020,3802116,3863908,3939872,3976752,4098288,4154468,4228968,4294532,4422784,4534940,4537268,4592404,4778552,4863116,4960980,4982232,5226244,5236400,5322740,5444136,5620712,6711724,6087996,6049912,6360196,6733444,6714148,6718176,7027648,7118716,7225652,7261648,7473076,7436540,7449024,7532184,7468780,7640676,7746380,7736020,7920812,8000316,8079840,8149768,8254008,8388068,8490780,8510148,8784460,8939940,9033680,9086220,9236156,9301396,9360348,9487536,9682660,9813180,10061232,10206432,10354525,10445256
 "10000" ,"Delaware",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1139536,1145808,1155780,1157852,1182256,1189512,1195572,1201252,1238068,1282868,1277464,1277892,1341768,1347904,1370060,1370700,1429312,1441200,1453204,1467548,1493924,1516188,1525824,1542756,1592540,1615968,1623364,1645036,1706788,1730140,1731016,1739228,1812456,1829124,1836524,1846976,1927908,1957284,1972960,1986976,2051536,2073648,2095672,2109032,2250460,2287160,2306352,2335660,2352152,2392728,2409604,2429756,2446700,2479592,2492976,2513000,2632568,2655304,2677104,2699816,2780640,2803256,2833480,2860292,2930452,2968528,2984332,3012292,3089540,3122956,3145320,3179024,3203860,3241316,3269888,3303060,3353352,3386500,3419664,3446128,3539366,3569731
 "10000" ,"Delaware",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",555876,551872,551640,555172,560656,568240,576116,584336,595216,607976,625072,646340,677040,698624,716824,731764,742920,756128,769560,783244,795988,814744,840104,872424,916416,949424,978396,995668,1013960,1020628,1027124,1033220,1178564,1188344,1205328,1229888,1265136,1299632,1336536,1375900,1415388,1453360,1485612,1511612,1528012,1546376,1562584,1576868,1598456,1612920,1629116,1646988,1670704,1688872,1704720,1718328,1726748,1747264,1776040,1813388,1855868,1854256,1888100,1915532,1934708,1960100,1990156,2024964,2063312,2098572,2129564,2156340,2180260,2206752,2237184,2271524,2308804,2343976,2376060,2405032,2429091,2465899
 "10000" ,"Delaware",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",428992,447004,444048,458316,459824,445152,464156,483572,499332,538324,566236,570576,568064,611424,568648,647812,638448,629116,650560,683172,702064,711872,755048,742516,794116,804112,820908,842268,858460,919536,886528,921412,897548,934816,992784,968652,1052828,980888,1002440,1044804,1097472,1143876,1141996,1168700,1209972,1208256,1262300,1218568,1226164,1267956,1335860,1354104,1492148,1409124,1417664,1481352,1414232,1559476,1510540,1545204,1563916,1606788,1642992,1672832,1636824,1698628,1757284,1741124,1802760,1888720,1917040,1897132,1913764,1918464,1913680,1979260,2045712,2108576,2280112,2352896,2385958,2401241
 "10000" ,"Delaware",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",62728,64032,71736,57984,55728,56748,57992,59628,64952,67028,72456,73080,92504,80712,82980,98480,110884,157196,143604,147140,160580,161128,153676,154936,124272,108260,120036,103924,100632,102720,97872,111736,89604,100968,106880,100892,114176,110256,107132,109728,117892,121096,173832,205368,251304,328680,339308,335976,351056,331496,314424,302312,284204,272728,245828,225444,203088,183408,278500,165280,168180,184548,162980,156244,107196,96528,87576,81356,80712,79596,81564,79864,77684,75228,72240,68324,69948,70664,70712,68072,63655,55515
 "10000" ,"Delaware",2,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",472312,482476,491048,503760,514628,524124,534604,543336,547684,561344,574996,595048,617244,633264,580184,634576,636068,627172,622340,624916,649560,659976,665220,664120,670944,676704,686264,707636,742944,761916,794728,786808,800380,809864,819464,835824,866196,888340,903672,926728,938424,1919744,1190884,1055200,1120448,1362972,1243604,1251104,1499820,1513616,1536648,1528488,1579320,1586224,1587836,1594060,1492144,1495224,1504196,1512332,1552208,1551468,1552288,1544868,1644828,1664284,1671432,1650412,1748136,1750096,1760192,1773860,1860588,1859636,1867356,1865368,1904844,1903464,1914684,1934304,1936455,1952870
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
