GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "12000" ,"Florida",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",405766865,413485249,419300449,423634293,427534258,432562606,438399842,444407466,461041145,466705241,474669277,481913177,491096232,495752632,496530020,499101256,505652588,510692876,513456284,520516340,526033356,530819632,541144296,554418588,566656440,581547072,592705340,609727640,621185632,634538932,647677516,663107644,685765712,694899028,701011668,709808244,717733720,726692120,729981624,731022220,727424636,745223168,725986040,709430480,682972924,684152688,677815612,684337012,707328708,720940400,732038604,742896848,756269660,764485320,769096152,774892220,779904156,786400704,785196800,816172552,783232496,790064024,797980612,807910788,831671076,851427060,867221840,883674664,899178632,915774820,927773732,934180512,937600788,947041128,959542772,968857768,985331756,992669384,1004739512,1019755608,1036603602,1047479152
 "12000" ,"Florida",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",60854848,61214900,61433232,61972724,63016808,63353988,64071776,64744304,65880296,67722796,68703412,69732108,72285704,74275040,73077584,76915480,78497452,79422756,80102704,81447728,83518204,84633340,85904792,87004764,89211036,90647152,93592012,93398812,96389116,98151456,99195284,100209352,104019516,104715896,105439716,106134272,110073516,111043392,112323716,113785444,116102828,141179900,126023416,124649408,132328852,140488636,139732524,141383148,149198660,150392228,152639920,154513648,156974972,157778740,157954244,158323168,155061268,156038908,155967988,157383472,158663544,160194564,161987928,162835928,166054352,170215740,172983592,175631220,178755000,180638588,181283168,181557252,185908808,187815120,189136216,190198992,193659900,196183452,200182028,200382052,204767402,205928664
 "12000" ,"Florida",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",26294448,26414640,26604960,26641368,27104200,27234500,27339416,27434680,28127552,28963060,28880732,28925104,30146876,30294372,30715348,30717964,31749456,31941256,32144236,32398800,32901632,33294464,33448340,33720408,34562896,34943484,35060360,35441624,36529324,36962232,37015588,37204716,38584576,38900528,39005948,39119496,40455428,40883900,41086048,41280764,42428516,42826908,43253608,43552288,46303976,47069928,47475236,48045336,48306612,49102104,49449700,49880328,50222620,50923136,51228036,51657848,54065152,54528300,54958072,55390796,56960104,57379980,57957684,58474472,59821080,60569596,60896340,61474620,63031600,63722608,64187292,64863956,65355316,66066036,66573112,67140080,68008160,68568676,69156764,69642672,71526916,72140557
 "12000" ,"Florida",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",16624580,16548848,16539844,16597596,16709976,16853420,17012636,17188712,17361604,17650316,18027812,18492976,19017076,19514272,19930936,20267340,20570912,20890728,21229460,21587860,21947024,22406260,22954496,23592716,24280708,24958984,25671656,26243964,26906612,27357064,27791580,28202596,32105736,32489344,32908884,33362752,33900612,34457704,35098068,35825052,36676336,37460660,38197296,38882064,39517032,40098240,40605948,41042676,41429784,41844632,42298976,42792356,43334712,43829532,44279148,44685056,45063996,45497328,45989280,46539840,47157816,46835164,47441756,48044928,48636696,49331168,50107124,50965488,51875916,52741076,53533892,54256428,54939620,55644772,56401268,57206532,58034540,58822108,59545840,60205988,60808262,61729694
 "12000" ,"Florida",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",6403068,6471464,6358908,6597384,6779700,6697076,7017372,7262644,7332396,7737644,8058812,8099332,8149332,8932004,8313820,9850632,9786884,9840948,10375876,11073200,11606844,11427596,11776444,11968652,12648576,12923612,12786768,12723772,13008356,13439348,13182808,13230916,12626264,12660768,12814176,12598340,13760300,13290028,13484336,13743096,14044280,14522040,14891148,14835540,15590820,15586064,15893140,16029644,16370228,17160616,18098456,18194624,18804896,18206624,17844784,18029396,17887396,18606516,17865856,18396644,17899920,18565516,19196096,19431756,19721056,20935164,22057716,22177876,21458012,21265656,20841120,20210248,21004288,22015912,22667736,22932948,22309812,23267096,23746020,23445312,23172450,23305010
 "12000" ,"Florida",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",634200,667884,673084,669820,689448,708992,665540,655632,657568,657460,707872,724192,822656,918412,989288,1323000,1449112,1984196,1661276,1562000,1559056,1634700,1622844,1558372,1286972,1107196,1087304,1086796,946644,867688,853500,870780,745472,794496,822684,907620,1011380,1070236,1182812,1295676,1488160,1643720,2737208,3208504,4947608,5943800,6395852,6633708,7910196,6478572,6045304,5673992,5219956,4635872,3988800,3657540,3361500,3040112,2803432,2574500,2320488,2136872,1941896,1819108,1147944,962884,865912,788228,715864,636736,596344,553044,526020,505088,502412,503756,541612,484700,446388,415572,445568,416669
 "12000" ,"Florida",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",10898552,11112064,11256436,11466556,11733484,11860000,12036812,12202636,12401176,12714316,13028184,13490504,14149764,14615980,13128192,14756544,14941088,14765628,14691856,14825868,15503648,15870320,16102668,16164616,16431884,16713876,18985924,17902656,18998180,19525124,20351808,20700344,19957468,19870760,19888024,20146064,20945796,21341524,21472452,21640856,21465536,44726572,26944156,24171012,25969416,31790604,29362348,29631784,35181840,35806304,36747484,37972348,39392788,40183576,40613476,40293328,34683224,34366652,34351348,34481692,34325216,35277032,35450496,35065664,36727576,38416928,39056500,40225008,41673608,42272512,42124520,41673576,44083564,43583312,42991688,42415676,44765776,45040872,47287016,46672508,48814206,48336734
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
