GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "19000" ,"Iowa",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",72235566,72841942,74343134,74884662,74140308,74665576,75550756,77515992,79000987,80443035,81637707,81520763,82320032,82889328,83211172,83349176,84067180,84680332,85192236,85769844,85306312,86113784,87015080,88222644,91763280,93070372,93646312,95800908,94381456,95989412,97136148,97996292,100773116,102020852,102722892,104274868,107729596,109465316,110145408,112285404,115382264,118603040,116211836,115291956,111639896,112865664,112729412,114080932,113908320,115879292,117128616,118495976,123732044,124324272,126535996,127752420,130159960,132221184,131117896,134429836,133679848,134389208,135132084,134391672,135774596,139082632,140229280,141508072,142412332,143399068,145443020,145475644,144221840,144704108,145680052,146021116,147278508,148027260,147792968,149071872,149890392,151764326
 "19000" ,"Iowa",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",9689964,9745936,9770296,9870776,9999316,10037416,10187612,10307696,10470600,10783692,10973224,11182356,11337132,11676788,11677980,12290892,12729312,12982588,13007476,13008472,12815812,12930152,12862684,12897920,13150096,13314160,13356636,13543960,13929096,14234980,14330212,14522484,15290560,15575688,15935576,16076868,16495216,16539980,16763520,17104584,17538780,21046184,18989472,18641300,19564152,20824448,20495228,20650512,21456104,21588184,21882764,21955176,22027976,22031328,22052368,22127212,21867352,22035460,21930780,22100404,22336412,22387188,22572264,22577860,22935584,23371108,23708360,23887120,24341148,24610260,24835936,24938056,25101900,25436716,25387560,25317768,25390744,25088376,25194096,25211620,25722245,26196757
 "19000" ,"Iowa",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",4576908,4592148,4616100,4619660,4675408,4691788,4705460,4718516,4807288,4921508,4916956,4931788,5099828,5127736,5188236,5190544,5323400,5344340,5364204,5388144,5453104,5494664,5505252,5532532,5642844,5688240,5698120,5745440,5883700,5947956,5966460,6012096,6226644,6295164,6328132,6357008,6544908,6607496,6632224,6650168,6790416,6837656,6898080,6950916,7339740,7450564,7505120,7569988,7583640,7663212,7689384,7726916,7756852,7831608,7865832,7920756,8217004,8278200,8333700,8387544,8557964,8607212,8673488,8732244,8878216,8960912,8996828,9060380,9231816,9304212,9348116,9411788,9451308,9519048,9568584,9628964,9726728,9790192,9856044,9910036,10178161,10265481
 "19000" ,"Iowa",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",1907572,1898060,1898944,1910264,1924872,1945452,1965336,1984596,2009724,2045032,2099192,2173040,2265356,2336364,2385636,2411920,2429388,2438792,2450804,2465604,2502304,2536088,2581104,2637332,2693068,2764492,2846844,2919308,2976800,3058824,3155888,3268312,3833332,3948080,4042912,4115824,4140960,4191624,4248380,4311348,4367232,4433400,4504232,4580036,4656928,4713732,4761112,4799128,4822836,4853172,4887080,4924548,4965920,4998576,5025156,5045712,5073216,5093512,5119564,5151396,5192248,5164884,5208176,5253492,5297440,5355556,5421508,5495492,5575108,5647876,5711288,5765304,5811980,5864276,5924468,5992544,6066608,6135396,6196828,6250784,6313314,6408980
 "19000" ,"Iowa",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",1348220,1365756,1337516,1373520,1385696,1359488,1430440,1503360,1557608,1674104,1763144,1778564,1578032,1746328,1737976,2151408,2464268,2558400,2638312,2631264,2255828,2229068,2120076,2107480,2274964,2348452,2274380,2313360,2386816,2510092,2363460,2422736,2450128,2507424,2671492,2608068,2668420,2474224,2497988,2599904,2685680,2803372,2865700,2846168,2973328,3016588,3019276,2949648,2945488,3008588,3147708,3181332,3383420,3355048,3403888,3496332,3430920,3633872,3515520,3613240,3587572,3612912,3707248,3628424,3786852,4060016,4282744,4382376,4477336,4595016,4654512,4582444,4574656,4783796,4616028,4447140,4354392,3949900,3907944,3817584,4020434,4293731
 "19000" ,"Iowa",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",158816,154232,153104,160064,182672,182516,197072,187504,199440,200688,202704,231552,260044,287112,325252,361516,356416,517692,449848,416440,440796,484956,465460,443316,350208,317068,319140,298572,300952,280928,302420,319800,291044,302740,321740,336256,335220,328232,328160,331760,353712,373864,519128,639948,826500,1166192,1206440,1254816,1236868,1057172,1005140,949788,894136,828440,772036,746384,697940,631288,572752,549476,529796,521496,490668,483792,426076,405208,393168,385880,390300,380224,396092,400124,408212,410700,403028,393524,384440,382764,394712,359952,355412,322413
 "19000" ,"Iowa",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",1698448,1735740,1764632,1807268,1830668,1858172,1889304,1913720,1896540,1942360,1991228,2067412,2133872,2179248,2040880,2175504,2155840,2123364,2104308,2107020,2163780,2185376,2190792,2177260,2189012,2195908,2218152,2267280,2380828,2437180,2541984,2499540,2489412,2522280,2571300,2659712,2805708,2938404,3056768,3211404,3341740,6597892,4202332,3624232,3767656,4477372,4003280,4076932,4867272,5006040,5153452,5172592,5027648,5017656,4985456,4918028,4448272,4398588,4389244,4398748,4468832,4480684,4492684,4479908,4547000,4589416,4614112,4562992,4666588,4682932,4725928,4778396,4855744,4858896,4875452,4855596,4858576,4830124,4838568,4873264,4854924,4906152
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
