GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "16000" ,"Idaho",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",27729774,28067050,28426210,28920950,29613441,29764685,30153481,30962069,31743100,32529804,32713624,33418148,33773368,34104904,33965756,34074060,34588340,34813588,35240572,35807048,35710168,35977864,36563904,37034668,38187708,39051812,39443324,40325924,40595608,41339308,42051688,43056344,44906392,45943192,46074144,47085236,48503392,48944032,49009004,49532608,49742060,51450136,50049284,49115248,48574680,48400072,48210068,48449900,48980112,49704676,50574216,51318900,52416692,52774004,53335712,53638676,54868928,55649904,55848272,58080420,57067676,58145500,58685404,59045516,60020176,61220884,61948432,63274516,64457668,65205280,66354736,66425436,66979432,67879644,68445416,68914636,70303872,71359100,72019364,73569408,74301134,75124208
 "16000" ,"Idaho",7,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",3559756,3579172,3600100,3654776,3754368,3789668,3848400,3900092,4000116,4126392,4191284,4260916,4495176,4641928,4545040,4841392,4952612,5023388,5038108,5088348,5206380,5326632,5400528,5414044,5565088,5682832,5752192,5871164,6062072,6175084,6220640,6254368,6568700,6673672,6758000,6825572,7147480,7192416,7318780,7469428,7654764,9554796,8417916,8281940,8782000,9492280,9469276,9551380,10087188,10105604,10380672,10424260,10343728,10324800,10261144,10246448,10238588,10461216,10425688,10596340,10672508,10746244,10837056,10838960,10967432,11233384,11325672,11444280,11655892,11783656,11931232,12069188,12108928,12351700,12471484,12558980,12843700,12803852,12978908,13100904,13410207,13466722
 "16000" ,"Idaho",7,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1518028,1526876,1541216,1545896,1578432,1590068,1599108,1606644,1653988,1716956,1710168,1712676,1805792,1815992,1847372,1846192,1928896,1943632,1960016,1981356,2024164,2058448,2071876,2094764,2163888,2197544,2208840,2244556,2340952,2382964,2390948,2411200,2530748,2561516,2574500,2588584,2707532,2747424,2767192,2785300,2886384,2916916,2946656,2962588,3174392,3226348,3253880,3298780,3325580,3391424,3422196,3459096,3489412,3545028,3568356,3599592,3779848,3812828,3844572,3877912,4003336,4036004,4079664,4117448,4224016,4278936,4300708,4341808,4458824,4510428,4546644,4601608,4644716,4706060,4752920,4805868,4884124,4935768,4987152,5027980,5164016,5208319
 "16000" ,"Idaho",7,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",662172,657744,657076,660164,666860,674620,683576,693800,709424,724628,743744,766620,792860,814812,832848,846992,861336,873928,886944,900408,919012,937848,960520,986988,1012764,1042796,1075524,1102136,1128200,1154396,1184392,1218168,1441348,1477040,1509228,1537404,1561668,1587964,1616948,1648676,1684168,1720368,1757940,1796984,1838824,1874772,1905960,1932436,1954824,1978484,2003388,2029472,2056012,2081612,2104584,2125032,2144900,2166880,2192588,2222040,2256052,2239540,2273012,2306628,2340064,2378808,2421248,2467380,2515504,2560900,2602120,2639296,2674136,2711960,2754468,2801616,2852144,2899252,2941588,2979084,3008885,3054479
 "16000" ,"Idaho",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",434908,439356,435428,461448,489820,495116,530540,558424,571712,612304,642500,648580,691648,755980,692328,809060,788944,770200,786848,812712,830656,819732,848764,848408,932796,996544,1004588,1033072,1042376,1055924,1018624,1036292,1001612,1043672,1073548,1055448,1145904,1079116,1111132,1157816,1190812,1215600,1226264,1213216,1257800,1287016,1318636,1341224,1433908,1413272,1541968,1616096,1504572,1413016,1344192,1265660,1383080,1591316,1539332,1658988,1631020,1671432,1698568,1655144,1561616,1613216,1658496,1659896,1695552,1676024,1734904,1721812,1679244,1749968,1734996,1774860,1809004,1773280,1894476,1908184,1937494,1929958
 "16000" ,"Idaho",7,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",116200,112764,112036,115268,113204,111876,105556,104024,111240,102884,106000,112708,133652,141272,168228,196752,212840,279800,248140,224392,211480,264344,260188,226704,179056,159900,160664,149108,137404,140484,136552,126956,124408,113480,106968,114356,133120,125688,133660,139872,137776,223888,288128,359376,453136,648172,714932,678128,654356,564856,585728,491912,473280,444748,395184,386688,364484,323144,273620,263044,239220,210000,190248,181052,140860,135512,129660,121756,121284,120236,123248,120628,118256,114188,115356,112048,115576,107104,95648,97124,99244,92300
 "16000" ,"Idaho",7,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",828448,842432,854344,872000,906052,917988,929620,937200,953752,969620,988872,1020332,1071224,1113872,1004264,1142396,1160596,1155828,1156160,1169480,1221068,1246260,1259180,1257180,1276584,1286048,1302576,1342292,1413140,1441316,1490124,1461752,1470584,1477964,1493756,1529780,1599256,1652224,1689848,1737764,1755624,3478024,2198928,1949776,2057848,2455972,2275868,2300812,2718520,2757568,2827392,2827684,2820452,2840396,2848828,2869476,2566276,2567048,2575576,2574356,2542880,2589268,2595564,2578688,2700876,2826912,2815560,2853440,2864728,2916068,2924316,2985844,2992576,3069524,3113744,3064588,3182852,3088448,3060044,3088532,3200568,3181666
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
