GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "20000" ,"Kansas",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",68453670,69669854,70571718,71253610,70880118,71514662,72161294,74580386,74385474,76255502,77545814,76784666,78106000,78721036,78717688,79236952,78459964,79324276,79474660,80257196,80769520,81001804,81978608,82436036,82141856,83189196,84625748,85483272,86682020,88214268,89220088,89852292,95493984,97400248,98399300,100027852,103061220,104693344,105450328,107432524,112542944,116706432,114970700,113358172,110863684,110729752,109773932,110560472,109288736,111690148,113829260,115921044,119208308,121826144,123787468,124356264,129513000,129802952,127710428,132388588,130111848,132809236,133181056,134178044,132829728,134723500,136572100,137528840,136701096,137080968,137847820,137323368,136487336,137674768,138629600,139630148,140255528,141005012,141716576,142860288,143448763,145117316
 "20000" ,"Kansas",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",8494580,8521288,8543040,8618000,8752216,8808460,8953604,9094364,9277380,9588096,9772980,9964884,10311412,10572108,10406728,10906248,11060548,11159408,11247656,11368376,11520932,11672852,11862384,11780028,11919188,11986356,12060916,12195348,12498440,12673592,12757124,12857784,13325948,13521680,13792288,13931232,14465024,14581684,14724108,14976468,15272300,18389092,16360448,16188000,17061928,18288240,18368276,18383968,19187452,19123292,19125052,19323200,19519140,19602892,19624756,19756292,19399776,19397984,19284404,19335668,19449408,19579672,19726132,19800624,19960504,20258540,20490932,20585424,20970348,21212796,21411728,21489032,21736768,22008664,22098028,22150072,22376648,22395548,22523096,22702180,23118146,23244517
 "20000" ,"Kansas",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",3760924,3773200,3792064,3792196,3837316,3851912,3868736,3889676,3976296,4086236,4086212,4097644,4238164,4256716,4305380,4304136,4420804,4437332,4452928,4472108,4527684,4563176,4573760,4600492,4698644,4742364,4754968,4799344,4922988,4979160,4992664,5026848,5208352,5260860,5283236,5303156,5468648,5522420,5544816,5563584,5695168,5741440,5797256,5843524,6193604,6295816,6349260,6416380,6436320,6520780,6553060,6594480,6624544,6697444,6730136,6780488,7053436,7107824,7157716,7206908,7368748,7413324,7472952,7525020,7660528,7733444,7762976,7817464,7970532,8034688,8074796,8135188,8175612,8241944,8291556,8351152,8445132,8506608,8569300,8620036,8853259,8929212
 "20000" ,"Kansas",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",1860832,1852320,1850688,1855956,1865776,1878052,1890280,1902512,1916668,1943680,1984808,2040372,2105016,2164364,2209960,2241304,2257128,2285936,2323472,2370180,2427244,2485188,2544800,2605540,2666924,2723960,2785236,2832684,2883712,2925392,2973044,3026396,3442680,3502000,3563212,3626076,3688800,3748788,3805252,3857668,3899488,3955152,4020140,4095080,4174392,4243632,4300212,4343976,4370720,4403636,4439976,4479704,4518864,4554980,4585360,4610080,4639116,4662632,4691664,4726220,4768916,4742900,4785796,4830352,4876112,4931140,4993120,5062204,5136160,5202936,5260188,5307872,5348032,5394864,5450656,5515444,5587600,5654304,5713636,5765484,5823159,5911398
 "20000" ,"Kansas",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",1144136,1143292,1110584,1140188,1159520,1146200,1218056,1292920,1352584,1466632,1553684,1573420,1585288,1696276,1629656,1859804,1910096,1908752,1923540,1909256,1769148,1664532,1719472,1646568,1763620,1842620,1859244,1920628,1985272,2051276,1987044,2061760,1968824,2027064,2168356,2119948,2277040,2152628,2106220,2164876,2234240,2227084,2221736,2240384,2368380,2475500,2550852,2442732,2377188,2326364,2409472,2441184,2678604,2751120,2768232,2822936,2652832,2663944,2538824,2534080,2475648,2595652,2661572,2693924,2697076,2782252,2897736,2899800,2944904,3022564,3105724,3066332,3125712,3312264,3317076,3305868,3315476,3263000,3266220,3318420,3393788,3344907
 "20000" ,"Kansas",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",133440,122956,129700,124236,136752,145940,156428,164132,154208,167328,168688,187968,216072,216864,235656,284084,326212,416780,429964,438648,440892,525184,559976,486976,388124,310300,312040,273040,266760,252804,272740,264516,223864,226124,221564,229604,244396,234804,240588,248356,267300,283072,385276,548144,750284,1028368,1314760,1274328,1397856,1175756,925204,1005288,905548,799620,756832,776944,704556,637180,565136,527048,477392,432832,409436,388176,303764,285424,267892,255540,260908,251560,243412,230540,222472,214108,214280,210008,200072,187256,189284,176008,172460,162486
 "20000" ,"Kansas",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",1595248,1629520,1660004,1705424,1752852,1786356,1820104,1845124,1877624,1924220,1979588,2065480,2166872,2237888,2026076,2216920,2146308,2110608,2117752,2178184,2355964,2434772,2464376,2440452,2401876,2367112,2349428,2369652,2439708,2464960,2531632,2478264,2482228,2505632,2555920,2652448,2786140,2923044,3027232,3141984,3176104,6182344,3936040,3460868,3575268,4244924,3853192,3906552,4605368,4696756,4797340,4802544,4791580,4799728,4784196,4765844,4349836,4326404,4331064,4341412,4358704,4394964,4396376,4363152,4423024,4526280,4569208,4550416,4657844,4701048,4727608,4749100,4864940,4845484,4824460,4767600,4828368,4784380,4784656,4822232,4875480,4896514
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
