GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "22000" ,"Louisiana",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",97296261,98915941,99572141,99910285,100272450,100728794,101315874,103040950,105576005,106940773,107519313,108249741,112695132,114186532,114778052,115853444,116150600,117224152,117936236,119318132,118715444,120205044,121830924,123498340,123238572,125306284,126655872,129499512,131078120,132679560,138816104,140325684,141034272,142922020,144306468,146741416,149653408,158030000,158636640,160819216,163361524,170848040,168207932,169513900,164960928,163339684,162494068,162732644,166437212,169262684,172646648,173561212,174453196,175220284,176706080,178319080,182729656,186068196,185093492,190125264,187049188,188148496,188719688,189590460,194231516,197373956,199221340,199916788,199829176,199667524,200575156,200239048,197987376,198882384,199546696,201756988,203285248,203627040,205299612,205855232,208865143,211855355
 "22000" ,"Louisiana",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",16706716,16788520,16799416,16957412,17207136,17188020,17288264,17320008,17272944,17600648,17808772,18070944,19794860,20350372,19921608,21067756,21251928,21385200,21399264,21454220,21222464,21220568,21548668,21694700,22713492,23676784,23826424,24382860,25092416,25043744,30802020,29940100,26398604,25370496,25096484,25375660,26295004,26204644,26634664,27240640,27705416,34022208,29829068,29593000,30930520,32631392,32390812,32490888,33598616,34059648,34744652,35557392,35153708,34766832,34765456,35099964,34856324,35620256,36193020,36183232,36688968,36938788,36910948,37293744,36566340,36994284,37314536,37589704,39629988,40819048,41553108,42510492,42601928,43596688,44112924,44950680,45228668,45315964,46122540,45969340,46572549,47266947
 "22000" ,"Louisiana",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",5455516,5476012,5508132,5512176,5590320,5614544,5637180,5661220,5792308,5959640,5946832,5954696,6180116,6210284,6299872,6314564,6519412,6569156,6613752,6660624,6734724,6799232,6827888,6882068,7057248,7125956,7140932,7191372,7369328,7413800,7388508,7380896,7578420,7611740,7631696,7677188,7960312,8077804,8141620,8191288,8381080,8460272,8548440,8616276,9130720,9284516,9364516,9469012,9503948,9636880,9690704,9759808,9814580,9930356,9982616,10059724,10475720,10555500,10626776,10695312,10940308,11001976,11088636,11165632,11374724,11487036,11534008,11620588,11859880,11963604,12031304,12131156,12201256,12308104,12386020,12475992,12615540,12706260,12800092,12876840,13225234,13338695
 "22000" ,"Louisiana",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",4076340,4052864,4028336,4002660,3983920,3968720,3972336,3995120,4019692,4068136,4119948,4174840,4213160,4292648,4369436,4444136,4512144,4582652,4636592,4673056,4663008,4729816,4849772,5025852,5250176,5449252,5622044,5732632,5823540,5865220,5898048,5920376,6567532,6599728,6667128,6771096,6944656,7076640,7201612,7318656,7431064,7552436,7682108,7820576,7966364,8100864,8210516,8295140,8352812,8421740,8500940,8590412,8677324,8771896,8862304,8948900,9037416,9119472,9201760,9283940,9370248,9299268,9385556,9475236,9575428,9685300,9810864,9952416,10105180,10249208,10379892,10497412,10606696,10721128,10845580,10979768,11119556,11251680,11372196,11481056,11595908,11771621
 "22000" ,"Louisiana",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",3251096,3270376,3207544,3322168,3411800,3340084,3406844,3384484,3196320,3206144,3269520,3295740,4539680,4853936,4574568,5170120,4908328,4818264,4822344,4798772,4448524,4242832,4463184,4429532,5078308,5666512,5535516,5752656,5404124,5024472,4755336,4498180,4584160,4983640,5245880,5414876,5863744,5319284,5424868,5699500,5779008,6127976,6188836,6218316,6640564,6663264,6714640,6573148,6456964,6614748,6934236,6709280,6909532,6407480,6298888,6417776,6314852,6942332,7375360,7212796,7367088,7685876,7529240,7805472,6577796,6580584,6656056,6663644,7814196,8673444,9175392,9862716,8678180,9412604,9746132,10428128,10710876,10614152,11220108,10847532,10898355,11257310
 "22000" ,"Louisiana",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",118516,123780,152272,162948,163776,185880,162880,148964,141640,169816,182272,200600,226092,205392,226124,260548,322868,463648,397760,370296,401888,428112,375776,355532,318044,361304,309572,257808,247848,271292,512416,1693640,658748,270856,171260,157276,204572,200696,173852,167536,184828,195780,289964,382400,517304,694752,812840,791820,786840,711564,734436,1165872,706772,650844,605300,591592,562644,499492,428884,393544,362700,317952,271844,258108,186932,192744,213168,233044,248860,249704,258320,272476,292572,294988,288328,270904,253968,237004,209260,188328,180110,175166
 "22000" ,"Louisiana",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",3805248,3865488,3903132,3957460,4057320,4078792,4109024,4130220,4122984,4196912,4290200,4445068,4635812,4788112,4451608,4878388,4989176,4951480,4928816,4951472,4974320,5020576,5032048,5001716,5009716,5073760,5218360,5448392,6247576,6468960,12247712,10447008,7009744,5904532,5380520,5355224,5321720,5530220,5692712,5863660,5929436,11685744,7119720,6555432,6675568,7887996,7288300,7361768,8498052,8674716,8884336,9332020,9045500,9006256,9016348,9081972,8465692,8503460,8560240,8597640,8648624,8633716,8635672,8589296,8851460,9048620,9100440,9120012,9601872,9683088,9708200,9746732,10823224,10859864,10846864,10795888,10528728,10506868,10520884,10575584,10672942,10724155
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
