GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "92000" ,"Mideast",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1398234386,1427426850,1442020242,1454627182,1485584765,1491883313,1515355893,1536229061,1591139688,1619141028,1642361340,1671161924,1691855068,1691805980,1702385496,1693947248,1700321444,1717495068,1715900956,1723532960,1724294640,1748529136,1768143528,1791338572,1803762796,1835470112,1866512428,1901333232,1889749288,1917510744,1942847900,1985569112,2025345504,2053997496,2071737760,2108152152,2179622660,2188165396,2201953216,2220636916,2248503860,2281189768,2258979260,2238333512,2179219440,2221881152,2220731524,2243219624,2260407732,2303587040,2317850108,2335527596,2413029560,2423604028,2443609916,2450886220,2505314944,2530799216,2528424908,2604653800,2539109620,2565069856,2574116220,2593998780,2634759816,2660207496,2695924916,2723620496,2749382004,2791330124,2821504636,2817760380,2846125620,2857621660,2880106492,2912754564,2969381984,2992756412,3029010244,3074313112,3099074853,3127433315
 "92000" ,"Mideast",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",197116288,198536248,198878532,201459772,204304368,204490192,207501980,210092180,212980276,218113356,220180488,220544028,223227168,228631016,246414884,239502988,246383276,252866744,255011672,257025440,259216936,261170936,265461236,265355708,273061216,276167664,276820536,280527688,284388428,287522432,285409308,287723096,296429872,301032672,306698852,306447660,318421064,316494252,319082116,324580976,330281984,382493276,353926636,351984188,370220500,393364072,393493564,395916272,412497484,413689716,418351116,419240812,422630628,423481492,420010344,422614676,419050672,420321424,420495096,421332044,423706824,425707812,428358532,427836048,430733960,438532680,444236392,447187148,455386488,462024004,465046384,466174496,471878104,475803968,483315572,490417104,495829084,501660040,510370136,514175156,521568775,527014116
 "92000" ,"Mideast",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",67297972,67526028,67877728,67888276,68690784,68971620,69289392,69679448,71323704,73349428,73309584,73466000,75986500,76298036,77209276,77247116,79446808,79838280,80194940,80599176,81593172,82237020,82425352,82883056,84613960,85342592,85532632,86274660,88468324,89380716,89534536,90016504,93017736,93837632,94200844,94581512,97482016,98490640,98951908,99338652,101608068,102441456,103425800,104234108,110215184,111945740,112818004,113900832,114180892,115544264,116037552,116704180,117219640,118456440,119031532,119926588,124604608,125581812,126472672,127341384,130017672,130800192,131845212,132771408,134995300,136249936,136782940,137723064,140285368,141340236,141956592,142866196,143401548,144354908,145021540,145841008,147212456,148091556,149032380,149820352,153873874,155193981
 "92000" ,"Mideast",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",41047796,40848400,40845152,41038656,41458192,41796576,42093840,42349280,42861364,43337376,44124620,45231876,46731068,47850612,48770616,49485288,50177820,50679596,51106488,51454908,51809392,52226516,52811828,53564836,54573912,55631104,56943604,58209532,59731812,60887168,61853156,62605012,69752296,70508344,71572984,72957768,74564804,76194464,77733228,79168500,80417168,81737056,83076712,84436764,85705032,86871944,87829144,88577996,89207040,89828172,90558824,91399372,92319320,93166828,93933128,94620616,95265872,95990236,96835156,97801888,98840876,98375876,99329284,100229800,101119736,102142584,103344152,104728592,106251824,107613488,108765336,109705976,110478540,111381544,112462644,113722360,115125740,116437276,117618456,118667884,119854987,121671156
 "92000" ,"Mideast",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",43847168,44714084,44458808,46572256,48125076,47709276,49725256,50899564,50566752,52523868,53940524,53491212,52906976,56274496,53761896,60435324,60639492,60849808,62817360,65191240,66086112,65903456,68892568,67142884,71204508,72592712,71261188,73065292,74138996,76516828,72740120,74422416,71944676,74449780,77916148,75319692,81454760,76017408,75519016,77470756,79302432,79666192,80835768,80741544,83555048,85587000,88130152,86569684,87655800,89365652,92996284,94351924,96974184,96873560,92796828,94461996,93120640,93861384,93186504,93444348,93477436,96425504,98330116,96645876,98789808,102957272,106851468,108289364,109849516,113681584,114480672,112981440,116701668,118152452,123457516,129091308,131864428,136297380,142638296,143815728,146016355,148048477
 "92000" ,"Mideast",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",4493540,4419712,4489768,4526108,4576400,4529264,4402488,4377984,4645916,4547656,4594424,4789328,5527748,6059924,7163124,8957024,8983928,13393540,12345340,11086144,10834872,11493992,11278288,10695756,8672048,7403152,7261152,6993200,6949224,6647128,6764256,6837580,6600728,6383288,6607184,6539048,6824028,6741160,6915612,7089956,7497840,7694988,11903668,14778184,20193300,25346612,27322740,28712776,31441924,27445732,26304664,24364536,23524880,22248276,21503856,21316176,20645120,19738856,18836380,17660768,15968384,14860616,13653972,13343116,8566592,8006004,7608032,7475580,7514832,7205016,7082136,6888748,6987232,6998236,6957004,6734592,6435080,6287364,6456088,6608136,6497733,5948289
 "92000" ,"Mideast",2,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",40429812,41028024,41207076,41434476,41453916,41483456,41991004,42785904,43582540,44355028,44211336,43565612,42074876,42147948,59509972,43378236,47135228,48105520,48547544,48693972,48893388,49309952,50053200,51069176,53996788,55198104,55821960,55985004,55100072,54090592,54517240,53841584,55114436,55853628,56401692,57049640,58095456,59050580,59962352,61513112,61456476,110953584,74684688,67793588,70551936,83612776,77393524,78154984,90011828,91505896,92453792,92420800,92592604,92736388,92745000,92289300,85414432,85149136,85164384,85083656,85402456,85245624,85199948,84845848,87262524,89176884,89649800,88970548,91484948,92183680,92761648,93732136,94309116,94916828,95416868,95027836,95191380,94546464,94624916,95263056,95325826,96152213
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
