GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "26000" ,"Michigan",3,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",264995750,267830898,268685054,274736754,276426087,280245155,283622367,291209335,298805512,301669456,303690516,302481388,308750116,306814336,305115592,305759028,302030792,307427852,307238264,308844564,310718968,311408184,313679540,319512616,317423832,320778360,324217032,327708072,326253332,329229020,329014188,332405792,334929812,337390816,338421052,339081420,345917560,347210388,348020356,347175748,351329672,362089628,352673900,350163480,332205288,338054500,335780420,338133672,338548504,347438732,352893172,355812744,365767444,367333660,371562264,376056804,380565160,382736532,382931892,395399492,385205092,388737312,390712804,392623044,398771492,405507136,410707244,415609080,422621988,428835260,434576764,438594964,439055660,442116888,445456396,451498796,456823312,458005628,461073720,465177228,471453317,476341044
 "26000" ,"Michigan",3,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",35030884,34815308,35455228,35685044,36974360,37495344,38176760,38439708,38297524,38842556,39240628,39792144,42645188,43555052,43092420,44606980,44323344,45252068,45275152,45400580,46277956,47017432,47780584,48126844,48973028,49140500,49377828,49776412,51371888,52564312,52940468,52919004,55013140,55307148,56448084,57203468,59789632,60703216,61688128,62785872,64076484,76408400,69442108,68921192,73526440,78846516,78502268,78810732,82559812,82613340,82668764,82897536,82676492,82787800,82263320,82438448,81756884,82036776,82106752,82614340,82887704,83195488,83560652,83888512,85026292,86347176,87547068,88164668,90104208,91681364,92428284,93140692,93290288,94159676,94486508,94653772,95354332,94433264,94659620,94270496,95954319,96659509
 "26000" ,"Michigan",3,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",14620620,14679028,14771168,14786864,14997004,15068540,15135168,15205112,15567216,16026016,16000928,16034764,16661448,16742248,16965396,16972480,17517116,17611964,17701392,17806000,18067808,18243876,18297448,18419624,18866668,19060728,19105612,19297252,19865184,20118656,20181172,20350960,21208568,21469936,21588592,21693000,22471412,22733356,22851636,22955504,23597944,23813060,24051104,24222080,25781588,26211328,26445040,26772088,26897360,27325304,27511448,27734752,27885420,28232124,28392096,28623300,29809576,30042120,30254828,30463980,31135136,31314296,31554648,31763600,32286700,32564328,32674712,32882232,33470456,33706784,33840844,34043728,34158872,34371656,34516916,34697320,35005404,35201800,35415384,35596172,36559258,36872905
 "26000" ,"Michigan",3,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",7764884,7724408,7714476,7735072,7766708,7815552,7859848,7899696,7922060,8038856,8239652,8528216,8895392,9209324,9449644,9612000,9708696,9819340,9939216,10068820,10195156,10365112,10576188,10828816,11163224,11452756,11778744,12069328,12423092,12645236,12812680,12918932,14460532,14549704,14719016,14971856,15298592,15626216,15949548,16267076,16568764,16880448,17196840,17518028,17854800,18112744,18287536,18377876,18464728,18527280,18642764,18812244,19050552,19273288,19484064,19683700,19842568,20089224,20391016,20749580,21098868,21062236,21361168,21602492,21789544,22005204,22266916,22575756,22919764,23231952,23499912,23723796,23914144,24126504,24371672,24649196,24948832,25237868,25506592,25755316,26012961,26407137
 "26000" ,"Michigan",3,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",5444716,5169148,5087004,5619956,6514836,6896860,7345920,7345224,6775760,6642816,6593380,6491988,7881504,8184620,7705632,8171212,7436556,7193768,7231460,7449984,7732432,7849224,8237884,7819288,8259516,8296344,8011256,7851712,8172152,8779680,8520456,8464168,8206756,8068344,8616476,8474816,9394504,9189908,9321656,9634172,9942016,9979708,10218484,10388728,10552376,10778396,10800740,10545000,10943668,11362376,12225276,12339812,12640144,12551748,11917900,12216204,12322896,12430108,12391120,12466120,12172540,12578092,12657536,12643796,13340308,13701972,14423816,14786616,15680624,16627972,16801576,16775056,16999164,17395972,17233748,17224668,16819812,16022600,15942180,14862104,15096122,15094064
 "26000" ,"Michigan",3,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",865432,773972,1314176,828288,924988,836368,817088,833372,874128,782724,900920,1031260,1353124,1471488,1592812,1931256,1715580,2756512,2582036,2244684,2267528,2454956,2504044,2872148,2321164,1861168,1850504,1743828,1739288,1709588,1827064,1832996,1836120,1839220,1925600,2018936,1796704,1757608,1821196,1878224,1965716,2034292,3119116,3644404,5409216,6650340,7112428,7009008,7297760,6017508,4898912,4590008,4188520,3854024,3542600,3285832,2981720,2808964,2491096,2486296,2325144,2075896,1801416,1724044,1184880,1075824,1003044,959424,936396,893668,881212,872620,883004,858844,875896,886412,928840,761212,700536,819336,842131,772996
 "26000" ,"Michigan",3,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",6335232,6468752,6568404,6714864,6770824,6878024,7018736,7156304,7158360,7352144,7505748,7705916,7853720,7947372,7378936,7920032,7945396,7870484,7821048,7831092,8015032,8104264,8165020,8186968,8362456,8469504,8631712,8814292,9172172,9311152,9599096,9351948,9301164,9379944,9598400,10044860,10828420,11396128,11744092,12050896,12002044,23700892,14856564,13147952,13928460,17093708,15856524,16106760,18956296,19380872,19390364,19420720,18911856,18876616,18926660,18629412,16800124,16666360,16578692,16448364,16156016,16164968,16185884,16154580,16424860,16999848,17178580,16960640,17096968,17220988,17404740,17725492,17335104,17406700,17488276,17196176,17651444,17209784,17094928,17237568,17443847,17512407
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
