GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "27000" ,"Minnesota",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",137058412,138982692,140573156,142820444,143965513,145633197,147072785,151095189,155044609,157896081,160834277,162702357,165585552,166034048,164830936,166412312,167674148,169033540,170378232,172512572,174370340,177028620,179618956,180421724,184601364,186555812,188348516,194035480,190262908,192173360,195690208,197236032,201116228,203683572,204494340,207197048,212290940,216536772,216729852,219400812,224094860,227755796,226928220,222323648,215147120,215654728,214716820,217631212,218539580,223227752,227418320,233190732,237942464,240980980,242925284,243890820,251686432,255126508,255207488,263307568,255121644,257099464,259972172,261085884,265240904,270623532,275498916,277803356,281512120,283221012,286250648,287976684,286728396,288841480,293405900,296470684,300432664,301956316,302961192,307214912,309003018,312582044
 "27000" ,"Minnesota",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",15022496,15138692,15214576,15447668,15791840,15828200,16062824,16267312,16530124,17008064,17321560,17653320,18497264,19220108,18985436,20186080,20404824,20871540,20990640,21211788,21517336,21827180,22083420,22105960,22884068,22861492,23043308,23245008,23570480,24152304,24242840,24482468,25689184,26215684,26820832,27487976,28636924,28783808,29228232,29663932,30393572,36077372,33102444,32266128,34623380,36602084,36626256,36880196,38392624,38809816,39277280,39627680,39559856,39163432,39262764,39374292,38908500,39522708,39325628,39666948,40414820,40164272,40842176,41646840,41947760,42627064,43458440,43312304,44379096,44182360,44249324,44590656,45058016,45945312,46135192,46531804,46803392,46808808,47807836,48101364,48944447,49373445
 "27000" ,"Minnesota",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6049376,6076148,6118744,6128172,6222276,6256976,6288700,6321100,6486124,6693508,6680984,6694488,6975360,7009828,7109372,7110796,7353384,7397552,7442272,7496920,7623348,7709952,7738612,7795076,7995732,8079676,8095176,8174832,8423684,8530200,8553088,8625388,9003368,9119416,9175460,9227980,9577772,9700956,9760012,9811492,10099864,10193840,10292376,10355708,11033540,11207192,11296488,11429344,11493304,11680124,11761348,11862600,11941548,12105904,12180320,12285680,12841112,12953264,13058000,13163508,13512272,13609952,13739888,13853880,14144008,14300012,14363376,14478336,14800136,14934720,15018980,15146496,15232304,15370420,15470852,15589848,15778816,15901420,16028808,16133328,16569830,16711984
 "27000" ,"Minnesota",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",2756036,2740864,2743324,2763504,2790180,2826336,2859504,2889688,2921864,2973380,3051084,3155344,3291076,3401440,3496132,3575016,3653484,3715972,3769112,3812252,3857136,3916104,3999460,4107800,4234256,4363980,4504600,4620732,4736892,4847844,4972716,5111244,5962360,6102824,6229036,6339112,6418276,6515780,6624420,6744496,6873980,6994932,7110300,7219604,7325596,7413604,7497748,7578836,7655836,7735992,7818360,7902732,7985908,8064080,8134432,8197192,8257896,8320252,8388684,8463072,8549764,8490004,8577396,8669056,8766960,8879188,9004660,9143604,9291360,9428652,9550984,9658456,9755688,9861416,9980408,10112564,10254200,10386612,10505944,10612056,10718214,10880628
 "27000" ,"Minnesota",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",2843416,2917544,2894816,3017092,3095684,3044468,3174764,3264776,3268272,3432648,3570448,3597020,3814824,4152536,3875984,4531596,4442024,4429324,4583792,4775136,4861976,4913780,5054284,5028904,5654144,5571704,5609276,5554816,5276356,5571376,5355944,5441228,5454452,5683784,5970028,6269968,6583568,6226400,6279220,6314372,6484040,6451568,6887280,6544112,7330248,7253428,7438464,7184376,7325184,7550240,7885320,8206528,8511504,8187356,8456912,8610872,8292680,8939804,8726200,8873800,9159896,8906432,9454028,10103344,9786812,10259240,10950324,11094916,10974792,10643976,10348316,10289488,10469104,11151400,10951856,11025240,11206740,10973276,11624104,11648272,12086490,12123299
 "27000" ,"Minnesota",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",350896,322880,328660,339176,379080,347156,334200,345740,392304,366892,383072,424144,478296,587560,725284,825000,798072,1203240,1090560,1012936,950676,1040628,1059784,1001536,829128,689320,656076,628284,650604,621744,608348,647692,653544,640872,667252,660236,738964,731704,735968,722988,741956,769284,1127164,1384012,1939028,2498300,2798916,2960292,2803152,2572424,2409396,2338028,2084684,1861460,1660056,1540412,1431216,1274748,1119776,1117540,1084756,1006740,914756,905060,851524,773332,709180,697844,704024,691788,735824,746892,773924,763672,781648,777716,789348,751648,739688,646688,645957,595559
 "27000" ,"Minnesota",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",3022772,3081256,3129032,3199724,3304620,3353264,3405656,3446008,3461560,3541636,3635972,3782324,3937708,4068744,3778664,4143672,4157860,4125452,4104904,4114544,4224200,4246716,4231280,4172644,4170808,4156812,4178180,4266344,4482944,4581140,4752744,4656916,4615460,4668788,4779056,4990680,5318344,5608968,5828612,6070584,6193732,11667748,7685324,6762692,6994968,8229560,7594640,7727348,9115148,9271036,9402856,9317792,9036212,8944632,8831044,8740136,8085596,8034640,8032968,8049028,8108132,8151144,8156108,8115500,8398456,8415292,8430900,7897604,8608784,8483224,8595220,8749324,8826996,8798404,8950428,9026436,8774288,8795852,8909292,9061020,8923956,9061975
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
