GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "30000" ,"Montana",7,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",18961726,19115822,19389058,19609138,19526058,19555334,19491634,20131610,20412781,20843205,21042337,21552909,21667900,21840708,21876852,22062608,22102196,22328136,22597720,22934996,23481328,23940968,24243264,24662992,25451288,25892212,26024884,26611732,27259372,27666792,28088024,28808140,29659624,30116864,30557500,30956860,31995848,32588560,32845384,33249656,34003996,35025792,34510744,34134992,33755876,33738484,33680804,33744092,34801600,35341972,35753624,36335684,37441248,37756680,38220560,38789092,39961868,40212064,40169892,41427296,40323376,40642060,40773364,40925332,41690588,42607484,43062064,43543152,44360228,44815648,45271880,45011108,45213420,45439708,45774556,46561216,47126720,47497948,47680188,48403724,49297940,49907179
 "30000" ,"Montana",7,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",3046692,3068144,3052320,3041460,3018068,2995876,3025584,3083124,3210284,3355008,3457336,3535216,3599444,3691264,3616524,3775216,3787640,3813232,3800616,3830556,3944512,3946472,4001244,4030676,4144444,4237836,4274420,4316364,4442932,4532884,4573348,4617264,4831852,4893836,4956204,4984112,5157856,5193304,5272908,5363648,5505588,6608148,5907252,5840180,6159836,6594084,6518308,6588044,6935180,7047896,7089652,7163548,7044832,6993936,6962112,6958976,7061796,7197752,7206680,7279928,7316924,7353672,7392092,7416272,7534544,7696076,7778552,7813172,7948896,8054128,8129596,8224384,8433776,8649592,8821904,9010072,9134232,9216824,9391520,9602788,9859344,9967542
 "30000" ,"Montana",7,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1266080,1271472,1280044,1281904,1302056,1308232,1313224,1317744,1349948,1387380,1383188,1384348,1437116,1443304,1462540,1463872,1513112,1523000,1532476,1543340,1567656,1584224,1588844,1598584,1636340,1652424,1655640,1672916,1725868,1749284,1754772,1769648,1845976,1869616,1881292,1892704,1965212,1991688,2004700,2015996,2075892,2095740,2116560,2130152,2269076,2304932,2323408,2350620,2363716,2400984,2416444,2435484,2450740,2482188,2495800,2515896,2628560,2650444,2670808,2691316,2764552,2783820,2809636,2831972,2894336,2926744,2939384,2963428,3032388,3062464,3083264,3115052,3139572,3175172,3202376,3233380,3279500,3309952,3340276,3364392,3455419,3485063
 "30000" ,"Montana",7,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",528324,525968,527064,531620,534916,542184,548616,554232,561712,571972,588272,610896,640684,662412,676420,682192,682500,684316,689748,699028,715480,731144,748712,768108,788904,810408,834384,854752,872780,892060,912320,933380,1078452,1100704,1124056,1148436,1172120,1195700,1218052,1238976,1258268,1276560,1294448,1311908,1330396,1345864,1361132,1376380,1393988,1409596,1425500,1441648,1457932,1473800,1488180,1501124,1512696,1526368,1541536,1558184,1577320,1565772,1585024,1604844,1625488,1649348,1675680,1704500,1734800,1763184,1788736,1811524,1832564,1855956,1882764,1913004,1945948,1976348,2003356,2026916,2047192,2078214
 "30000" ,"Montana",7,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",435084,445252,419704,394216,338956,300836,311796,350716,416384,491680,549084,568972,508620,539820,508372,565256,545828,531684,534872,539220,559056,507860,529656,535940,601768,674392,682152,673124,695292,724328,704536,720300,701656,711480,729984,704020,757148,709356,721292,741940,786340,790608,792360,804880,840348,875592,902292,900816,967432,991912,1034916,1084872,961244,901200,868500,820008,927536,1030600,1019016,1051260,1014380,1039708,1050032,1050368,1055108,1102696,1142004,1134928,1130672,1151648,1168792,1184788,1290844,1428240,1542528,1693260,1690924,1733532,1850052,1988828,2088009,2144817
 "30000" ,"Montana",7,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",60696,60120,57172,61420,63376,64672,64128,60916,63152,60504,68136,68880,72532,75048,76164,84732,75816,114548,86736,82452,91968,95256,99268,98932,86324,71192,68656,63188,59956,60016,61964,65228,64180,61772,60836,60944,57272,62408,71420,74832,78888,83568,120092,159504,226776,303104,315532,327892,329724,345056,276320,276196,269088,229736,203508,203576,213112,204652,180540,181420,172236,160216,146076,144856,115900,106900,103088,103428,106148,109496,116388,120784,124424,123128,118064,110792,106752,104196,101508,104100,106582,96456
 "30000" ,"Montana",7,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",756508,765332,768336,772300,778764,779952,787820,799516,819088,843472,868656,902120,940492,970680,893028,979164,970384,959684,956784,966516,1010352,1027988,1034764,1029112,1031108,1029420,1033588,1052384,1089036,1107196,1139756,1128708,1141588,1150264,1160036,1178008,1206104,1234152,1257444,1291904,1306200,2361672,1583792,1433736,1493240,1764592,1615944,1632336,1880320,1900348,1936472,1925348,1905828,1907012,1906124,1918372,1779892,1785688,1794780,1797748,1788436,1804156,1801324,1784232,1843712,1910388,1918396,1906888,1944888,1967336,1972416,1992236,2046372,2067096,2076172,2059636,2111108,2092796,2096328,2118552,2162142,2162992
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
