GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "37000" ,"North Carolina",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",192992364,196146376,199961020,203538876,204818993,206295321,209437721,212673129,216570363,221049587,224145847,225706763,227597004,229383384,227382336,229363892,229432652,231999952,232399496,233390832,236332028,238265424,242519808,247540768,253107864,258918336,264195780,269891596,275635860,279038580,282269784,287346808,300210468,302967416,306434524,311734004,325611328,328228268,329120804,332679924,345876932,355882140,349608480,350123044,329312956,338193572,340762088,342879508,336602548,340700368,341505324,344248948,350883360,353245124,355273244,357775760,373246304,378310372,378518216,386049856,373003656,373453268,375120972,378650108,387890728,394401836,400864348,406485940,412840892,418650352,423639884,424424508,428727584,430804816,434504768,441028304,448263508,451815896,455759572,461388640,467573393,472334462
 "37000" ,"North Carolina",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",26184040,26304052,26395944,26814980,27554488,27790836,28276044,28625768,29061284,29904544,30328608,30810504,32487308,33507448,32974176,35046012,35720740,36136016,36344764,36852648,37312024,37869100,38691516,38681568,40141064,40916948,41327052,42083436,43680228,44678556,44914492,45248544,47587304,48035220,49358632,49653288,51733392,51952148,52468300,53220256,54277012,66184472,58668932,58670256,62860612,67642848,67790148,67698876,70219892,70497044,70878152,70981628,71731732,72292932,72481080,73005328,72390884,74174424,74479416,74863028,75958624,75059820,74965988,75575300,75935636,78429600,79031700,80295368,81929148,82814468,83345988,83290836,85100780,85746876,85506348,86064588,87493740,88421216,89719956,90093640,91811545,92299207
 "37000" ,"North Carolina",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",10385224,10448788,10552168,10588228,10830716,10914984,10981468,11037716,11374044,11790460,11736236,11737140,12320848,12374640,12576368,12581176,13131448,13240068,13349616,13480500,13751136,13951520,14019924,14146308,14567460,14760800,14813228,15018776,15612960,15871644,15928436,16076344,16871436,17095884,17194416,17289132,18040748,18297812,18426024,18546756,19198352,19406932,19613252,19732036,21125148,21478520,21672316,21977732,22144988,22569524,22760404,22980656,23146632,23477816,23617940,23817576,24948808,25159052,25358128,25563008,26284880,26479724,26743276,26977372,27572900,27896488,28031620,28272560,28936300,29218020,29397024,29664380,29846568,30131188,30334216,30570460,30944700,31186144,31440192,31650508,32506841,32785721
 "37000" ,"North Carolina",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",5132120,5103768,5111776,5156328,5227460,5295152,5348080,5385816,5423612,5505592,5647012,5849136,6127128,6349656,6528108,6661272,6759396,6882340,7026184,7192388,7378228,7588612,7817424,8063040,8316036,8562596,8828092,9038932,9261304,9444632,9646424,9865640,11552240,11791184,12037900,12291236,12549848,12789600,13013292,13218300,13405460,13621204,13872748,14163004,14504576,14779476,15000228,15166104,15308612,15449760,15617904,15813332,16018860,16222372,16395320,16537800,16645732,16803564,17009812,17265716,17555928,17487908,17735408,17956544,18157116,18382260,18641304,18934848,19252472,19544380,19800380,20020788,20216148,20431876,20678748,20956504,21256800,21540732,21799912,22034296,22254718,22591945
 "37000" ,"North Carolina",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",4687484,4664284,4533032,4690600,4852756,4801412,5040812,5210216,5250452,5546964,5766956,5793792,6276328,6694124,6257248,7006332,6872392,6714712,6809200,6966988,7022496,6798552,7292756,7152512,7817652,8289568,8260416,8417292,8711028,9013240,8733896,8837124,8432384,8552960,9196340,8989796,9857212,9415468,9458972,9679076,9786092,10004880,9874680,10172276,10612288,11103532,11493696,10825852,10479092,10264160,10092608,9983940,10413884,10594548,10512160,10909448,10902692,12559748,12511280,12485112,12683204,11737708,12257624,12700556,11461080,12742292,12902232,12968832,12875988,12799144,13081884,12729528,12683728,12694072,12126848,12267664,12781784,13096864,13783544,13526296,13518206,13471612
 "37000" ,"North Carolina",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",406020,397700,392128,396992,403292,408084,427168,458956,462664,436216,472544,574280,670324,792324,954480,1318100,1262316,1608008,1482444,1510312,1242680,1507644,1469144,1208404,1182876,912324,822072,724000,749552,778384,656780,634064,725056,530008,808224,836388,715556,705896,731324,765468,838656,916300,1591116,2175896,3287048,4156720,4606420,4610056,4597448,4309552,4487848,4390152,4251424,4045636,3884860,3604008,3127436,2753336,2538804,2379048,2177348,2007336,869784,701804,585344,489848,409012,347856,321744,299384,285556,268640,259284,244700,243008,243920,243524,210856,188644,198744,207753,188872
 "37000" ,"North Carolina",5,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",5573192,5689512,5806840,5982832,6240264,6371204,6478516,6533064,6550512,6625312,6705860,6856156,7092680,7296704,6657972,7479132,7695188,7690888,7677320,7702460,7917484,8022772,8092268,8111304,8257040,8391660,8603244,8884436,9345384,9570656,9948956,9835372,10006188,10065184,10121752,10246736,10570028,10743372,10838688,11010656,11048452,22235156,13717136,12427044,13331552,16124600,15017488,15119132,17689752,17904048,17919388,17813548,17900932,17952560,18070800,18136496,16766216,16898724,17061392,17170144,17257264,17347144,17359896,17239024,18159196,18918712,19047532,19771272,20542644,20953540,20781144,20607500,22095052,22245040,22123528,22026040,22266932,22386620,22507664,22683796,23324027,23261057
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
