GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "31000" ,"Nebraska",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",43824865,44825997,45562693,46056137,45958901,46684765,47256525,48764837,48992198,49707478,50360914,50532778,51581608,52126688,51949820,52579936,52091976,52632440,53225944,53996840,55460368,56130188,56498260,56943812,57694164,58358684,58697340,59737860,59550884,60466656,60950140,61851352,62590552,63709928,63401900,64597464,66862904,68139928,68909380,70324756,71661696,74024820,72690788,71210228,70876872,70942528,70956176,72023104,72726532,74609732,75395572,76417196,82288992,83019240,83847672,84738980,85308204,86368564,85070720,87723812,86771804,86852308,86899468,86207240,89350932,91942448,92195944,93888916,94080556,95407376,96525276,95804660,94520660,94724632,94606668,95071180,96319072,97544032,97707924,98655160,98476333,99429300
 "31000" ,"Nebraska",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",5383112,5479940,5541704,5639092,5760416,5787684,5857240,5900276,5948988,6082652,6162108,6246880,6565512,6733280,6634092,6947560,7053312,7129068,7162136,7239452,7392460,7419144,7483296,7519984,7692536,7798140,7831592,7916436,8161884,8230548,8299940,8379828,8716968,8912628,9066912,9036168,9312624,9349740,9426148,9595056,9782876,11751276,10512900,10279892,10676552,11278332,11089200,11168584,11704772,11787344,11981372,12000048,12054292,12056644,12081148,12177908,12064360,12194880,12182484,12293500,12374112,12314372,12353696,12293320,12522828,12796392,12939280,13041092,13281672,13447768,13528120,13576320,13852480,13985868,14051404,14117432,14336200,14448312,14621820,14792316,15057719,15116824
 "31000" ,"Nebraska",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",2358764,2366932,2379704,2381220,2411336,2420360,2428688,2437492,2488704,2550880,2547844,2553568,2640704,2652828,2683560,2684136,2759208,2770932,2781764,2794544,2826380,2848688,2854996,2871028,2930572,2958700,2969664,3002612,3086840,3124944,3132756,3149020,3249420,3275440,3287300,3301620,3406232,3441592,3456072,3465796,3539368,3563692,3595572,3624228,3827204,3887156,3916904,3951632,3958964,4000816,4014328,4033700,4049684,4088788,4106372,4134916,4293160,4325040,4353532,4380768,4472972,4498316,4533460,4565036,4646852,4693060,4713340,4749112,4845088,4886832,4913648,4952448,4978764,5020320,5051180,5087556,5144304,5181376,5219280,5250028,5392072,5438332
 "31000" ,"Nebraska",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",1041052,1035248,1037320,1047316,1063360,1080328,1096436,1111668,1133460,1155192,1185400,1224052,1270508,1309508,1343228,1371724,1401204,1423228,1441624,1456164,1474560,1495124,1525288,1565332,1612096,1658220,1705956,1742544,1774124,1809944,1855676,1911592,2220320,2278876,2327040,2363824,2380816,2405300,2432388,2462072,2488496,2522744,2562460,2608004,2658872,2697248,2728500,2752568,2764552,2782348,2801812,2822936,2844808,2864312,2881336,2895936,2917140,2930484,2944940,2960456,2979828,2959444,2984092,3012136,3041188,3078724,3120084,3165328,3212980,3257436,3297260,3332444,3364396,3398892,3437420,3479920,3525236,3567364,3605060,3638256,3674652,3730334
 "31000" ,"Nebraska",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",873140,942228,962348,1012936,1031868,1003912,1031916,1042696,1025856,1062328,1090516,1088772,1212032,1279112,1214464,1338708,1305024,1294476,1322300,1364096,1423596,1384576,1404124,1391984,1463580,1491304,1447784,1430612,1490220,1454344,1407872,1441528,1368044,1465720,1560692,1471268,1605724,1552784,1539168,1582204,1582804,1581864,1592084,1567068,1639892,1659992,1653696,1599444,1591148,1594632,1656440,1644792,1693220,1664044,1691744,1745424,1734348,1855956,1826524,1900744,1841408,1806264,1799472,1703888,1755516,1857348,1912256,1923500,1915656,1948468,1954560,1935284,1954764,2015388,2023704,2019812,2090628,2114580,2195288,2273404,2303817,2254951
 "31000" ,"Nebraska",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",42204,43404,45420,43444,46724,49180,46108,46800,47008,47016,52576,57680,69100,74976,86420,100836,108228,164756,145144,150384,160196,168376,168300,161516,136288,126164,125332,121640,117292,115092,113608,104764,90572,92712,88888,89580,91732,90736,94576,94244,98932,100464,154868,171148,204364,289392,305752,335688,386028,334640,331976,333232,314776,298236,282000,287928,262784,234192,199116,181300,188332,139316,127200,126184,107356,104888,98220,93132,88700,88660,89844,86552,81564,77328,76720,78668,82808,78836,75692,74472,78061,74268
 "31000" ,"Nebraska",4,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",1067952,1092128,1116912,1154176,1207128,1233904,1254092,1261620,1253960,1267236,1285772,1322808,1373168,1416856,1306420,1452156,1479648,1475676,1471304,1474264,1507728,1522380,1530588,1530124,1550000,1563752,1582856,1619028,1693408,1726224,1790028,1772924,1788612,1799880,1802992,1809876,1828120,1859328,1903944,1990740,2073276,3982512,2607916,2309444,2346220,2744544,2484348,2529252,3004080,3074908,3176816,3165388,3151804,3141264,3119696,3113704,2856928,2849208,2858372,2870232,2891572,2911032,2909472,2886076,2971916,3062372,3095380,3110020,3219248,3266372,3272808,3269592,3472992,3473940,3462380,3451476,3493224,3506156,3526500,3556156,3609117,3618939
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
