GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "33000" ,"New Hampshire",1,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",35468989,36283973,37112093,37719709,38045937,38577449,39313949,40413701,43100725,43530717,44371869,45290557,46444652,46304828,46190560,46564688,46711828,47313436,47138212,47458992,47331460,47615036,48284080,49258596,49610680,50713344,51653152,52164288,51840976,52625484,53154604,54057348,55566584,56083600,56713060,58490156,58268288,59316640,58894224,59138436,60130652,61183808,60239128,60028724,58643792,59423728,59989256,60332564,60626988,62356632,62945476,63296044,64342540,65442632,65834844,66153120,67524444,68123044,68119072,70463700,67473748,67982616,68229344,68782060,68864476,70272776,70694476,72194144,71636640,73262392,73770176,75050796,75250584,75988536,76787044,76963628,79263704,79421376,80901496,80901532,82711547,83270271
 "33000" ,"New Hampshire",1,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",3856896,3881208,3879844,3902148,3924184,3919464,3966872,4022088,4100148,4243352,4321548,4379660,4497440,4618664,4634412,4863428,4978152,5083964,5090112,5116556,5133736,5114416,5230616,5303336,5558052,5694252,5684552,5791944,5880972,5946760,5962932,5917292,6203252,6287496,6381076,6443360,6745916,6767784,6881224,7082620,7304016,8758708,7939920,7808004,8214220,8711900,8658016,8713788,9090340,9115992,9170332,9167852,9067740,9086080,9098268,9042632,9106712,9208628,9245924,9301332,9300076,9352228,9423888,9511876,9740332,9965576,10116196,10219424,10463380,10720160,10828864,10992344,11125592,11357332,11549260,11620636,11800800,11815672,11835676,11922212,12044456,12197902
 "33000" ,"New Hampshire",1,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1652604,1661336,1675292,1678776,1710348,1722508,1734376,1747120,1802212,1869596,1864564,1865576,1952944,1959108,1987080,1984168,2063524,2076752,2091388,2110584,2150828,2182552,2196184,2219892,2288812,2322548,2333648,2365888,2453848,2490336,2494900,2511092,2617464,2644896,2658136,2674548,2789712,2831456,2854456,2875492,2972600,3000720,3024120,3030772,3215080,3253384,3272776,3311620,3341928,3403700,3432844,3467240,3494216,3547632,3572784,3607140,3776492,3813748,3848604,3883684,3997820,4029908,4071868,4108192,4202428,4251416,4270068,4304856,4405704,4447564,4474596,4516940,4547328,4594424,4629260,4669936,4733056,4774268,4816512,4850824,4982067,5024809
 "33000" ,"New Hampshire",1,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",752320,743580,735188,727080,716664,715556,721632,735184,756572,782156,811700,845092,878872,908448,931200,946912,952472,967132,986320,1010348,1043492,1071176,1098456,1124904,1154256,1179376,1208828,1234104,1267548,1289432,1309544,1327444,1521284,1540776,1567112,1600568,1642028,1682616,1722524,1761528,1799592,1836280,1870692,1902624,1933340,1961296,1986516,2009236,2035360,2057428,2080880,2105652,2132884,2159256,2184460,2208644,2229944,2257520,2288464,2322804,2358004,2343036,2378264,2412544,2445388,2482976,2524792,2570864,2619556,2664376,2703816,2737908,2768280,2801440,2839040,2880992,2926036,2968724,3007804,3043264,3073707,3120284
 "33000" ,"New Hampshire",1,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",760152,769276,750280,764884,762508,735660,758236,778296,785520,828656,864012,868612,839504,900712,874144,1007156,1036600,1045080,1057984,1048304,972196,897344,961852,987512,1181940,1264708,1219208,1264336,1189472,1185380,1147812,1083660,1058884,1086896,1132280,1131656,1258368,1168728,1174152,1232844,1225760,1246256,1251148,1250292,1325340,1354208,1370080,1353000,1341372,1319152,1323940,1281992,1242960,1204208,1191948,1076960,1139892,1197284,1195128,1219340,1179812,1240196,1257676,1284988,1341136,1381276,1450516,1517708,1582364,1722184,1740640,1776708,1882352,1996712,2090640,2110784,2132672,2117376,2079112,2084256,2021998,2081091
 "33000" ,"New Hampshire",1,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",30532,31764,34648,33660,28636,32828,30108,30628,34064,24532,26748,20928,28460,39312,76592,110912,112460,188980,153844,147732,155148,146300,154588,152276,107192,97952,89620,84640,88484,86056,78860,77836,83388,84216,87820,90520,99240,96384,97420,101452,113504,118488,154284,203360,282624,388140,449284,440804,435660,378996,312680,299536,247280,220652,201532,196640,195020,187092,175172,163724,150584,138916,131276,130856,112404,106976,100028,96168,94632,88940,84516,80120,76568,77872,76892,71844,71304,73468,67988,66500,64764,63197
 "33000" ,"New Hampshire",1,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",661288,675252,684436,697748,706028,712912,722520,730860,721780,738412,754524,779452,797660,811084,765396,814280,813096,806020,800576,799588,812072,817044,819536,818752,825852,829668,833248,842976,881620,895556,931816,917260,922232,930712,935728,946068,956568,988600,1032672,1111304,1192560,2556964,1639676,1420956,1457836,1754872,1579360,1599128,1936020,1956716,2019988,2013432,1950400,1954332,1947544,1953248,1765364,1752984,1738556,1711780,1613856,1600172,1584804,1575296,1638976,1742932,1770792,1729828,1761124,1797096,1825296,1880668,1851064,1886884,1913428,1887080,1937732,1881836,1864260,1877368,1901920,1908521
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
