GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "34000" ,"New Jersey",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",280444743,285501783,290158295,291855799,296074020,297819584,301877328,307621392,321499466,329578990,333699866,340451054,340095920,342662336,341019416,345394376,345501416,347638800,347050544,348800084,349512912,354249756,358182732,362065756,363846276,369921168,376197076,381563004,378645260,383569524,388916048,396639884,407873648,414826108,417006100,424208940,436521168,440861848,441229924,444806336,451719268,456868368,453552048,451214868,433004020,439776848,440705184,443801048,447032888,451390860,454154084,456712496,468502596,472195652,476526628,478428812,486942548,488871276,489265628,501547336,491409960,495302688,496580040,501930852,511291336,516614088,522759040,528594060,536013468,541540752,546358372,545706236,551918048,552667096,556709704,561923464,572579600,578557760,584454256,589202608,595335022,600357201
 "34000" ,"New Jersey",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",31605472,31623436,31612424,32018180,32584832,32777224,33213952,33581092,34116312,35034540,35636832,36258800,38029996,39079740,38787708,40893576,41380980,42685444,42993524,42548680,42824664,42849800,43032776,42805516,43335976,43333292,43705188,43444040,44751216,45512576,45638548,47136116,48845320,49301108,50176904,50426408,51647776,51699880,52010088,52861564,53972328,63517864,58863728,58557380,62079032,66181260,65936904,66860360,70780412,70141148,70956240,70995204,71519076,71448904,71258536,71588544,70557212,70625324,69898584,70210980,70503628,71000588,71047792,71373164,72482416,73548116,74360488,74998704,76279756,76886844,77394184,77376324,78946600,79935760,80468360,80990508,81085140,81335792,82247400,82951288,83684960,84118052
 "34000" ,"New Jersey",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",12386204,12431192,12500376,12501220,12656636,12715552,12787812,12880460,13224440,13628576,13624216,13647248,14108084,14154484,14319492,14326456,14742592,14816892,14880872,14949576,15127996,15233996,15260436,15336468,15644092,15771220,15805296,15939184,16337596,16500180,16524336,16602424,17128888,17267388,17326964,17392792,17917080,18100512,18184164,18253884,18665452,18818468,19000000,19150056,20252116,20577208,20744144,20951656,21005688,21267976,21367988,21500516,21600236,21836672,21946960,22114332,22983132,23161828,23323960,23481432,23971940,24113220,24304532,24475736,24881404,25112636,25213076,25388064,25858736,26052436,26163532,26325096,26415520,26580176,26690744,26827128,27061584,27210152,27373468,27512684,28257064,28499485
 "34000" ,"New Jersey",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",7307520,7274612,7307708,7407380,7533924,7656052,7733828,7765636,7852176,7930992,8125768,8443188,8922392,9231124,9472384,9642052,9773920,9830632,9848848,9826996,9806928,9759920,9742284,9753340,9855536,9949328,10120152,10323012,10574568,10818776,11043120,11244160,12519716,12739920,12998296,13295936,13578572,13888928,14163152,14397536,14565080,14770140,14996544,15245708,15530532,15755032,15932416,16062488,16165640,16263144,16380364,16517316,16651884,16816488,16990664,17175556,17372128,17557392,17733472,17899548,18037788,17915580,18064624,18214848,18382256,18563856,18779316,19029484,19306368,19552808,19759832,19927092,20062000,20219856,20408912,20629228,20874252,21104484,21312868,21499220,21714289,22043327
 "34000" ,"New Jersey",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",5496028,5455400,5300304,5476256,5643676,5577932,5838788,6024860,6047700,6358988,6618292,6663936,6945624,7300680,7024632,7720644,7790340,7775052,7921428,8082376,8139560,7936248,7922472,7363896,7224400,7065428,7290624,6867652,7912080,8651088,8451720,9744292,9311212,9247696,9542672,9302584,9453100,8899468,8675268,8873932,9278592,9458576,9588872,9564528,9558916,9672808,9785616,9399940,9844852,10011480,10637188,10795412,11153128,10979996,10802388,11026376,10632872,10791120,10070428,10215496,10216092,10858852,11209040,11402656,12872288,13303244,13788844,13844340,13945400,14025292,14171312,13713392,14334748,14752476,14873924,15168976,14736572,14818796,15205156,15222840,15071898,15006938
 "34000" ,"New Jersey",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",1116032,1054012,1028876,1061756,1077420,1110656,1068876,1066088,1125688,1108240,1108056,1103612,1245528,1334300,1612992,2014948,1990236,3245112,3383368,2745072,2641540,2676428,2657864,2632456,2218584,1920052,1825596,1774516,1787804,1693576,1739256,1726208,1684264,1620736,1738276,1746932,1853300,1818440,1838964,1895756,2023296,2040556,3281992,3918144,5571212,6757196,7059920,7862916,8833156,7303956,7258244,6824768,6624276,6279020,6003624,5854656,5611688,5282592,4986036,4869088,4490024,4315556,3703668,3607464,2291736,2210560,2146008,2161244,2132516,2001516,1913568,1804300,1858876,1920276,1922056,1848252,1813468,1709164,1852448,2105496,1948886,1760804
 "34000" ,"New Jersey",2,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",5299688,5408220,5475160,5571568,5673176,5717032,5784648,5844048,5866308,6007744,6160500,6400816,6808368,7059152,6358208,7189476,7083892,7017756,6959008,6944660,7108640,7243208,7449720,7719356,8393364,8627264,8663520,8539676,8139168,7848956,7880116,7819032,8201240,8425368,8570696,8688164,8845724,8992532,9148540,9440456,9439908,18430124,11996320,10678944,11166256,13419016,12414808,12583360,14931076,15294592,15312456,15357192,15489552,15536728,15514900,15417624,13957392,13832392,13784688,13745416,13787784,13797380,13765928,13672460,14054732,14357820,14433244,14575572,15036736,15254792,15385940,15606444,16275456,16462976,16572724,16516924,16599264,16493196,16503460,16611048,16692823,16807498
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
