GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "32000" ,"Nevada",8,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",52599927,53853707,55227531,56418383,57720267,58311727,58949871,60559995,62754758,64392410,65309494,65848582,67341004,68466736,68445368,67892328,68920808,69625028,70047656,71311660,72108708,73317892,75451924,77403208,79260436,81596448,83900276,87255548,90090284,93562208,93903084,95759556,98903644,100277388,100361364,101982320,103064816,104106308,104516716,106133760,103511404,104444844,102591560,100503956,97657268,97807804,97086056,97626380,99124348,100985604,102088088,102622920,104400400,105274652,105490748,105575848,108073240,108997820,108303808,112408204,108461668,109226380,110249404,111667780,113862808,116268236,118468968,121089868,124107220,126885488,127831148,128895940,128403916,129385844,132940244,132297360,135961076,137236632,139399020,140948992,143968356,145167169
 "32000" ,"Nevada",8,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",5299776,5345392,5363028,5397892,5508648,5561488,5615716,5644556,5783768,5986568,6057204,6176180,6519448,6725260,6684904,7226880,7463824,7645424,7680168,7815520,7983932,8182256,8346016,8363132,8599124,8842488,8919756,9142788,9451352,9561944,9646476,9649428,10152740,10275904,10419024,10549472,11076068,11202988,11372140,11604652,11934028,15038172,13273436,13200424,14284320,15481384,15571024,15724600,16766152,16844260,16861264,16834212,16988080,17057492,17041704,17116992,17045024,17174972,17152912,17407180,17546568,17559948,17635744,17559892,18449960,18921484,19250556,19455884,20405352,20729748,20920732,21279896,21709948,21853588,22029456,22221320,22626324,22780516,23003428,23304460,23671295,23841754
 "32000" ,"Nevada",8,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",2212596,2230656,2259476,2266356,2332924,2356660,2378364,2400448,2512656,2650780,2638688,2641932,2823308,2840972,2905336,2906780,3065632,3101536,3141096,3190672,3275456,3342768,3372104,3415772,3541528,3592664,3603620,3648480,3795212,3842380,3840196,3857616,4034140,4069524,4081532,4097668,4274080,4332888,4364376,4395644,4549488,4600404,4647612,4671228,4995244,5075208,5117428,5187868,5232604,5339972,5391320,5453264,5504356,5598844,5639996,5694168,5992504,6050244,6105344,6162584,6368652,6425188,6501508,6569456,6743912,6839548,6880336,6952308,7148336,7234460,7292500,7378480,7441720,7532536,7596876,7668380,7777832,7848320,7922684,7984360,8200384,8270736
 "32000" ,"Nevada",8,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",1135220,1128564,1132372,1146740,1173524,1196152,1215784,1232304,1255920,1277512,1307064,1343620,1390008,1431560,1475160,1522452,1578804,1630152,1676520,1717396,1744772,1786756,1839212,1902432,1978836,2045264,2113484,2166664,2240964,2275064,2302908,2323424,2664252,2681688,2710612,2751460,2818964,2876936,2939488,3006688,3088764,3163440,3236868,3308876,3383684,3451984,3509276,3555620,3597272,3640208,3688484,3742084,3803548,3861772,3915428,3964732,4007460,4061308,4122296,4190436,4261616,4229176,4304728,4380680,4456020,4538852,4627412,4721484,4817212,4908500,4992456,5069480,5143216,5220028,5303228,5392480,5484808,5572872,5654056,5728428,5785733,5873404
 "32000" ,"Nevada",8,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",516208,531104,523592,540244,547328,530376,548972,563036,567296,600960,626856,632196,645324,719172,667556,818080,827704,834584,880528,930684,919632,931400,1011144,960048,1010212,1158144,1147024,1230380,1214120,1203508,1160100,1175580,1148896,1169952,1230268,1208712,1324740,1232908,1227376,1268008,1287704,1327284,1351404,1358768,1433940,1414092,1421040,1401832,1421520,1478424,1554008,1545432,1587884,1579612,1567216,1633252,1706756,1876940,1862592,1986876,1849532,1858756,1856256,1765940,2238260,2480172,2676548,2874312,3008656,3173192,3179760,3340008,3394568,3387176,3412636,3469076,3600112,3605800,3634684,3734068,3821037,3811564
 "32000" ,"Nevada",8,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",177628,182760,172344,165936,165736,200472,203560,191292,190432,189136,192576,216776,231884,239280,266464,432488,418620,509044,408168,380896,372364,410232,394620,363984,317280,284584,269992,248016,237016,228632,238512,232188,222760,251228,255696,276276,307800,315552,341836,377928,446624,500404,748484,967824,1379288,1761384,1985512,2015740,2192320,2032232,1882032,1747912,1584360,1484244,1394192,1328280,1228544,1090960,957648,946232,834932,817500,741908,632564,441648,415260,392292,383608,384392,375044,382156,370408,362296,346964,333272,316524,314560,307276,316288,329728,322768,300816
 "32000" ,"Nevada",8,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",1258124,1272308,1275244,1278616,1289136,1277828,1269036,1257476,1257464,1268180,1292020,1341656,1428924,1494276,1370388,1547080,1573064,1570108,1573856,1595872,1671708,1711100,1728936,1720896,1751268,1761832,1785636,1849248,1964040,2012360,2104760,2060620,2082692,2103512,2140916,2215356,2350484,2444704,2499064,2556384,2561448,5446640,3289068,2893728,3092164,3778716,3537768,3563540,4322436,4353424,4345420,4345520,4507932,4533020,4524872,4496560,4109760,4095520,4105032,4121052,4231836,4229328,4231344,4211252,4570120,4647652,4673968,4524172,5046756,5038552,5073860,5121520,5368148,5366884,5383444,5374860,5449012,5446248,5475716,5527876,5541373,5585234
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
