GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2
 "39000" ,"Ohio",3,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",294193893,297294297,300057333,304756333,304565976,306717460,309528884,316249640,322450769,324659121,328302921,328393417,334367380,334993644,334007844,335488348,335217400,339119416,341610004,343682996,346091444,347842988,349534992,355714848,355113352,361098860,365201592,371586836,367083996,372235824,375510748,381441356,387535760,392263172,395351576,397294100,408007604,409013188,410226360,411535844,419163748,431666412,423057552,417693580,410046404,411483084,409726936,412198984,413612736,420217316,426929160,431489112,444978060,448574520,455096496,458953216,462685720,469028464,467930868,479970404,471798464,476018704,477645608,480337548,487955956,493392112,499900172,504805620,508509168,514365584,518868328,521876452,520321960,522401096,525523472,531979468,539378980,541137884,547313244,551483784,556143034,562053183
 "39000" ,"Ohio",3,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",41859996,42096916,42300420,42472560,43047544,43145432,43690076,44201196,44790784,45960636,46786084,47530860,49113464,50513052,49746568,52255192,52891972,53744956,53949248,54695580,55612008,56213584,56691628,57001976,58143944,58706468,59099108,59787788,61519504,62624932,62413808,63139048,64876692,65422496,66258808,66436992,68834440,69041464,70622624,71492052,73185196,86507748,78069560,77778060,82043880,87549884,86877652,87236868,90483520,89893860,91339420,91053284,93042360,93161020,92735540,93559968,90784968,91914668,91216248,91193276,92255376,92972908,93552332,94199044,96076744,97215648,98772788,98955704,100259140,101413848,102371012,102606224,103024688,104617220,104233284,105099996,107065240,105276896,106648124,108486948,109035135,110061041
 "39000" ,"Ohio",3,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",16539056,16592136,16675104,16684464,16878496,16941648,17003992,17073252,17418324,17848424,17830776,17866096,18440220,18518464,18728904,18741776,19247244,19336440,19415412,19502884,19719060,19865416,19908072,20016192,20423088,20600456,20651020,20833124,21355388,21577572,21616048,21730012,22440820,22636592,22725544,22821612,23528092,23774284,23883608,23969968,24504052,24698052,24933724,25132452,26573044,26999356,27220176,27492200,27558480,27891736,28015528,28177796,28297376,28587008,28720024,28926792,30022864,30241844,30438928,30628832,31235168,31404436,31636680,31845080,32351944,32637412,32760228,32975952,33559812,33800424,33939728,34143452,34260332,34471840,34618408,34799580,35105628,35301280,35511960,35689132,36654733,36969199
 "39000" ,"Ohio",3,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",8674664,8623668,8598116,8597880,8611804,8652508,8708556,8780672,8883556,9026604,9223604,9475008,9777844,10041460,10255696,10419512,10542952,10692424,10856488,11035812,11220252,11441700,11697724,11988096,12314448,12624440,12964992,13255640,13607956,13834216,14028444,14185440,15966120,16104316,16288320,16519188,16823092,17107736,17401812,17704652,18063328,18401412,18757100,19131444,19510192,19846416,20103756,20281056,20359556,20527636,20768016,21082748,21435192,21748308,21988100,22153080,22241788,22370612,22548160,22775292,23048680,22928172,23158244,23371952,23618136,23852156,24132652,24460828,24826508,25157392,25442220,25680764,25883592,26109232,26369008,26662716,26981668,27282532,27556408,27803168,28081299,28506817
 "39000" ,"Ohio",3,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",6690988,6764340,6622284,6805856,6885572,6742724,7030732,7279840,7379940,7799724,8143396,8196604,8408348,9062820,8509180,9767324,9655264,9629376,9991412,10469876,10790600,10772596,10849992,10974216,11679384,11936424,11854836,11900544,12263500,12709100,11806308,12399840,11715956,11842192,12309108,11956180,12949616,12258056,13030268,12929024,13266076,13048812,12857512,13570700,14278200,15100884,15026192,14561208,14434896,14167164,15337024,14879320,17050812,16790864,16281884,17232056,15537348,17010524,16365456,16119124,16749196,17516896,17657948,17962616,19642684,20054340,21036788,21151928,21218260,21780652,22043592,21482796,21628944,22892428,22079592,22730924,23849436,21935268,22839544,24165252,23582145,23730504
 "39000" ,"Ohio",3,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",606232,604864,767232,561508,636552,650572,646316,649364,661988,630356,719372,801360,991668,1124228,1259496,1408388,1464348,2160780,1785576,1731828,1622500,1769592,1858828,1740564,1453108,1270168,1222056,1173472,1131368,1077644,1106532,1138624,1080652,1107184,1111180,1104300,1152580,1135628,1163080,1183324,1244936,1350204,2030492,2390220,3791320,4693496,5229164,5365856,5894200,4619116,4158744,3748984,3549992,3293792,3098160,2855224,2647076,2240376,1990396,1961628,1806440,1739340,1707836,1671536,1057048,970944,929520,900828,926448,910604,903756,924620,980076,953528,934092,908556,915424,874428,900172,826432,768956,704692
 "39000" ,"Ohio",3,SQINC35,5000,"..."," All other personal current transfer receipts","Thousands of dollars",9349056,9511908,9637684,9822852,10035120,10157980,10300480,10418068,10446976,10655528,10868936,11191792,11495384,11766080,10993292,11918192,11982164,11925936,11900360,11955180,12259596,12364280,12377012,12282908,12273916,12274980,12406204,12625008,13161292,13426400,13856476,13685132,13673144,13732212,13824656,14035712,14381060,14765760,15143856,15705084,16106804,29009268,19490732,17553244,17891124,20909732,19298364,19536548,22236388,22688208,23060108,23164436,22708988,22741048,22647372,22392816,20335892,20051312,19873308,19708400,19415892,19384064,19391624,19347860,19406932,19700796,19913600,19466168,19728112,19764776,20041716,20374592,20271744,20190192,20232184,19998220,20213084,19883388,19840040,20002964,19948002,20149829
"Note: See the included footnote file."
"SQINC35 Personal Current Transfer Receipts "
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1. "
